workload,model,variant,label,cls,mean_p50,mean_p90,mean_p99,sla_p50,sla_p90,sla_p99,mean_mean,n_steps,n_reps,tail_ratio
cpu,rl-ppo,baseline,PPO,PPO,5.9,12.6,20.8,100.0,100.0,100.0,7.4,120.0,3,3.53
cpu,mistral-small4,history_5,mistral-small4_history_5,LLM,5.9,13.4,20.9,100.0,100.0,100.0,7.5,120.0,3,3.54
cpu,mistral-small4,zero_shot,mistral-small4_zero_shot,LLM,5.9,13.0,20.9,100.0,100.0,100.0,7.5,120.0,3,3.54
cpu,llama-70b,history_5,llama-70b_history_5,LLM,6.0,14.7,21.5,100.0,100.0,100.0,7.9,120.0,1,3.58
cpu,llama-70b,zero_shot,llama-70b_zero_shot,LLM,8.5,16.6,21.7,100.0,100.0,100.0,9.9,120.0,1,2.55
cpu,hpa,baseline,HPA,HPA,6.7,17.4,23.3,100.0,100.0,100.0,8.9,120.0,1,3.48
cpu,llama-8b,domain,llama-8b_domain,LLM,6.9,15.8,24.0,100.0,100.0,100.0,8.8,120.0,3,3.48
cpu,llama-8b,zero_shot,llama-8b_zero_shot,LLM,11.7,18.6,24.7,100.0,100.0,100.0,12.6,120.0,3,2.11
cpu,llama-8b,cot,llama-8b_cot,LLM,9.9,18.0,24.9,100.0,100.0,100.0,11.2,120.0,3,2.52
cpu,llama-8b,history_5,llama-8b_history_5,LLM,7.6,17.6,24.9,100.0,100.0,100.0,9.7,120.0,3,3.28
cpu,rl-dqn,baseline,DQN,DQN,12.2,22.8,26.1,100.0,100.0,100.0,13.5,120.0,3,2.14
cpu,keda,baseline,KEDA,KEDA,43.0,81.0,143.9,100.0,100.0,93.3,51.1,120.0,1,3.35
cpu,mistral-small4,cot,mistral-small4_cot,LLM,42.6,81.0,157.7,100.0,100.0,86.4,51.4,120.0,3,3.7
cpu,mistral-small4,domain,mistral-small4_domain,LLM,42.6,83.0,164.2,100.0,99.7,84.7,52.0,120.0,3,3.85
cpu,llama-70b,domain,llama-70b_domain,LLM,54.4,150.8,344.9,99.2,90.8,50.8,77.8,120.0,1,6.34
