workload,model,variant,label,cls,lat_sla,mean_lat,cost_vcpu_h,cost_usd,scales,run_hours,n_steps,n_reps
cpu,gpt-oss-120b,zero_shot,gpt-oss-120b_zero_shot,LLM,100.0,5.5,0.6,91.0,3.7,2.15,120.0,3
cpu,gpt-oss-120b,history_5,gpt-oss-120b_history_5,LLM,100.0,5.7,1.0,125.0,30.3,2.883333333333333,120.0,3
cpu,hpa,baseline,HPA,HPA,65.3,318.4,1.1,181.0,27.7,2.026666666666667,120.0,3
cpu,qwen3-80b,cot,qwen3-80b_cot,LLM,96.2,103.1,8.1,226.0,15.5,11.690000000000001,120.0,2
cpu,qwen3-80b,zero_shot,qwen3-80b_zero_shot,LLM,97.1,49.9,5.3,228.0,5.5,10.129999999999999,120.0,2
cpu,qwen3-80b,domain,qwen3-80b_domain,LLM,96.6,156.0,9.0,336.0,46.5,10.934999999999999,120.0,2
cpu,llama-70b,cot,llama-70b_cot,LLM,99.2,54.8,4.9,399.0,8.0,4.496666666666667,120.0,3
cpu,gpt-oss-120b,cot,gpt-oss-120b_cot,LLM,55.3,1619.7,3.2,429.0,84.0,2.6733333333333333,120.0,3
cpu,gpt-oss-120b,domain,gpt-oss-120b_domain,LLM,90.6,154.6,3.4,472.0,51.3,2.733333333333333,120.0,3
cpu,llama-8b,zero_shot,llama-8b_zero_shot,LLM,95.6,65.3,2.8,478.0,3.7,2.0366666666666666,120.0,3
cpu,mistral-small4,history_5,mistral-small4_history_5,LLM,99.4,28.4,2.8,486.0,4.0,2.02,120.0,3
cpu,llama-70b,domain,llama-70b_domain,LLM,97.5,83.9,5.8,494.0,11.0,4.11,120.0,3
cpu,qwen3-80b,history_5,qwen3-80b_history_5,LLM,100.0,69.5,7.6,541.0,30.0,4.9,120.0,1
cpu,mistral-small4,zero_shot,mistral-small4_zero_shot,LLM,99.4,39.2,3.3,567.0,1.0,2.026666666666667,120.0,3
cpu,mistral-small4,domain,mistral-small4_domain,LLM,95.3,90.2,3.5,568.0,18.0,2.1733333333333333,120.0,3
cpu,llama-70b,zero_shot,llama-70b_zero_shot,LLM,98.9,46.0,6.1,586.0,1.7,3.5366666666666666,120.0,3
cpu,rl-dqn,baseline,DQN,DQN,100.0,6.1,3.5,623.0,5.0,1.99,120.0,3
cpu,mistral-small4,cot,mistral-small4_cot,LLM,97.5,103.3,3.7,643.0,4.0,2.033333333333333,120.0,3
cpu,rl-ppo,baseline,PPO,PPO,100.0,5.5,4.0,701.0,1.0,1.99,120.0,3
cpu,llama-70b,history_5,llama-70b_history_5,LLM,99.2,42.3,7.9,776.0,23.7,3.5,120.0,3
cpu,llama-8b,domain,llama-8b_domain,LLM,98.9,66.4,6.0,1018.0,8.3,2.0566666666666666,120.0,3
cpu,keda,baseline,KEDA,KEDA,99.2,64.3,6.1,1069.0,53.0,2.0033333333333334,120.0,3
cpu,llama-8b,history_5,llama-8b_history_5,LLM,99.2,46.6,6.5,1092.0,63.3,2.0733333333333337,120.0,3
cpu,llama-8b,cot,llama-8b_cot,LLM,98.3,79.6,6.7,1098.0,15.3,2.1366666666666667,120.0,3
