step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,95.2,91.8,551,1.0,1.5,0,keda,baseline,0,0
1,3,3,63.7,86.7,520,1.0,3.0,0,keda,baseline,0,0
2,3,3,50.3,83.2,499,1.0,4.5,0,keda,baseline,0,0
3,3,3,57.2,85.5,513,1.0,6.0,0,keda,baseline,0,0
4,3,3,70.4,86.5,519,1.0,7.5,0,keda,baseline,0,0
5,3,3,138.5,95.2,571,1.0,9.0,0,keda,baseline,0,0
6,4,3,622.1,100.0,795,0.8375,10.5,1,keda,baseline,0,0
7,5,4,451.6,100.0,933,0.9169,12.5,1,keda,baseline,0,0
8,5,5,94.4,91.3,913,1.0,15.0,0,keda,baseline,0,0
9,5,5,53.6,84.8,848,1.0,17.5,0,keda,baseline,0,0
10,5,5,76.6,89.0,890,1.0,20.0,0,keda,baseline,0,0
11,5,5,80.2,88.9,889,1.0,22.5,0,keda,baseline,0,0
12,4,4,35.9,76.8,768,1.0,25.0,1,keda,baseline,0,0
13,4,4,194.2,97.8,782,1.0,27.0,0,keda,baseline,0,0
14,4,4,162.4,96.8,774,1.0,29.0,0,keda,baseline,0,0
15,4,4,214.8,98.8,790,1.0,31.0,0,keda,baseline,0,0
16,4,4,271.4,100.0,800,1.0,33.0,0,keda,baseline,0,0
17,5,4,387.9,100.0,896,0.94,35.0,1,keda,baseline,0,0
18,5,5,100.1,91.7,917,1.0,37.5,0,keda,baseline,0,0
19,5,5,109.3,93.3,933,1.0,40.0,0,keda,baseline,0,0
20,5,5,78.9,89.4,894,1.0,42.5,0,keda,baseline,0,0
21,5,5,72.3,88.5,885,1.0,45.0,0,keda,baseline,0,0
22,5,5,47.0,81.8,818,1.0,47.5,0,keda,baseline,0,0
23,4,4,39.0,79.3,793,1.0,50.0,1,keda,baseline,0,0
24,4,4,200.9,98.6,789,1.0,52.0,0,keda,baseline,0,0
25,5,4,276.6,100.0,809,0.9944,54.0,1,keda,baseline,0,0
26,5,5,44.2,80.8,808,1.0,56.5,0,keda,baseline,0,0
27,5,5,59.4,86.0,860,1.0,59.0,0,keda,baseline,0,0
28,4,4,33.7,75.0,750,1.0,61.5,1,keda,baseline,0,0
29,4,4,115.3,93.9,751,1.0,63.5,0,keda,baseline,0,0
30,5,4,272.3,100.0,823,0.9856,65.5,1,keda,baseline,0,0
31,4,4,39.7,79.2,792,1.0,68.0,1,keda,baseline,0,0
32,4,4,62.5,85.1,681,1.0,70.0,0,keda,baseline,0,0
33,4,4,60.5,84.8,678,1.0,72.0,0,keda,baseline,0,0
34,4,4,41.8,79.8,638,1.0,74.0,0,keda,baseline,0,0
35,4,4,32.5,76.0,608,1.0,76.0,0,keda,baseline,0,0
36,3,3,28.3,71.4,571,1.0,78.0,1,keda,baseline,0,0
37,4,3,306.5,100.0,629,0.9758,79.5,1,keda,baseline,0,0
38,4,4,39.0,76.8,614,1.0,81.5,0,keda,baseline,0,0
39,4,4,37.1,76.9,615,1.0,83.5,0,keda,baseline,0,0
40,4,4,56.4,84.8,678,1.0,85.5,0,keda,baseline,0,0
41,5,4,282.5,100.0,809,0.9944,87.5,1,keda,baseline,0,0
42,4,4,28.5,72.4,724,1.0,90.0,1,keda,baseline,0,0
43,4,4,120.6,94.5,756,1.0,92.0,0,keda,baseline,0,0
44,4,4,98.3,91.5,732,1.0,94.0,0,keda,baseline,0,0
45,4,4,108.1,92.2,738,1.0,96.0,0,keda,baseline,0,0
46,4,4,68.2,87.1,697,1.0,98.0,0,keda,baseline,0,0
47,4,4,89.2,91.5,732,1.0,100.0,0,keda,baseline,0,0
48,5,4,278.6,100.0,815,0.9906,102.0,1,keda,baseline,0,0
49,5,5,48.2,81.9,819,1.0,104.5,0,keda,baseline,0,0
50,5,5,49.9,83.6,836,1.0,107.0,0,keda,baseline,0,0
51,5,5,45.9,82.2,822,1.0,109.5,0,keda,baseline,0,0
52,4,4,26.0,70.7,707,1.0,112.0,1,keda,baseline,0,0
53,4,4,53.9,84.1,673,1.0,114.0,0,keda,baseline,0,0
54,4,4,40.2,79.1,633,1.0,116.0,0,keda,baseline,0,0
55,4,4,43.6,80.0,640,1.0,118.0,0,keda,baseline,0,0
56,4,4,36.5,77.9,623,1.0,120.0,0,keda,baseline,0,0
57,4,4,70.7,87.2,698,1.0,122.0,0,keda,baseline,0,0
58,3,3,29.3,73.8,590,1.0,124.0,1,keda,baseline,0,0
59,4,3,270.6,100.0,604,0.9967,125.5,1,keda,baseline,0,0
60,4,4,71.9,88.0,704,1.0,127.5,0,keda,baseline,0,0
61,4,4,77.1,89.9,719,1.0,129.5,0,keda,baseline,0,0
62,4,4,107.5,93.1,745,1.0,131.5,0,keda,baseline,0,0
63,4,4,249.6,99.4,795,1.0,133.5,0,keda,baseline,0,0
64,4,4,236.2,99.1,793,1.0,135.5,0,keda,baseline,0,0
65,4,4,96.2,91.8,734,1.0,137.5,0,keda,baseline,0,0
66,4,4,86.1,89.0,712,1.0,139.5,0,keda,baseline,0,0
67,4,4,71.2,87.8,702,1.0,141.5,0,keda,baseline,0,0
68,4,4,98.2,91.2,730,1.0,143.5,0,keda,baseline,0,0
69,4,4,39.8,78.1,625,1.0,145.5,0,keda,baseline,0,0
70,4,4,64.7,86.9,695,1.0,147.5,0,keda,baseline,0,0
71,4,4,35.9,77.2,618,1.0,149.5,0,keda,baseline,0,0
72,3,3,28.1,69.5,556,1.0,151.5,1,keda,baseline,0,0
73,3,3,195.8,98.2,589,1.0,153.0,0,keda,baseline,0,0
74,3,3,65.7,87.2,523,1.0,154.5,0,keda,baseline,0,0
75,4,3,289.6,100.0,607,0.9942,156.0,1,keda,baseline,0,0
76,4,4,241.2,99.2,794,1.0,158.0,0,keda,baseline,0,0
77,5,4,356.1,100.0,890,0.9437,160.0,1,keda,baseline,0,0
78,6,5,286.6,100.0,1034,0.983,162.5,1,keda,baseline,0,0
79,7,6,346.5,100.0,1323,0.9487,165.5,1,keda,baseline,0,0
