step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,4,3,104.7,91.8,551,1.0,1.5,1,llama-70b,history_5,215,509.8
1,4,4,21.4,65.0,520,1.0,3.5,0,llama-70b,history_5,249,152.8
2,4,4,19.2,62.4,499,1.0,5.5,0,llama-70b,history_5,283,137.9
3,4,4,22.1,64.1,513,1.0,7.5,0,llama-70b,history_5,317,115.6
4,4,4,23.1,64.9,519,1.0,9.5,0,llama-70b,history_5,351,130.5
5,5,4,28.0,71.4,571,1.0,11.5,1,llama-70b,history_5,385,220.9
6,8,5,38.1,79.5,795,1.0,14.0,1,llama-70b,history_5,385,165.2
7,8,8,18.0,58.3,933,1.0,18.0,0,llama-70b,history_5,385,141.1
8,8,8,17.0,57.1,913,1.0,22.0,0,llama-70b,history_5,385,130.2
9,8,8,15.5,53.0,848,1.0,26.0,0,llama-70b,history_5,385,116.5
10,8,8,16.8,55.6,890,1.0,30.0,0,llama-70b,history_5,385,117.6
11,8,8,16.2,55.6,889,1.0,34.0,0,llama-70b,history_5,385,366.5
12,8,8,14.1,48.0,768,1.0,38.0,0,llama-70b,history_5,385,137.7
13,8,8,14.0,48.9,782,1.0,42.0,0,llama-70b,history_5,385,122.9
14,8,8,14.5,48.4,774,1.0,46.0,0,llama-70b,history_5,385,195.9
15,8,8,14.3,49.4,790,1.0,50.0,0,llama-70b,history_5,385,177.5
16,8,8,13.3,50.0,800,1.0,54.0,0,llama-70b,history_5,385,116.3
17,10,8,15.3,56.0,896,1.0,58.0,1,llama-70b,history_5,385,116.1
18,10,10,13.0,45.9,917,1.0,63.0,0,llama-70b,history_5,385,118.3
19,10,10,11.8,46.7,933,1.0,68.0,0,llama-70b,history_5,385,158.5
20,10,10,11.6,44.7,894,1.0,73.0,0,llama-70b,history_5,385,122.6
21,10,10,11.8,44.2,885,1.0,78.0,0,llama-70b,history_5,385,193.1
22,8,8,12.7,40.9,818,1.0,83.0,1,llama-70b,history_5,385,332.8
23,8,8,14.3,49.6,793,1.0,87.0,0,llama-70b,history_5,385,351.1
24,8,8,15.2,49.3,789,1.0,91.0,0,llama-70b,history_5,385,135.4
25,8,8,14.6,50.6,809,1.0,95.0,0,llama-70b,history_5,385,122.9
26,8,8,14.4,50.5,808,1.0,99.0,0,llama-70b,history_5,385,816.1
27,10,8,16.2,53.8,860,1.0,103.0,1,llama-70b,history_5,385,181.6
28,10,10,10.7,37.5,750,1.0,108.0,0,llama-70b,history_5,385,395.7
29,10,10,11.1,37.5,751,1.0,113.0,0,llama-70b,history_5,385,132.0
30,10,10,11.5,41.1,823,1.0,118.0,0,llama-70b,history_5,385,117.5
31,10,10,11.5,39.6,792,1.0,123.0,0,llama-70b,history_5,385,121.6
32,10,10,10.9,34.1,681,1.0,128.0,0,llama-70b,history_5,385,165.2
33,10,10,10.0,33.9,678,1.0,133.0,0,llama-70b,history_5,385,172.4
34,10,10,10.6,31.9,638,1.0,138.0,0,llama-70b,history_5,385,137.8
35,10,10,9.5,30.4,608,1.0,143.0,0,llama-70b,history_5,385,205.6
36,10,10,9.9,28.5,571,1.0,148.0,0,llama-70b,history_5,385,1335.6
