step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,94.3,91.8,551,1.0,1.5,0,llama-70b,zero_shot,207,504.9
1,3,3,60.7,86.7,520,1.0,3.0,0,llama-70b,zero_shot,207,110.0
2,3,3,53.0,83.2,499,1.0,4.5,0,llama-70b,zero_shot,207,100.3
3,3,3,59.5,85.5,513,1.0,6.0,0,llama-70b,zero_shot,207,123.5
4,3,3,65.8,86.5,519,1.0,7.5,0,llama-70b,zero_shot,207,365.9
5,4,3,128.2,95.2,571,1.0,9.0,1,llama-70b,zero_shot,207,107.0
6,8,4,259.5,99.4,795,1.0,11.0,1,llama-70b,zero_shot,207,120.9
7,8,8,17.5,58.3,933,1.0,15.0,0,llama-70b,zero_shot,207,154.5
8,8,8,17.0,57.1,913,1.0,19.0,0,llama-70b,zero_shot,207,309.7
9,8,8,15.2,53.0,848,1.0,23.0,0,llama-70b,zero_shot,207,203.9
10,8,8,16.7,55.6,890,1.0,27.0,0,llama-70b,zero_shot,207,1030.5
11,8,8,15.8,55.6,889,1.0,31.0,0,llama-70b,zero_shot,207,145.8
12,8,8,12.7,48.0,768,1.0,35.0,0,llama-70b,zero_shot,207,100.9
13,8,8,14.1,48.9,782,1.0,39.0,0,llama-70b,zero_shot,207,106.0
14,8,8,13.7,48.4,774,1.0,43.0,0,llama-70b,zero_shot,207,312.8
15,8,8,13.2,49.4,790,1.0,47.0,0,llama-70b,zero_shot,207,114.6
16,8,8,14.4,50.0,800,1.0,51.0,0,llama-70b,zero_shot,207,114.2
17,8,8,15.1,56.0,896,1.0,55.0,0,llama-70b,zero_shot,207,105.5
18,8,8,17.0,57.3,917,1.0,59.0,0,llama-70b,zero_shot,207,107.7
19,8,8,17.4,58.3,933,1.0,63.0,0,llama-70b,zero_shot,207,244.8
20,8,8,16.8,55.9,894,1.0,67.0,0,llama-70b,zero_shot,207,106.8
21,8,8,15.4,55.3,885,1.0,71.0,0,llama-70b,zero_shot,207,97.4
22,8,8,15.5,51.1,818,1.0,75.0,0,llama-70b,zero_shot,207,104.6
23,8,8,13.5,49.6,793,1.0,79.0,0,llama-70b,zero_shot,207,98.7
24,8,8,13.9,49.3,789,1.0,83.0,0,llama-70b,zero_shot,207,124.9
25,8,8,15.1,50.6,809,1.0,87.0,0,llama-70b,zero_shot,207,113.0
26,8,8,15.1,50.5,808,1.0,91.0,0,llama-70b,zero_shot,207,136.3
27,8,8,15.4,53.8,860,1.0,95.0,0,llama-70b,zero_shot,207,136.6
28,8,8,12.0,46.9,750,1.0,99.0,0,llama-70b,zero_shot,207,126.4
29,8,8,13.2,46.9,751,1.0,103.0,0,llama-70b,zero_shot,207,98.1
30,8,8,14.5,51.4,823,1.0,107.0,0,llama-70b,zero_shot,207,112.5
31,8,8,13.5,49.5,792,1.0,111.0,0,llama-70b,zero_shot,207,262.3
32,8,8,11.5,42.6,681,1.0,115.0,0,llama-70b,zero_shot,207,113.3
33,8,8,13.2,42.4,678,1.0,119.0,0,llama-70b,zero_shot,207,115.5
34,8,8,12.0,39.9,638,1.0,123.0,0,llama-70b,zero_shot,207,115.7
35,8,8,11.8,38.0,608,1.0,127.0,0,llama-70b,zero_shot,207,156.0
36,8,8,11.3,35.7,571,1.0,131.0,0,llama-70b,zero_shot,207,103.0
37,8,8,10.7,39.3,629,1.0,135.0,0,llama-70b,zero_shot,207,100.2
