step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,4,3,100.6,91.8,551,1.0,1.5,1,llama-8b,cot,267,477.4
1,4,4,22.2,65.0,520,1.0,3.5,0,llama-8b,cot,267,70.3
2,4,4,20.5,62.4,499,1.0,5.5,0,llama-8b,cot,267,209.1
3,5,4,22.3,64.1,513,1.0,7.5,1,llama-8b,cot,267,70.5
4,5,5,14.0,51.9,519,1.0,10.0,0,llama-8b,cot,267,98.3
5,5,5,16.9,57.1,571,1.0,12.5,0,llama-8b,cot,267,102.3
6,6,5,43.0,79.5,795,1.0,15.0,1,llama-8b,cot,267,64.0
7,6,6,38.8,77.8,933,1.0,18.0,0,llama-8b,cot,267,90.7
8,6,6,35.6,76.1,913,1.0,21.0,0,llama-8b,cot,267,99.7
9,6,6,26.9,70.7,848,1.0,24.0,0,llama-8b,cot,267,61.5
10,6,6,31.6,74.2,890,1.0,27.0,0,llama-8b,cot,267,93.4
11,6,6,31.4,74.1,889,1.0,30.0,0,llama-8b,cot,267,89.0
12,6,6,21.5,64.0,768,1.0,33.0,0,llama-8b,cot,267,92.3
13,6,6,23.3,65.2,782,1.0,36.0,0,llama-8b,cot,267,90.0
14,6,6,22.6,64.5,774,1.0,39.0,0,llama-8b,cot,267,60.3
15,6,6,23.2,65.8,790,1.0,42.0,0,llama-8b,cot,267,57.7
16,6,6,21.8,66.7,800,1.0,45.0,0,llama-8b,cot,267,91.6
17,6,6,32.0,74.7,896,1.0,48.0,0,llama-8b,cot,267,124.0
18,6,6,36.3,76.4,917,1.0,51.0,0,llama-8b,cot,267,56.5
19,6,6,36.1,77.8,933,1.0,54.0,0,llama-8b,cot,267,98.5
20,6,6,32.1,74.5,894,1.0,57.0,0,llama-8b,cot,267,78.7
21,6,6,31.9,73.8,885,1.0,60.0,0,llama-8b,cot,267,64.3
22,6,6,25.5,68.2,818,1.0,63.0,0,llama-8b,cot,267,61.8
23,6,6,21.6,66.1,793,1.0,66.0,0,llama-8b,cot,267,92.3
24,6,6,23.3,65.8,789,1.0,69.0,0,llama-8b,cot,267,1090.3
25,6,6,23.9,67.4,809,1.0,72.0,0,llama-8b,cot,267,61.0
