step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,6,3,88.6,91.8,551,1.0,1.5,1,llama-8b,domain,343,4500.5
1,6,6,12.8,43.3,520,1.0,4.5,0,llama-8b,domain,343,6192.9
2,6,6,12.9,41.6,499,1.0,7.5,0,llama-8b,domain,343,6183.5
3,7,6,11.7,42.8,513,1.0,10.5,1,llama-8b,domain,343,69.0
4,8,7,9.9,37.1,519,1.0,14.0,1,llama-8b,domain,343,102.4
5,8,8,10.0,35.7,571,1.0,18.0,0,llama-8b,domain,343,130.2
6,10,8,13.9,49.7,795,1.0,22.0,1,llama-8b,domain,343,103.3
7,12,10,13.5,46.7,933,1.0,27.0,1,llama-8b,domain,343,105.4
8,12,12,11.2,38.0,913,1.0,33.0,0,llama-8b,domain,343,101.0
9,15,12,10.2,35.3,848,1.0,39.0,1,llama-8b,domain,343,1139.3
10,16,15,9.8,29.7,890,1.0,46.5,1,llama-8b,domain,343,1093.0
11,16,16,9.8,27.8,889,1.0,54.5,0,llama-8b,domain,343,1136.0
12,16,16,9.5,24.0,768,1.0,62.5,0,llama-8b,domain,343,104.0
13,16,16,8.9,24.4,782,1.0,70.5,0,llama-8b,domain,343,1120.6
14,16,16,9.0,24.2,774,1.0,78.5,0,llama-8b,domain,343,1095.4
15,16,16,8.8,24.7,790,1.0,86.5,0,llama-8b,domain,343,1123.6
16,16,16,9.2,25.0,800,1.0,94.5,0,llama-8b,domain,343,1095.7
17,16,16,9.6,28.0,896,1.0,102.5,0,llama-8b,domain,343,68.0
18,16,16,8.8,28.7,917,1.0,110.5,0,llama-8b,domain,343,1107.9
19,16,16,8.9,29.2,933,1.0,118.5,0,llama-8b,domain,343,1094.4
20,16,16,9.2,27.9,894,1.0,126.5,0,llama-8b,domain,343,1127.3
21,16,16,10.4,27.7,885,1.0,134.5,0,llama-8b,domain,343,1128.6
22,16,16,9.0,25.6,818,1.0,142.5,0,llama-8b,domain,343,1101.6
