step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,4,3,95.9,91.8,551,1.0,1.5,1,llama4-scout,cot,749,1726.7
1,3,3,22.7,65.0,520,1.0,3.5,1,llama4-scout,cot,708,1160.0
2,20,3,50.9,83.2,499,1.0,5.0,1,llama4-scout,cot,749,1404.7
3,3,3,8.5,12.8,513,1.0,15.0,1,llama4-scout,cot,640,1658.1
4,20,3,63.8,86.5,519,1.0,16.5,1,llama4-scout,cot,749,1828.4
5,3,3,8.4,14.3,571,1.0,26.5,1,llama4-scout,cot,616,1393.9
6,4,3,636.1,100.0,795,0.8375,28.0,1,llama4-scout,cot,673,1717.6
7,5,4,402.4,100.0,933,0.9169,30.0,1,llama4-scout,cot,538,1092.2
8,9,5,96.2,91.3,913,1.0,32.5,1,llama4-scout,cot,749,1213.0
9,8,8,14.2,47.1,848,1.0,37.0,1,llama4-scout,cot,661,1094.4
10,8,8,16.3,55.6,890,1.0,41.0,0,llama4-scout,cot,749,1595.4
11,20,8,16.4,55.6,889,1.0,45.0,1,llama4-scout,cot,749,1404.7
12,4,4,9.5,19.2,768,1.0,55.0,1,llama4-scout,cot,649,1154.3
13,20,4,190.1,97.8,782,1.0,57.0,1,llama4-scout,cot,749,1543.9
14,4,4,8.5,19.4,774,1.0,67.0,1,llama4-scout,cot,743,1805.6
15,5,4,211.6,98.8,790,1.0,69.0,1,llama4-scout,cot,590,1311.9
16,4,4,38.5,80.0,800,1.0,71.5,1,llama4-scout,cot,749,1257.2
17,5,4,385.4,100.0,896,0.94,73.5,1,llama4-scout,cot,556,957.2
18,5,5,89.6,91.7,917,1.0,76.0,0,llama4-scout,cot,621,1419.9
19,6,5,119.4,93.3,933,1.0,78.5,1,llama4-scout,cot,748,4296.9
20,8,6,33.8,74.5,894,1.0,81.5,1,llama4-scout,cot,749,1564.2
21,5,5,15.3,55.3,885,1.0,85.5,1,llama4-scout,cot,749,1640.1
22,20,5,46.6,81.8,818,1.0,88.0,1,llama4-scout,cot,749,1623.6
23,4,4,9.1,19.8,793,1.0,98.0,1,llama4-scout,cot,658,1672.4
24,5,4,214.2,98.6,789,1.0,100.0,1,llama4-scout,cot,574,2027.7
25,4,4,43.5,80.9,809,1.0,102.5,1,llama4-scout,cot,749,2146.0
26,5,4,259.9,100.0,808,0.995,104.5,1,llama4-scout,cot,648,1446.5
27,20,5,60.7,86.0,860,1.0,107.0,1,llama4-scout,cot,749,1884.2
28,4,4,8.4,18.8,750,1.0,117.0,1,llama4-scout,cot,657,1404.1
29,5,4,119.1,93.9,751,1.0,119.0,1,llama4-scout,cot,682,3920.7
30,4,4,47.9,82.3,823,1.0,121.5,1,llama4-scout,cot,749,3603.7
31,5,4,210.9,99.0,792,1.0,123.5,1,llama4-scout,cot,674,1278.8
32,4,4,25.5,68.1,681,1.0,126.0,1,llama4-scout,cot,709,1614.7
33,4,4,54.3,84.8,678,1.0,128.0,0,llama4-scout,cot,749,2070.0
34,20,4,41.5,79.8,638,1.0,130.0,1,llama4-scout,cot,749,1742.2
35,20,20,8.5,15.2,608,1.0,140.0,0,llama4-scout,cot,749,2277.5
36,3,3,8.0,14.3,571,1.0,150.0,1,llama4-scout,cot,599,1198.7
37,4,3,283.0,100.0,629,0.9758,151.5,1,llama4-scout,cot,611,1547.2
38,4,4,35.3,76.8,614,1.0,153.5,0,llama4-scout,cot,644,1089.6
39,20,4,36.7,76.9,615,1.0,155.5,1,llama4-scout,cot,749,1586.0
40,20,20,8.5,17.0,678,1.0,165.5,0,llama4-scout,cot,749,1330.1
41,5,5,8.8,20.2,809,1.0,175.5,1,llama4-scout,cot,660,1353.6
42,4,4,31.5,72.4,724,1.0,178.0,1,llama4-scout,cot,749,1717.2
43,4,4,130.3,94.5,756,1.0,180.0,0,llama4-scout,cot,742,1213.0
44,4,4,100.5,91.5,732,1.0,182.0,0,llama4-scout,cot,698,1393.2
45,5,4,109.8,92.2,738,1.0,184.0,1,llama4-scout,cot,643,1025.6
46,3,3,26.3,69.7,697,1.0,186.5,1,llama4-scout,cot,749,1216.8
47,4,3,559.0,100.0,732,0.89,188.0,1,llama4-scout,cot,654,1202.4
48,5,4,262.6,100.0,815,0.9906,190.0,1,llama4-scout,cot,637,1589.7
49,4,4,46.5,81.9,819,1.0,192.5,1,llama4-scout,cot,749,1904.1
50,5,4,294.4,100.0,836,0.9775,194.5,1,llama4-scout,cot,646,1746.4
51,20,5,48.0,82.2,822,1.0,197.0,1,llama4-scout,cot,749,2905.0
52,4,4,8.6,17.7,707,1.0,207.0,1,llama4-scout,cot,695,1907.2
53,4,4,54.0,84.1,673,1.0,209.0,0,llama4-scout,cot,746,2597.6
54,20,4,42.2,79.1,633,1.0,211.0,1,llama4-scout,cot,749,1532.7
55,4,4,8.6,16.0,640,1.0,221.0,1,llama4-scout,cot,732,1308.7
56,3,3,38.6,77.9,623,1.0,223.0,1,llama4-scout,cot,673,1790.8
57,4,3,422.3,100.0,698,0.9183,224.5,1,llama4-scout,cot,618,1257.3
58,20,4,29.9,73.8,590,1.0,226.5,1,llama4-scout,cot,749,1314.0
59,3,3,8.3,15.1,604,1.0,236.5,1,llama4-scout,cot,718,1581.5
60,4,3,437.4,100.0,704,0.9133,238.0,1,llama4-scout,cot,678,1253.0
61,4,4,82.6,89.9,719,1.0,240.0,0,llama4-scout,cot,744,1215.9
62,4,4,118.1,93.1,745,1.0,242.0,0,llama4-scout,cot,743,1233.8
63,5,4,223.3,99.4,795,1.0,244.0,1,llama4-scout,cot,683,1794.7
64,4,4,43.0,79.3,793,1.0,246.5,1,llama4-scout,cot,731,1656.6
65,20,4,97.9,91.8,734,1.0,248.5,1,llama4-scout,cot,749,1380.5
66,2,2,8.7,17.8,712,1.0,258.5,1,llama4-scout,cot,703,1116.1
67,4,2,2308.6,100.0,702,0.6225,259.5,1,llama4-scout,cot,641,1279.2
68,7,4,90.7,91.2,730,1.0,261.5,1,llama4-scout,cot,749,1288.6
69,20,7,11.5,44.6,625,1.0,265.0,1,llama4-scout,cot,749,1246.4
70,20,20,8.3,17.4,695,1.0,275.0,0,llama4-scout,cot,749,1567.0
71,4,4,9.0,15.4,618,1.0,285.0,1,llama4-scout,cot,739,1263.8
72,3,3,25.7,69.5,556,1.0,287.0,1,llama4-scout,cot,714,1197.5
73,4,3,205.9,98.2,589,1.0,288.5,1,llama4-scout,cot,668,1506.1
74,4,4,21.9,65.4,523,1.0,290.5,0,llama4-scout,cot,749,1218.6
75,3,3,36.4,75.9,607,1.0,292.5,1,llama4-scout,cot,749,1213.1
76,4,3,679.9,100.0,794,0.8383,294.0,1,llama4-scout,cot,552,802.9
77,6,4,375.6,100.0,890,0.9437,296.0,1,llama4-scout,cot,709,1431.3
78,6,6,63.5,86.2,1034,1.0,299.0,0,llama4-scout,cot,750,1527.1
79,8,6,343.3,100.0,1323,0.9487,302.0,1,llama4-scout,cot,578,1241.2
80,8,8,30.0,72.0,1152,1.0,306.0,0,llama4-scout,cot,750,2249.7
81,6,6,20.0,61.4,982,1.0,310.0,1,llama4-scout,cot,745,1444.3
82,5,5,26.2,70.6,847,1.0,313.0,1,llama4-scout,cot,736,1624.2
83,20,5,52.1,82.3,823,1.0,315.5,1,llama4-scout,cot,749,1479.8
84,5,5,9.0,21.7,868,1.0,325.5,1,llama4-scout,cot,649,1021.6
85,6,5,307.8,100.0,1056,0.972,328.0,1,llama4-scout,cot,655,1089.0
86,5,5,44.8,81.7,980,1.0,331.0,1,llama4-scout,cot,674,1046.9
87,5,5,90.5,91.6,916,1.0,333.5,0,llama4-scout,cot,749,1559.9
88,20,5,218.7,98.5,985,1.0,336.0,1,llama4-scout,cot,749,1521.6
89,5,5,8.1,23.9,958,1.0,346.0,1,llama4-scout,cot,670,1810.0
90,6,5,274.4,100.0,1011,0.9945,348.5,1,llama4-scout,cot,626,1123.5
91,5,5,56.5,85.2,1023,1.0,351.5,1,llama4-scout,cot,750,1591.7
92,7,5,255.9,100.0,1031,0.9845,354.0,1,llama4-scout,cot,709,1513.6
93,9,7,45.5,81.4,1140,1.0,357.5,1,llama4-scout,cot,750,1494.9
94,9,9,17.1,56.4,1015,1.0,362.0,0,llama4-scout,cot,750,1396.8
95,5,5,15.2,54.9,989,1.0,366.5,1,llama4-scout,cot,749,1901.7
96,4,4,59.6,85.8,858,1.0,369.0,1,llama4-scout,cot,749,1504.5
97,5,4,310.7,100.0,824,0.985,371.0,1,llama4-scout,cot,664,1323.3
98,4,4,70.6,87.5,875,1.0,373.5,1,llama4-scout,cot,749,1524.4
99,5,4,368.3,100.0,906,0.9337,375.5,1,llama4-scout,cot,518,1372.8
100,4,4,41.2,78.8,788,1.0,378.0,1,llama4-scout,cot,749,1440.7
101,4,4,120.2,94.2,754,1.0,380.0,0,llama4-scout,cot,749,2789.8
102,5,4,61.9,87.1,697,1.0,382.0,1,llama4-scout,cot,749,1550.6
103,8,5,30.1,72.9,729,1.0,384.5,1,llama4-scout,cot,749,1424.4
104,5,5,17.6,56.8,908,1.0,388.5,1,llama4-scout,cot,708,1684.2
105,4,4,70.4,87.0,870,1.0,391.0,1,llama4-scout,cot,749,2292.0
106,5,4,181.6,97.9,783,1.0,393.0,1,llama4-scout,cot,723,1850.3
107,5,5,44.0,78.8,788,1.0,395.5,0,llama4-scout,cot,749,2104.5
108,20,5,43.1,80.2,802,1.0,398.0,1,llama4-scout,cot,749,4269.8
109,4,4,9.1,20.1,802,1.0,408.0,1,llama4-scout,cot,697,2303.7
110,5,4,353.6,100.0,866,0.9587,410.0,1,llama4-scout,cot,556,2449.9
111,5,5,72.4,88.4,884,1.0,412.5,0,llama4-scout,cot,657,1231.4
112,4,4,44.2,81.0,810,1.0,415.0,1,llama4-scout,cot,737,3111.3
113,5,4,275.9,100.0,824,0.985,417.0,1,llama4-scout,cot,615,1322.8
114,7,5,52.2,84.1,841,1.0,419.5,1,llama4-scout,cot,749,1487.0
115,4,4,17.4,55.9,783,1.0,423.0,1,llama4-scout,cot,749,2364.4
116,8,4,195.8,98.1,785,1.0,425.0,1,llama4-scout,cot,749,1995.8
117,4,4,13.7,46.0,736,1.0,429.0,1,llama4-scout,cot,697,1467.6
118,4,4,149.3,96.5,772,1.0,431.0,0,llama4-scout,cot,669,1366.7
119,4,4,81.1,90.0,720,1.0,433.0,0,llama4-scout,cot,679,1056.6
120,5,4,325.1,100.0,868,0.9575,435.0,1,llama4-scout,cot,648,1215.1
121,6,5,199.5,98.4,984,1.0,437.5,1,llama4-scout,cot,657,1576.2
122,6,6,29.7,74.7,896,1.0,440.5,0,llama4-scout,cot,749,2286.8
123,8,6,27.2,71.8,861,1.0,443.5,1,llama4-scout,cot,749,1868.1
124,4,4,15.1,54.0,864,1.0,447.5,1,llama4-scout,cot,666,1379.3
125,5,4,441.0,100.0,938,0.9137,449.5,1,llama4-scout,cot,746,1211.7
126,6,5,240.5,99.7,997,1.0,452.0,1,llama4-scout,cot,671,1460.9
127,5,5,28.7,70.8,849,1.0,455.0,1,llama4-scout,cot,737,1249.9
128,5,5,41.2,79.8,798,1.0,457.5,0,llama4-scout,cot,749,1571.2
129,4,4,30.3,74.7,747,1.0,460.0,1,llama4-scout,cot,748,1325.7
130,5,4,320.7,100.0,863,0.9606,462.0,1,llama4-scout,cot,612,904.4
131,6,5,137.2,94.8,948,1.0,464.5,1,llama4-scout,cot,749,1631.6
132,7,6,49.8,84.0,1008,1.0,467.5,1,llama4-scout,cot,750,1313.1
133,5,5,31.6,73.1,1023,1.0,471.0,1,llama4-scout,cot,750,1296.7
134,6,5,408.2,100.0,1145,0.9275,473.5,1,llama4-scout,cot,603,877.1
135,6,6,111.8,93.4,1121,1.0,476.5,0,llama4-scout,cot,723,1186.9
136,20,6,328.3,100.0,1293,0.9613,479.5,1,llama4-scout,cot,751,1250.1
137,7,7,10.8,32.2,1287,1.0,489.5,1,llama4-scout,cot,747,1206.5
138,7,7,194.7,98.4,1377,1.0,493.0,0,llama4-scout,cot,750,1426.0
139,8,7,303.2,100.0,1459,0.9789,496.5,1,llama4-scout,cot,661,1154.4
140,9,8,311.1,100.0,1696,0.97,500.5,1,llama4-scout,cot,750,1493.2
141,8,8,143.1,95.6,1720,1.0,505.0,1,llama4-scout,cot,664,1025.8
142,10,8,466.7,100.0,1904,0.905,509.0,1,llama4-scout,cot,679,1086.3
143,12,10,379.7,100.0,2283,0.9293,514.0,1,llama4-scout,cot,632,946.5
144,14,12,372.5,100.0,2668,0.9442,520.0,1,llama4-scout,cot,653,1104.6
145,16,14,289.0,100.0,2882,0.9854,527.0,1,llama4-scout,cot,654,1348.0
146,20,16,255.1,100.0,3211,0.9983,535.0,1,llama4-scout,cot,751,1555.2
147,18,18,57.0,86.5,3461,1.0,545.0,1,llama4-scout,cot,747,1681.2
148,19,18,281.9,100.0,3607,0.999,554.0,1,llama4-scout,cot,722,1232.0
149,18,18,159.4,96.3,3659,1.0,563.5,1,llama4-scout,cot,675,1334.8
