step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,5,3,103.4,91.8,551,1.0,1.5,1,llama4-scout,zero_shot,186,423.1
1,5,5,16.3,52.0,520,1.0,4.0,0,llama4-scout,zero_shot,186,73.9
2,5,5,14.1,49.9,499,1.0,6.5,0,llama4-scout,zero_shot,186,824.2
3,5,5,13.9,51.3,513,1.0,9.0,0,llama4-scout,zero_shot,186,355.5
4,5,5,15.1,51.9,519,1.0,11.5,0,llama4-scout,zero_shot,186,839.3
5,5,5,16.6,57.1,571,1.0,14.0,0,llama4-scout,zero_shot,186,492.2
6,5,5,40.9,79.5,795,1.0,16.5,0,llama4-scout,zero_shot,186,427.9
7,6,5,105.3,93.3,933,1.0,19.0,1,llama4-scout,zero_shot,186,232.8
8,6,6,33.2,76.1,913,1.0,22.0,0,llama4-scout,zero_shot,186,291.4
9,6,6,28.6,70.7,848,1.0,25.0,0,llama4-scout,zero_shot,186,1547.6
10,6,6,32.2,74.2,890,1.0,28.0,0,llama4-scout,zero_shot,186,1025.0
11,6,6,30.5,74.1,889,1.0,31.0,0,llama4-scout,zero_shot,186,182.2
12,6,6,20.8,64.0,768,1.0,34.0,0,llama4-scout,zero_shot,186,102.5
13,6,6,20.4,65.2,782,1.0,37.0,0,llama4-scout,zero_shot,186,71.7
14,6,6,22.3,64.5,774,1.0,40.0,0,llama4-scout,zero_shot,186,358.2
15,6,6,24.1,65.8,790,1.0,43.0,0,llama4-scout,zero_shot,186,407.6
16,6,6,21.3,66.7,800,1.0,46.0,0,llama4-scout,zero_shot,186,74.2
17,6,6,29.9,74.7,896,1.0,49.0,0,llama4-scout,zero_shot,186,472.9
18,6,6,34.6,76.4,917,1.0,52.0,0,llama4-scout,zero_shot,186,512.5
19,6,6,39.0,77.8,933,1.0,55.0,0,llama4-scout,zero_shot,186,145.0
20,6,6,30.9,74.5,894,1.0,58.0,0,llama4-scout,zero_shot,186,335.3
21,6,6,30.9,73.8,885,1.0,61.0,0,llama4-scout,zero_shot,186,370.1
22,6,6,25.0,68.2,818,1.0,64.0,0,llama4-scout,zero_shot,186,550.2
23,6,6,25.4,66.1,793,1.0,67.0,0,llama4-scout,zero_shot,186,374.4
24,6,6,21.4,65.8,789,1.0,70.0,0,llama4-scout,zero_shot,186,79.4
25,6,6,24.4,67.4,809,1.0,73.0,0,llama4-scout,zero_shot,186,83.2
