step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,20,3,94.0,91.8,551,1.0,1.5,1,qwen3-32b,cot,767,3705.9
1,20,20,8.4,13.0,520,1.0,11.5,0,qwen3-32b,cot,768,4749.8
2,5,5,8.2,12.5,499,1.0,21.5,1,qwen3-32b,cot,768,4447.9
3,6,5,16.1,51.3,513,1.0,24.0,1,qwen3-32b,cot,767,7039.2
4,20,6,12.3,43.2,519,1.0,27.0,1,qwen3-32b,cot,767,3904.5
5,3,3,8.7,14.3,571,1.0,37.0,1,qwen3-32b,cot,768,5411.3
6,1,1,670.9,100.0,795,0.8375,38.5,1,qwen3-32b,cot,772,5061.6
7,5,1,5249.0,100.0,933,0.5,39.0,1,qwen3-32b,cot,538,5328.1
8,5,5,94.6,91.3,913,1.0,41.5,0,qwen3-32b,cot,767,3537.8
9,20,5,60.6,84.8,848,1.0,44.0,1,qwen3-32b,cot,767,3896.5
10,11,11,8.5,22.2,890,1.0,54.0,1,qwen3-32b,cot,768,6807.6
11,20,11,11.7,40.4,889,1.0,59.5,1,qwen3-32b,cot,769,4126.0
12,4,4,8.5,19.2,768,1.0,69.5,1,qwen3-32b,cot,768,4900.4
13,20,4,180.4,97.8,782,1.0,71.5,1,qwen3-32b,cot,768,4174.9
14,3,3,9.2,19.4,774,1.0,81.5,1,qwen3-32b,cot,768,5454.8
15,4,3,630.6,100.0,790,0.8417,83.0,1,qwen3-32b,cot,772,5770.4
16,20,4,253.0,100.0,800,1.0,85.0,1,qwen3-32b,cot,769,5467.0
17,10,10,9.6,22.4,896,1.0,95.0,1,qwen3-32b,cot,768,4807.2
18,10,10,13.0,45.9,917,1.0,100.0,0,qwen3-32b,cot,593,5477.7
19,20,10,12.2,46.7,933,1.0,105.0,1,qwen3-32b,cot,769,3872.6
20,20,20,8.6,22.4,894,1.0,115.0,0,qwen3-32b,cot,768,4377.0
21,1,1,8.9,22.1,885,1.0,125.0,1,qwen3-32b,cot,768,6108.3
22,5,1,5416.9,100.0,818,0.5,125.5,1,qwen3-32b,cot,721,4251.2
23,4,4,41.7,79.3,793,1.0,128.0,1,qwen3-32b,cot,767,5122.2
24,20,4,229.9,98.6,789,1.0,130.0,1,qwen3-32b,cot,768,5566.1
25,2,2,9.0,20.2,809,1.0,140.0,1,qwen3-32b,cot,768,4405.1
26,20,2,5527.4,100.0,808,0.5,141.0,1,qwen3-32b,cot,770,5297.2
27,20,20,9.1,21.5,860,1.0,151.0,0,qwen3-32b,cot,768,5471.8
28,20,20,8.5,18.8,750,1.0,161.0,0,qwen3-32b,cot,768,5068.2
29,20,20,8.6,18.8,751,1.0,171.0,0,qwen3-32b,cot,768,5434.9
30,4,4,8.5,20.6,823,1.0,181.0,1,qwen3-32b,cot,768,5765.2
31,5,4,214.8,99.0,792,1.0,183.0,1,qwen3-32b,cot,768,5125.9
32,20,5,26.6,68.1,681,1.0,185.5,1,qwen3-32b,cot,767,4312.9
33,17,17,8.5,17.0,678,1.0,195.5,1,qwen3-32b,cot,768,6116.6
34,20,17,8.5,18.8,638,1.0,204.0,1,qwen3-32b,cot,768,4845.2
35,20,20,8.4,15.2,608,1.0,214.0,0,qwen3-32b,cot,768,5070.5
36,1,1,9.0,14.3,571,1.0,224.0,1,qwen3-32b,cot,768,4462.9
37,20,1,5503.6,100.0,629,0.5,224.5,1,qwen3-32b,cot,770,5973.5
38,20,20,9.2,15.3,614,1.0,234.5,0,qwen3-32b,cot,768,6198.7
39,20,20,8.8,15.4,615,1.0,244.5,0,qwen3-32b,cot,768,3927.4
40,20,20,8.7,17.0,678,1.0,254.5,0,qwen3-32b,cot,768,4742.8
41,2,2,9.0,20.2,809,1.0,264.5,1,qwen3-32b,cot,768,5807.8
42,20,2,2815.3,100.0,724,0.595,265.5,1,qwen3-32b,cot,772,5172.6
43,20,20,9.8,18.9,756,1.0,275.5,0,qwen3-32b,cot,768,4321.0
44,20,20,8.4,18.3,732,1.0,285.5,0,qwen3-32b,cot,768,6730.9
45,4,4,9.0,18.4,738,1.0,295.5,1,qwen3-32b,cot,768,5894.1
46,20,4,63.8,87.1,697,1.0,297.5,1,qwen3-32b,cot,767,4196.0
47,18,18,8.6,18.3,732,1.0,307.5,1,qwen3-32b,cot,768,4861.0
48,18,18,8.4,22.6,815,1.0,316.5,0,qwen3-32b,cot,768,4797.1
49,8,8,9.6,22.8,819,1.0,325.5,1,qwen3-32b,cot,768,4160.4
50,2,2,15.4,52.2,836,1.0,329.5,1,qwen3-32b,cot,767,6628.7
51,3,2,5464.4,100.0,822,0.5,330.5,1,qwen3-32b,cot,734,4543.5
52,20,3,438.2,100.0,707,0.9108,332.0,1,qwen3-32b,cot,772,4216.3
53,8,8,8.7,16.8,673,1.0,342.0,1,qwen3-32b,cot,768,6000.3
54,4,4,10.5,39.6,633,1.0,346.0,1,qwen3-32b,cot,706,6386.1
55,2,2,44.7,80.0,640,1.0,348.0,1,qwen3-32b,cot,767,3560.8
56,2,2,1360.0,100.0,623,0.7212,349.0,0,qwen3-32b,cot,773,4289.2
57,20,2,2300.0,100.0,698,0.6275,350.0,1,qwen3-32b,cot,773,5225.1
58,4,4,8.2,14.8,590,1.0,360.0,1,qwen3-32b,cot,768,6524.0
59,1,1,32.4,75.5,604,1.0,362.0,1,qwen3-32b,cot,767,5456.5
60,5,1,5010.5,100.0,704,0.5,362.5,1,qwen3-32b,cot,770,5423.7
61,9,5,32.2,71.9,719,1.0,365.0,1,qwen3-32b,cot,767,4647.2
62,3,3,12.3,41.4,745,1.0,369.5,1,qwen3-32b,cot,767,4730.2
63,2,2,752.5,100.0,795,0.8375,371.0,1,qwen3-32b,cot,772,4817.8
