step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,8,3,94.7,91.8,551,1.0,1.5,1,qwen3-32b,domain,858,4350.8
1,3,3,8.6,32.5,520,1.0,5.5,1,qwen3-32b,domain,857,5220.2
2,1,1,50.8,83.2,499,1.0,7.0,1,qwen3-32b,domain,858,7617.8
3,3,1,5492.7,100.0,513,0.5,7.5,1,qwen3-32b,domain,861,4501.6
4,5,3,67.1,86.5,519,1.0,9.0,1,qwen3-32b,domain,858,7211.6
5,5,5,16.5,57.1,571,1.0,11.5,0,qwen3-32b,domain,727,5747.5
6,5,5,43.3,79.5,795,1.0,14.0,0,qwen3-32b,domain,858,4891.6
7,9,5,125.4,93.3,933,1.0,16.5,1,qwen3-32b,domain,859,5942.1
8,5,5,14.6,50.7,913,1.0,21.0,1,qwen3-32b,domain,858,6009.0
9,8,5,59.1,84.8,848,1.0,23.5,1,qwen3-32b,domain,858,5249.3
10,5,5,16.5,55.6,890,1.0,27.5,1,qwen3-32b,domain,858,6367.1
11,4,4,73.1,88.9,889,1.0,30.0,1,qwen3-32b,domain,858,6416.0
12,20,4,141.1,96.0,768,1.0,32.0,1,qwen3-32b,domain,859,6290.8
13,20,20,8.7,19.6,782,1.0,42.0,0,qwen3-32b,domain,859,5960.0
14,20,20,9.4,19.4,774,1.0,52.0,0,qwen3-32b,domain,859,5170.9
15,17,17,9.3,19.8,790,1.0,62.0,1,qwen3-32b,domain,859,6231.7
16,20,17,9.1,23.5,800,1.0,70.5,1,qwen3-32b,domain,859,6436.7
17,20,20,8.3,22.4,896,1.0,80.5,0,qwen3-32b,domain,859,7305.0
18,20,20,9.1,22.9,917,1.0,90.5,0,qwen3-32b,domain,859,5221.5
19,20,20,9.1,23.3,933,1.0,100.5,0,qwen3-32b,domain,859,6020.4
20,20,20,9.0,22.4,894,1.0,110.5,0,qwen3-32b,domain,859,5492.1
21,20,20,9.1,22.1,885,1.0,120.5,0,qwen3-32b,domain,859,6833.7
22,20,20,9.1,20.4,818,1.0,130.5,0,qwen3-32b,domain,859,5470.4
23,20,20,8.5,19.8,793,1.0,140.5,0,qwen3-32b,domain,859,7114.1
24,20,20,9.1,19.7,789,1.0,150.5,0,qwen3-32b,domain,859,6031.8
25,4,4,8.9,20.2,809,1.0,160.5,1,qwen3-32b,domain,859,5259.0
26,4,4,245.6,100.0,808,0.995,162.5,0,qwen3-32b,domain,862,6552.9
27,20,4,328.0,100.0,860,0.9625,164.5,1,qwen3-32b,domain,863,6134.8
28,1,1,8.7,18.8,750,1.0,174.5,1,qwen3-32b,domain,859,5197.1
29,20,1,4653.0,100.0,751,0.5,175.0,1,qwen3-32b,domain,861,6297.6
30,3,3,8.9,20.6,823,1.0,185.0,1,qwen3-32b,domain,859,6200.8
31,20,3,741.0,100.0,792,0.84,186.5,1,qwen3-32b,domain,861,7091.1
32,20,20,9.0,17.0,681,1.0,196.5,0,qwen3-32b,domain,859,5307.4
33,3,3,8.3,17.0,678,1.0,206.5,1,qwen3-32b,domain,859,6874.5
34,4,3,303.1,100.0,638,0.9683,208.0,1,qwen3-32b,domain,863,5345.3
35,4,4,36.4,76.0,608,1.0,210.0,0,qwen3-32b,domain,858,8375.2
36,4,4,27.8,71.4,571,1.0,212.0,0,qwen3-32b,domain,858,3195.5
37,20,4,39.8,78.6,629,1.0,214.0,1,qwen3-32b,domain,858,7253.6
38,20,20,8.1,15.3,614,1.0,224.0,0,qwen3-32b,domain,859,5809.1
39,20,20,9.0,15.4,615,1.0,234.0,0,qwen3-32b,domain,859,5213.0
40,20,20,8.5,17.0,678,1.0,244.0,0,qwen3-32b,domain,859,7334.4
41,17,17,9.0,20.2,809,1.0,254.0,1,qwen3-32b,domain,859,5394.4
42,20,17,8.6,21.3,724,1.0,262.5,1,qwen3-32b,domain,859,6198.8
43,20,20,8.4,18.9,756,1.0,272.5,0,qwen3-32b,domain,859,7479.0
44,20,20,9.0,18.3,732,1.0,282.5,0,qwen3-32b,domain,859,4992.7
45,20,20,8.7,18.4,738,1.0,292.5,0,qwen3-32b,domain,859,6801.9
46,1,1,8.1,17.4,697,1.0,302.5,1,qwen3-32b,domain,859,5978.5
47,20,1,5254.4,100.0,732,0.5,303.0,1,qwen3-32b,domain,861,6556.1
48,20,20,8.5,20.4,815,1.0,313.0,0,qwen3-32b,domain,859,4171.7
49,2,2,9.2,20.5,819,1.0,323.0,1,qwen3-32b,domain,859,6272.1
50,20,2,5180.1,100.0,836,0.5,324.0,1,qwen3-32b,domain,861,7694.1
51,9,9,9.2,20.5,822,1.0,334.0,1,qwen3-32b,domain,859,4344.9
52,20,9,11.3,39.3,707,1.0,338.5,1,qwen3-32b,domain,858,6288.5
53,20,20,8.1,16.8,673,1.0,348.5,0,qwen3-32b,domain,859,7113.9
54,20,20,8.7,15.8,633,1.0,358.5,0,qwen3-32b,domain,859,6667.3
55,16,16,8.8,16.0,640,1.0,368.5,1,qwen3-32b,domain,859,5586.7
56,5,5,8.7,19.5,623,1.0,376.5,1,qwen3-32b,domain,859,6339.8
57,20,5,27.0,69.8,698,1.0,379.0,1,qwen3-32b,domain,858,6362.7
58,8,8,8.5,14.8,590,1.0,389.0,1,qwen3-32b,domain,859,5227.2
59,20,8,11.5,37.8,604,1.0,393.0,1,qwen3-32b,domain,858,5203.9
60,6,6,8.0,17.6,704,1.0,403.0,1,qwen3-32b,domain,859,8292.2
61,3,3,18.4,59.9,719,1.0,406.0,1,qwen3-32b,domain,858,9402.8
62,20,3,542.2,100.0,745,0.8792,407.5,1,qwen3-32b,domain,863,1398.3
63,17,17,9.0,19.9,795,1.0,417.5,1,qwen3-32b,domain,859,5524.3
64,17,17,9.6,23.3,793,1.0,426.0,0,qwen3-32b,domain,859,7524.6
65,9,9,9.1,21.6,734,1.0,434.5,1,qwen3-32b,domain,859,5030.3
66,5,5,10.8,39.6,712,1.0,439.0,1,qwen3-32b,domain,858,6374.3
67,5,5,26.1,70.2,702,1.0,441.5,0,qwen3-32b,domain,858,6074.2
68,20,5,30.1,73.0,730,1.0,444.0,1,qwen3-32b,domain,858,7338.0
69,20,20,8.9,15.6,625,1.0,454.0,0,qwen3-32b,domain,859,4269.0
70,17,17,9.3,17.4,695,1.0,464.0,1,qwen3-32b,domain,859,6386.9
71,2,2,8.2,18.2,618,1.0,472.5,1,qwen3-32b,domain,859,7517.0
72,20,2,782.2,100.0,556,0.805,473.5,1,qwen3-32b,domain,862,4895.2
73,20,20,8.8,14.7,589,1.0,483.5,0,qwen3-32b,domain,859,6107.9
74,20,20,9.3,13.1,523,1.0,493.5,0,qwen3-32b,domain,859,7105.6
75,2,2,8.5,15.2,607,1.0,503.5,1,qwen3-32b,domain,859,6487.1
76,20,2,4756.0,100.0,794,0.5075,504.5,1,qwen3-32b,domain,864,5127.0
77,8,8,8.4,22.2,890,1.0,514.5,1,qwen3-32b,domain,859,6049.2
78,6,6,23.2,64.6,1034,1.0,518.5,1,qwen3-32b,domain,859,6046.1
79,1,1,361.8,100.0,1323,0.9487,521.5,1,qwen3-32b,domain,864,5758.9
80,6,1,5462.4,100.0,1152,0.5,522.0,1,qwen3-32b,domain,862,6085.3
81,20,6,44.0,81.8,982,1.0,525.0,1,qwen3-32b,domain,858,5841.9
82,20,20,8.9,21.2,847,1.0,535.0,0,qwen3-32b,domain,859,8082.9
83,4,4,9.6,20.6,823,1.0,545.0,1,qwen3-32b,domain,859,4887.7
84,5,4,346.9,100.0,868,0.9575,547.0,1,qwen3-32b,domain,863,6025.7
85,20,5,301.6,100.0,1056,0.972,549.5,1,qwen3-32b,domain,863,5680.2
86,20,20,9.6,24.5,980,1.0,559.5,0,qwen3-32b,domain,859,5525.4
87,9,9,8.8,22.9,916,1.0,569.5,1,qwen3-32b,domain,859,7157.3
88,20,9,15.8,54.7,985,1.0,574.0,1,qwen3-32b,domain,858,6263.2
89,9,9,8.7,23.9,958,1.0,584.0,1,qwen3-32b,domain,859,10451.4
90,9,9,15.8,56.2,1011,1.0,588.5,0,qwen3-32b,domain,859,2165.4
91,8,8,16.4,56.8,1023,1.0,593.0,1,qwen3-32b,domain,859,5032.7
92,20,8,22.9,64.4,1031,1.0,597.0,1,qwen3-32b,domain,859,7094.1
93,1,1,9.0,28.5,1140,1.0,607.0,1,qwen3-32b,domain,860,4204.3
94,20,1,5090.6,100.0,1015,0.5,607.5,1,qwen3-32b,domain,862,6828.9
95,17,17,8.8,24.7,989,1.0,617.5,1,qwen3-32b,domain,859,7430.8
96,3,3,9.2,25.2,858,1.0,626.0,1,qwen3-32b,domain,859,4256.5
97,20,3,796.6,100.0,824,0.8133,627.5,1,qwen3-32b,domain,863,6929.0
98,2,2,8.5,21.9,875,1.0,637.5,1,qwen3-32b,domain,859,5202.1
99,20,2,4979.0,100.0,906,0.5,638.5,1,qwen3-32b,domain,861,6210.1
100,7,7,8.7,19.7,788,1.0,648.5,1,qwen3-32b,domain,859,8322.8
101,5,5,14.5,53.9,754,1.0,652.0,1,qwen3-32b,domain,858,5322.6
102,7,5,28.0,69.7,697,1.0,654.5,1,qwen3-32b,domain,858,5380.7
103,5,5,14.7,52.1,729,1.0,658.0,1,qwen3-32b,domain,858,5279.7
104,20,5,79.7,90.8,908,1.0,660.5,1,qwen3-32b,domain,858,6804.0
