step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,5,3,101.7,91.8,551,1.0,1.5,1,qwen3-32b,zero_shot,705,2167.3
1,5,5,15.0,52.0,520,1.0,4.0,0,qwen3-32b,zero_shot,463,830.3
2,5,5,13.6,49.9,499,1.0,6.5,0,qwen3-32b,zero_shot,489,959.0
3,20,5,14.8,51.3,513,1.0,9.0,1,qwen3-32b,zero_shot,704,1231.4
4,20,20,8.4,13.0,519,1.0,19.0,0,qwen3-32b,zero_shot,658,1328.0
5,20,20,9.0,14.3,571,1.0,29.0,0,qwen3-32b,zero_shot,705,2260.1
6,20,20,8.9,19.9,795,1.0,39.0,0,qwen3-32b,zero_shot,508,856.3
7,20,20,9.6,23.3,933,1.0,49.0,0,qwen3-32b,zero_shot,705,1772.9
8,8,8,9.3,22.8,913,1.0,59.0,1,qwen3-32b,zero_shot,705,1385.6
9,20,8,15.0,53.0,848,1.0,63.0,1,qwen3-32b,zero_shot,704,2045.2
10,5,5,9.5,22.2,890,1.0,73.0,1,qwen3-32b,zero_shot,705,1374.3
11,8,5,79.4,88.9,889,1.0,75.5,1,qwen3-32b,zero_shot,704,1689.6
12,20,8,12.9,48.0,768,1.0,79.5,1,qwen3-32b,zero_shot,704,1287.5
13,20,20,9.1,19.6,782,1.0,89.5,0,qwen3-32b,zero_shot,705,2813.6
14,4,4,8.0,19.4,774,1.0,99.5,1,qwen3-32b,zero_shot,705,4772.1
15,20,4,226.2,98.8,790,1.0,101.5,1,qwen3-32b,zero_shot,705,4229.8
16,8,8,8.9,20.0,800,1.0,111.5,1,qwen3-32b,zero_shot,705,4386.6
17,5,5,16.0,56.0,896,1.0,115.5,1,qwen3-32b,zero_shot,704,4389.2
18,20,5,98.1,91.7,917,1.0,118.0,1,qwen3-32b,zero_shot,704,4825.4
19,20,20,9.3,23.3,933,1.0,128.0,0,qwen3-32b,zero_shot,597,4703.9
20,20,20,8.5,22.4,894,1.0,138.0,0,qwen3-32b,zero_shot,705,7777.7
21,20,20,9.0,22.1,885,1.0,148.0,0,qwen3-32b,zero_shot,705,2884.7
22,5,5,8.9,20.4,818,1.0,158.0,1,qwen3-32b,zero_shot,705,1727.1
23,7,5,37.6,79.3,793,1.0,160.5,1,qwen3-32b,zero_shot,704,4458.9
24,20,7,16.4,56.4,789,1.0,164.0,1,qwen3-32b,zero_shot,704,4514.3
25,20,20,9.3,20.2,809,1.0,174.0,0,qwen3-32b,zero_shot,678,4499.7
