step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-19 15:22:24,3,3,3,33,292,129.7,1.0,1,1,hpa,zero_shot,0,0,CPU-intensive
1,2026-06-19 15:23:25,1,1,322,11,259,5021.3,0.6,2,1,hpa,zero_shot,0,0,CPU-intensive
2,2026-06-19 15:24:46,2,2,196,25,200,100.5,1.0,1,1,hpa,zero_shot,0,0,CPU-intensive
3,2026-06-19 15:25:47,1,1,227,11,205,3985.7,1.0,1,0,hpa,zero_shot,0,0,CPU-intensive
4,2026-06-19 15:26:56,1,1,265,14,222,5019.3,0.9,2,1,hpa,zero_shot,0,0,CPU-intensive
5,2026-06-19 15:28:18,2,2,275,24,286,278.0,1.0,2,0,hpa,zero_shot,0,0,CPU-intensive
6,2026-06-19 15:29:20,2,2,1002,28,575,5016.8,0.7,5,1,hpa,zero_shot,0,0,CPU-intensive
7,2026-06-19 15:30:40,5,5,530,61,776,96.8,1.0,3,1,hpa,zero_shot,0,0,CPU-intensive
8,2026-06-19 15:31:41,3,3,604,36,746,77.4,1.0,3,0,hpa,zero_shot,0,0,CPU-intensive
9,2026-06-19 15:32:42,3,3,482,37,639,115.8,1.0,2,1,hpa,zero_shot,0,0,CPU-intensive
10,2026-06-19 15:33:43,2,2,384,22,727,204.4,1.0,2,0,hpa,zero_shot,0,0,CPU-intensive
11,2026-06-19 15:34:45,2,2,314,23,686,196.3,1.0,2,0,hpa,zero_shot,0,0,CPU-intensive
12,2026-06-19 15:35:46,2,2,320,22,561,109.6,1.0,2,0,hpa,zero_shot,0,0,CPU-intensive
13,2026-06-19 15:36:47,2,2,321,23,577,135.9,1.0,2,0,hpa,zero_shot,0,0,CPU-intensive
14,2026-06-19 15:37:48,2,2,318,23,575,94.0,1.0,2,0,hpa,zero_shot,0,0,CPU-intensive
15,2026-06-19 15:38:49,2,2,337,23,590,207.6,1.0,2,0,hpa,zero_shot,0,0,CPU-intensive
16,2026-06-19 15:39:51,2,2,386,23,604,221.0,1.0,2,0,hpa,zero_shot,0,0,CPU-intensive
17,2026-06-19 15:40:52,2,2,415,23,729,211.8,1.0,2,0,hpa,zero_shot,0,0,CPU-intensive
18,2026-06-19 15:41:54,2,2,452,23,760,277.5,1.0,2,0,hpa,zero_shot,0,0,CPU-intensive
19,2026-06-19 15:42:56,2,2,418,24,763,298.5,1.0,2,0,hpa,zero_shot,0,0,CPU-intensive
