step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-19 15:22:13,292,292,92.5,89.8,141.6,168.7,292,0,1.0
1,2026-06-19 15:23:13,259,259,1414.0,103.3,5019.8,5021.6,196,63,0.7568
2,2026-06-19 15:24:13,200,201,80.5,93.2,108.7,128.7,200,0,1.0
3,2026-06-19 15:25:13,205,200,1585.8,137.9,5019.1,5021.5,169,36,0.8244
4,2026-06-19 15:26:14,222,208,1195.9,132.0,4689.3,5021.2,201,21,0.9054
5,2026-06-19 15:27:18,286,287,89.8,90.5,146.8,213.8,286,0,1.0
6,2026-06-19 15:28:18,575,567,1714.7,657.3,5016.7,5021.7,498,77,0.8661
7,2026-06-19 15:29:19,776,776,1732.8,147.1,5017.4,5021.8,619,157,0.7977
8,2026-06-19 15:30:19,746,747,67.5,46.8,116.1,362.6,746,0,1.0
9,2026-06-19 15:31:19,639,640,76.5,53.7,133.4,360.5,639,0,1.0
10,2026-06-19 15:32:19,727,727,56.4,53.9,66.8,219.1,727,0,1.0
11,2026-06-19 15:33:19,686,686,53.5,54.8,62.6,84.0,686,0,1.0
12,2026-06-19 15:34:19,561,561,52.0,53.9,61.1,72.5,561,0,1.0
13,2026-06-19 15:35:19,577,577,52.5,54.6,60.9,76.4,577,0,1.0
14,2026-06-19 15:36:19,575,576,52.5,54.1,62.3,74.9,575,0,1.0
15,2026-06-19 15:37:19,590,590,52.6,54.8,61.8,71.1,590,0,1.0
16,2026-06-19 15:38:19,604,605,53.2,54.4,61.6,82.6,604,0,1.0
17,2026-06-19 15:39:19,729,729,54.3,54.9,63.1,116.9,729,0,1.0
18,2026-06-19 15:40:19,760,760,54.2,54.9,63.0,83.4,760,0,1.0
19,2026-06-19 15:41:18,763,763,55.5,54.7,62.2,203.2,763,0,1.0
20,2026-06-19 15:42:18,735,735,50.0,50.6,60.8,75.8,735,0,1.0
21,2026-06-19 15:43:18,718,718,45.3,42.7,57.4,75.9,718,0,1.0
22,2026-06-19 15:44:18,623,624,45.9,41.8,60.1,92.1,623,0,1.0
23,2026-06-19 15:45:18,559,560,45.7,39.8,59.4,106.1,559,0,1.0
24,2026-06-19 15:46:18,569,569,45.0,38.2,58.1,125.0,569,0,1.0
25,2026-06-19 15:47:18,640,641,45.8,41.1,61.5,73.8,640,0,1.0
26,2026-06-19 15:48:18,640,641,47.3,40.5,60.6,159.2,640,0,1.0
27,2026-06-19 15:49:18,688,689,43.3,39.4,57.4,67.3,688,0,1.0
28,2026-06-19 15:50:18,545,546,45.4,37.3,58.7,114.4,545,0,1.0
29,2026-06-19 15:51:18,550,550,44.6,37.4,58.3,68.0,550,0,1.0
30,2026-06-19 15:52:18,643,643,44.9,39.0,59.0,71.2,643,0,1.0
31,2026-06-19 15:53:18,592,592,63.2,45.0,111.0,312.0,592,0,1.0
32,2026-06-19 15:54:18,443,444,73.2,51.9,134.6,266.4,443,0,1.0
33,2026-06-19 15:55:18,442,443,72.6,51.9,132.5,287.5,442,0,1.0
34,2026-06-19 15:56:18,401,401,68.9,52.8,130.5,164.0,401,0,1.0
35,2026-06-19 15:57:18,378,379,70.1,53.1,132.3,165.7,378,0,1.0
36,2026-06-19 15:58:18,296,296,70.1,53.2,129.4,167.9,296,0,1.0
37,2026-06-19 15:59:18,381,381,71.2,52.9,129.7,196.3,381,0,1.0
38,2026-06-19 16:00:18,340,341,71.4,53.0,135.8,166.1,340,0,1.0
39,2026-06-19 16:01:17,358,359,69.8,51.1,136.3,166.9,358,0,1.0
40,2026-06-19 16:02:17,451,452,71.0,51.5,137.7,208.6,451,0,1.0
41,2026-06-19 16:03:17,623,578,2288.9,1966.6,5020.1,5022.0,469,154,0.7528
42,2026-06-19 16:04:22,518,518,103.0,52.5,144.6,1131.9,518,0,1.0
43,2026-06-19 16:05:22,548,548,82.9,52.7,132.9,515.6,548,0,1.0
44,2026-06-19 16:06:22,499,500,94.3,52.1,140.1,1018.5,499,0,1.0
45,2026-06-19 16:07:22,517,517,77.6,51.9,136.2,329.9,517,0,1.0
46,2026-06-19 16:08:22,471,471,68.2,49.3,123.2,178.7,471,0,1.0
47,2026-06-19 16:09:22,503,504,70.5,48.5,130.8,256.8,503,0,1.0
48,2026-06-19 16:10:22,605,604,120.8,55.9,218.5,1140.6,605,0,1.0
49,2026-06-19 16:11:22,621,622,103.0,53.3,143.0,1076.2,621,0,1.0
50,2026-06-19 16:12:22,646,647,95.1,52.6,152.9,884.6,646,0,1.0
51,2026-06-19 16:13:22,639,639,82.3,51.8,143.4,453.0,639,0,1.0
52,2026-06-19 16:14:22,493,494,68.1,49.9,130.4,194.0,493,0,1.0
53,2026-06-19 16:15:22,446,447,81.6,51.5,142.4,462.0,446,0,1.0
54,2026-06-19 16:16:22,435,435,71.0,52.0,136.4,189.4,435,0,1.0
55,2026-06-19 16:17:22,425,426,72.5,53.3,135.9,208.5,425,0,1.0
56,2026-06-19 16:18:22,401,402,72.9,53.8,135.2,173.3,401,0,1.0
57,2026-06-19 16:19:21,491,492,76.3,49.3,123.7,448.5,491,0,1.0
58,2026-06-19 16:20:21,382,383,73.3,53.1,138.9,183.5,382,0,1.0
59,2026-06-19 16:21:21,414,415,73.7,53.6,137.6,203.3,414,0,1.0
