step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-19 16:25:08,292,293,74.1,52.8,139.0,215.2,292,0,1.0
1,2026-06-19 16:26:08,259,260,68.0,44.4,133.4,167.1,259,0,1.0
2,2026-06-19 16:27:08,200,201,56.2,44.2,89.0,91.0,200,0,1.0
3,2026-06-19 16:28:07,205,206,68.1,44.4,130.4,172.6,205,0,1.0
4,2026-06-19 16:29:07,222,223,66.9,43.5,131.9,169.2,222,0,1.0
5,2026-06-19 16:30:07,286,287,71.0,53.0,135.6,168.9,286,0,1.0
6,2026-06-19 16:31:07,575,575,64.9,44.5,120.2,205.1,575,0,1.0
7,2026-06-19 16:32:07,776,776,52.4,43.8,88.8,142.8,776,0,1.0
8,2026-06-19 16:33:07,746,746,53.8,43.2,89.9,149.9,746,0,1.0
9,2026-06-19 16:34:07,639,640,58.5,43.5,108.1,140.4,639,0,1.0
10,2026-06-19 16:35:07,727,727,53.2,43.4,88.9,143.2,727,0,1.0
11,2026-06-19 16:36:07,686,686,56.0,44.1,101.1,148.7,686,0,1.0
12,2026-06-19 16:37:07,561,561,64.8,46.0,122.4,152.0,561,0,1.0
13,2026-06-19 16:38:07,577,578,62.9,43.7,120.9,158.0,577,0,1.0
14,2026-06-19 16:39:07,575,576,64.6,44.1,120.9,162.1,575,0,1.0
15,2026-06-19 16:40:07,590,591,63.3,44.0,119.8,159.2,590,0,1.0
16,2026-06-19 16:41:06,604,604,65.0,44.2,118.2,232.8,604,0,1.0
17,2026-06-19 16:42:06,729,729,55.4,44.1,94.9,140.3,729,0,1.0
18,2026-06-19 16:43:06,760,760,53.7,43.8,94.8,151.1,760,0,1.0
19,2026-06-19 16:44:06,763,763,54.4,43.5,97.4,149.1,763,0,1.0
20,2026-06-19 16:45:06,735,735,52.4,43.7,88.3,130.7,735,0,1.0
21,2026-06-19 16:46:06,718,718,54.3,43.3,90.1,140.0,718,0,1.0
22,2026-06-19 16:47:06,623,624,61.0,43.9,117.4,152.9,623,0,1.0
23,2026-06-19 16:48:06,559,559,64.0,45.7,123.5,147.2,559,0,1.0
24,2026-06-19 16:49:06,569,570,64.5,44.0,120.5,228.6,569,0,1.0
25,2026-06-19 16:50:06,640,640,57.8,42.9,106.3,138.0,640,0,1.0
26,2026-06-19 16:51:06,640,641,59.0,42.8,110.4,152.4,640,0,1.0
27,2026-06-19 16:52:06,688,689,56.1,42.9,96.4,159.5,688,0,1.0
28,2026-06-19 16:53:06,545,546,65.3,44.1,124.1,159.1,545,0,1.0
29,2026-06-19 16:54:06,550,551,64.2,45.4,125.8,144.9,550,0,1.0
30,2026-06-19 16:55:06,643,643,59.1,43.5,106.9,145.6,643,0,1.0
31,2026-06-19 16:56:06,592,593,61.5,43.4,115.8,144.0,592,0,1.0
32,2026-06-19 16:57:06,443,444,68.0,51.7,125.1,159.0,443,0,1.0
33,2026-06-19 16:58:06,442,443,70.6,52.6,136.9,157.5,442,0,1.0
34,2026-06-19 16:59:06,401,401,70.1,53.1,134.8,167.5,401,0,1.0
35,2026-06-19 17:00:06,378,378,71.4,52.5,135.6,161.0,378,0,1.0
36,2026-06-19 17:01:06,296,296,71.6,53.2,133.7,168.4,296,0,1.0
37,2026-06-19 17:02:06,381,381,70.4,53.2,133.3,166.1,381,0,1.0
38,2026-06-19 17:03:06,340,340,73.8,53.5,138.7,175.9,340,0,1.0
39,2026-06-19 17:04:06,358,359,71.4,53.1,134.7,165.1,358,0,1.0
40,2026-06-19 17:05:05,451,452,67.7,48.5,133.5,160.3,451,0,1.0
41,2026-06-19 17:06:05,623,623,60.4,44.0,108.5,155.9,623,0,1.0
42,2026-06-19 17:07:05,518,519,64.2,45.9,122.2,157.2,518,0,1.0
43,2026-06-19 17:08:05,548,549,64.9,44.7,128.3,153.0,548,0,1.0
44,2026-06-19 17:09:05,499,499,66.0,45.6,129.1,155.5,499,0,1.0
45,2026-06-19 17:10:05,517,518,68.7,47.6,130.9,201.9,517,0,1.0
46,2026-06-19 17:11:05,471,472,68.1,48.0,131.7,172.8,471,0,1.0
47,2026-06-19 17:12:05,503,504,67.4,47.2,124.7,223.2,503,0,1.0
48,2026-06-19 17:13:05,605,605,60.5,44.5,110.9,141.3,605,0,1.0
49,2026-06-19 17:14:05,621,622,61.9,44.1,115.6,154.0,621,0,1.0
50,2026-06-19 17:15:05,646,647,58.9,43.4,106.4,155.5,646,0,1.0
51,2026-06-19 17:16:05,639,640,60.1,43.9,112.3,180.7,639,0,1.0
52,2026-06-19 17:17:05,493,494,67.5,49.2,131.3,162.2,493,0,1.0
53,2026-06-19 17:18:05,446,447,69.8,51.9,135.0,169.5,446,0,1.0
54,2026-06-19 17:19:05,435,435,68.7,50.4,135.5,163.0,435,0,1.0
55,2026-06-19 17:20:05,425,426,68.2,52.7,130.6,157.6,425,0,1.0
56,2026-06-19 17:21:05,401,402,70.7,53.7,130.5,161.1,401,0,1.0
57,2026-06-19 17:22:04,491,492,64.9,44.7,122.8,151.6,491,0,1.0
58,2026-06-19 17:23:04,382,383,71.5,52.8,134.2,170.7,382,0,1.0
59,2026-06-19 17:24:04,414,414,69.3,53.1,133.1,159.2,414,0,1.0
