step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-19 21:33:36,292,293,72.2,52.8,138.7,206.7,292,0,1.0
1,2026-06-19 21:34:36,259,260,67.9,52.9,126.1,164.0,259,0,1.0
2,2026-06-19 21:35:36,200,201,69.0,43.7,135.6,178.6,200,0,1.0
3,2026-06-19 21:36:36,205,206,67.5,43.8,130.9,164.9,205,0,1.0
4,2026-06-19 21:37:36,222,222,68.1,45.1,133.6,162.9,222,0,1.0
5,2026-06-19 21:38:35,286,287,72.9,53.3,135.4,168.0,286,0,1.0
6,2026-06-19 21:39:35,575,575,65.1,44.5,123.4,162.6,575,0,1.0
7,2026-06-19 21:40:35,776,776,52.1,43.5,88.3,148.5,776,0,1.0
8,2026-06-19 21:41:35,746,747,53.3,43.3,89.9,163.9,746,0,1.0
9,2026-06-19 21:42:35,639,639,63.1,44.1,116.6,234.9,639,0,1.0
10,2026-06-19 21:43:35,727,727,56.0,43.7,93.5,187.8,727,0,1.0
11,2026-06-19 21:44:35,686,687,58.2,43.7,100.5,157.3,686,0,1.0
12,2026-06-19 21:45:35,561,561,63.8,44.0,120.8,160.4,561,0,1.0
13,2026-06-19 21:46:35,577,577,63.3,43.8,118.0,156.0,577,0,1.0
14,2026-06-19 21:47:35,575,576,66.2,45.0,119.9,225.0,575,0,1.0
15,2026-06-19 21:48:35,590,589,61.7,44.2,108.5,176.6,590,0,1.0
16,2026-06-19 21:49:35,604,604,61.2,44.6,110.3,154.9,604,0,1.0
17,2026-06-19 21:50:35,729,729,55.3,43.9,98.1,153.6,729,0,1.0
18,2026-06-19 21:51:35,760,760,52.1,43.0,88.1,136.4,760,0,1.0
19,2026-06-19 21:52:35,763,763,51.0,43.2,87.1,134.9,763,0,1.0
20,2026-06-19 21:53:35,735,736,52.3,43.7,88.6,138.7,735,0,1.0
21,2026-06-19 21:54:35,718,718,57.3,43.8,102.3,165.6,718,0,1.0
22,2026-06-19 21:55:35,623,623,60.5,44.1,111.4,149.1,623,0,1.0
23,2026-06-19 21:56:35,559,559,64.4,44.2,121.1,220.5,559,0,1.0
24,2026-06-19 21:57:35,569,569,63.0,44.2,109.8,153.9,569,0,1.0
25,2026-06-19 21:58:35,640,641,60.5,42.8,112.9,149.4,640,0,1.0
26,2026-06-19 21:59:35,640,640,61.7,43.9,111.6,160.2,640,0,1.0
27,2026-06-19 22:00:35,688,688,57.3,43.3,101.3,167.7,688,0,1.0
28,2026-06-19 22:01:35,545,546,65.7,45.2,127.9,164.1,545,0,1.0
29,2026-06-19 22:02:35,550,551,64.1,46.7,121.1,148.5,550,0,1.0
30,2026-06-19 22:03:35,643,643,59.0,43.3,105.8,148.1,643,0,1.0
31,2026-06-19 22:04:35,592,592,62.9,45.6,113.4,162.8,592,0,1.0
32,2026-06-19 22:05:35,443,444,66.3,51.4,123.1,158.6,443,0,1.0
33,2026-06-19 22:06:35,442,442,68.6,51.4,134.1,165.4,442,0,1.0
34,2026-06-19 22:07:34,401,401,69.6,53.3,125.0,162.7,401,0,1.0
35,2026-06-19 22:08:34,378,379,70.9,49.0,139.2,174.9,378,0,1.0
36,2026-06-19 22:09:34,296,297,66.6,51.2,120.4,156.2,296,0,1.0
37,2026-06-19 22:10:34,381,382,72.5,53.5,136.0,165.3,381,0,1.0
38,2026-06-19 22:11:34,340,341,72.7,53.3,134.2,159.5,340,0,1.0
39,2026-06-19 22:12:34,358,359,70.9,53.5,130.9,162.5,358,0,1.0
40,2026-06-19 22:13:34,451,452,66.7,49.6,123.8,163.4,451,0,1.0
41,2026-06-19 22:14:34,623,624,60.9,43.3,111.3,148.2,623,0,1.0
42,2026-06-19 22:15:34,518,518,66.3,47.1,128.3,166.9,518,0,1.0
43,2026-06-19 22:16:34,548,549,64.0,45.6,119.2,156.2,548,0,1.0
44,2026-06-19 22:17:34,499,500,65.6,44.0,124.6,159.8,499,0,1.0
45,2026-06-19 22:18:34,517,517,67.3,48.0,130.2,164.0,517,0,1.0
46,2026-06-19 22:19:34,471,471,65.2,47.8,122.7,155.3,471,0,1.0
47,2026-06-19 22:20:34,503,503,68.3,47.6,131.8,169.0,503,0,1.0
48,2026-06-19 22:21:34,605,605,61.1,44.1,112.6,143.1,605,0,1.0
49,2026-06-19 22:22:34,621,622,61.7,43.8,113.9,151.7,621,0,1.0
50,2026-06-19 22:23:34,646,646,57.8,43.4,105.6,141.2,646,0,1.0
51,2026-06-19 22:24:34,639,640,59.6,43.6,110.7,147.4,639,0,1.0
52,2026-06-19 22:25:34,493,494,64.3,44.0,130.1,153.3,493,0,1.0
53,2026-06-19 22:26:33,446,447,65.2,47.9,120.0,151.3,446,0,1.0
54,2026-06-19 22:27:33,435,436,67.7,51.1,128.9,159.7,435,0,1.0
55,2026-06-19 22:28:33,425,426,69.4,52.7,135.7,154.2,425,0,1.0
56,2026-06-19 22:29:33,401,402,70.2,53.1,131.2,162.2,401,0,1.0
57,2026-06-19 22:30:33,491,492,65.5,45.4,126.4,166.0,491,0,1.0
58,2026-06-19 22:31:33,382,383,71.3,53.6,131.7,169.2,382,0,1.0
59,2026-06-19 22:32:33,414,415,68.8,53.1,133.9,158.4,414,0,1.0
