step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-19 19:00:26,292,293,70.7,52.8,132.4,161.6,292,0,1.0
1,2026-06-19 19:01:26,259,260,74.8,53.1,139.2,168.8,259,0,1.0
2,2026-06-19 19:02:26,200,201,71.9,53.3,118.8,143.6,200,0,1.0
3,2026-06-19 19:03:25,205,206,74.7,54.4,140.3,207.4,205,0,1.0
4,2026-06-19 19:04:25,222,223,71.7,53.8,132.4,166.8,222,0,1.0
5,2026-06-19 19:05:25,286,287,69.9,52.8,132.9,174.0,286,0,1.0
6,2026-06-19 19:06:25,575,576,64.9,45.6,121.0,209.2,575,0,1.0
7,2026-06-19 19:07:25,776,776,51.0,42.9,87.0,139.2,776,0,1.0
8,2026-06-19 19:08:25,746,746,51.6,43.4,87.8,136.9,746,0,1.0
9,2026-06-19 19:09:25,639,640,64.2,46.3,113.3,235.6,639,0,1.0
10,2026-06-19 19:10:25,727,728,59.0,46.1,101.1,274.6,727,0,1.0
11,2026-06-19 19:11:25,686,687,58.6,44.7,103.4,164.0,686,0,1.0
12,2026-06-19 19:12:25,561,562,68.8,46.5,125.7,248.3,561,0,1.0
13,2026-06-19 19:13:25,577,578,64.1,45.4,117.5,210.4,577,0,1.0
14,2026-06-19 19:14:24,575,575,65.1,45.0,125.7,164.7,575,0,1.0
15,2026-06-19 19:15:24,590,591,67.4,45.9,128.5,234.5,590,0,1.0
16,2026-06-19 19:16:24,604,605,60.6,44.2,109.9,142.0,604,0,1.0
17,2026-06-19 19:17:24,729,729,53.0,44.0,88.4,140.2,729,0,1.0
18,2026-06-19 19:18:24,760,760,52.4,43.5,87.9,142.6,760,0,1.0
19,2026-06-19 19:19:24,763,763,52.6,43.8,88.5,145.3,763,0,1.0
20,2026-06-19 19:20:24,735,735,54.9,44.3,92.9,149.5,735,0,1.0
21,2026-06-19 19:21:24,718,718,54.5,44.1,90.8,143.1,718,0,1.0
22,2026-06-19 19:22:24,623,624,61.6,44.2,110.6,161.0,623,0,1.0
23,2026-06-19 19:23:24,559,560,66.6,44.3,124.5,230.8,559,0,1.0
24,2026-06-19 19:24:24,569,569,66.5,45.0,124.0,231.6,569,0,1.0
25,2026-06-19 19:25:24,640,641,60.0,45.0,111.6,148.7,640,0,1.0
26,2026-06-19 19:26:24,640,640,60.4,44.8,109.2,157.4,640,0,1.0
27,2026-06-19 19:27:24,688,689,56.5,43.8,100.0,141.5,688,0,1.0
28,2026-06-19 19:28:24,545,546,64.0,45.3,114.8,208.9,545,0,1.0
29,2026-06-19 19:29:24,550,551,68.7,45.5,126.7,326.1,550,0,1.0
30,2026-06-19 19:30:24,643,643,58.9,44.5,105.4,160.5,643,0,1.0
31,2026-06-19 19:31:24,592,592,65.7,45.2,119.0,257.9,592,0,1.0
32,2026-06-19 19:32:24,443,444,68.7,48.1,133.7,163.2,443,0,1.0
33,2026-06-19 19:33:24,442,442,65.7,47.7,123.3,152.0,442,0,1.0
34,2026-06-19 19:34:24,401,402,73.8,54.6,137.5,219.9,401,0,1.0
35,2026-06-19 19:35:24,378,378,70.6,51.4,133.7,163.9,378,0,1.0
36,2026-06-19 19:36:24,296,297,70.1,51.2,136.9,172.7,296,0,1.0
37,2026-06-19 19:37:23,381,382,71.5,53.7,129.7,172.8,381,0,1.0
38,2026-06-19 19:38:23,340,341,70.7,52.8,135.2,182.6,340,0,1.0
39,2026-06-19 19:39:23,358,359,71.9,53.1,135.2,165.3,358,0,1.0
40,2026-06-19 19:40:23,451,451,69.7,50.7,131.9,200.2,451,0,1.0
41,2026-06-19 19:41:23,623,623,68.9,46.6,131.4,255.5,623,0,1.0
42,2026-06-19 19:42:23,518,519,64.8,46.7,121.1,156.5,518,0,1.0
43,2026-06-19 19:43:23,548,549,67.3,46.2,126.9,186.8,548,0,1.0
44,2026-06-19 19:44:23,499,500,64.9,46.7,120.3,156.9,499,0,1.0
45,2026-06-19 19:45:23,517,517,65.8,45.3,128.0,171.5,517,0,1.0
46,2026-06-19 19:46:23,471,472,68.4,51.6,131.5,185.3,471,0,1.0
47,2026-06-19 19:47:23,503,503,68.9,51.0,131.8,195.3,503,0,1.0
48,2026-06-19 19:48:23,605,606,61.6,44.1,115.7,151.6,605,0,1.0
49,2026-06-19 19:49:23,621,621,62.5,44.8,113.7,159.8,621,0,1.0
50,2026-06-19 19:50:23,646,647,60.2,43.9,112.6,148.5,646,0,1.0
51,2026-06-19 19:51:23,639,640,60.9,43.5,112.4,156.5,639,0,1.0
52,2026-06-19 19:52:23,493,494,66.9,45.2,128.7,201.3,493,0,1.0
53,2026-06-19 19:53:22,446,446,67.4,49.5,134.1,166.6,446,0,1.0
54,2026-06-19 19:54:22,435,435,68.3,51.1,128.4,161.5,435,0,1.0
55,2026-06-19 19:55:22,425,425,68.0,51.7,132.0,155.9,425,0,1.0
56,2026-06-19 19:56:22,401,401,70.5,53.3,133.4,160.9,401,0,1.0
57,2026-06-19 19:57:22,491,490,67.2,48.2,128.9,190.8,491,0,1.0
58,2026-06-19 19:58:22,382,383,72.2,53.9,134.9,164.7,382,0,1.0
59,2026-06-19 19:59:22,414,415,69.4,53.3,128.2,159.5,414,0,1.0
