step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-22 04:45:23,3,3,5,55,292,55.4,1.0,3,0,llama-70b,cot,738,70549.9,CPU-intensive
1,2026-06-22 04:47:35,3,3,267,34,259,171.2,1.0,3,0,llama-70b,cot,599,19648.1,CPU-intensive
2,2026-06-22 04:48:55,3,3,216,33,200,98.8,1.0,3,0,llama-70b,cot,660,32488.9,CPU-intensive
3,2026-06-22 04:50:28,3,3,279,34,205,43.4,1.0,3,0,llama-70b,cot,583,7148.5,CPU-intensive
4,2026-06-22 04:51:36,3,3,350,33,222,169.3,1.0,3,0,llama-70b,cot,569,6595.9,CPU-intensive
5,2026-06-22 04:52:44,4,3,579,34,286,199.1,1.0,4,1,llama-70b,cot,668,11034.7,CPU-intensive
6,2026-06-22 04:53:56,4,4,621,46,575,144.0,1.0,4,0,llama-70b,cot,650,35315.5,CPU-intensive
7,2026-06-22 04:55:32,4,4,521,45,776,102.8,1.0,4,0,llama-70b,cot,697,21684.6,CPU-intensive
8,2026-06-22 04:56:54,4,4,543,46,746,84.2,1.0,4,0,llama-70b,cot,655,22775.3,CPU-intensive
9,2026-06-22 04:58:18,4,4,517,45,639,129.4,1.0,4,0,llama-70b,cot,717,14254.9,CPU-intensive
10,2026-06-22 04:59:33,4,4,488,45,727,79.4,1.0,4,0,llama-70b,cot,665,9175.4,CPU-intensive
11,2026-06-22 05:00:43,4,4,491,45,686,82.5,1.0,4,0,llama-70b,cot,684,26616.1,CPU-intensive
12,2026-06-22 05:02:10,4,4,509,45,561,88.6,1.0,4,0,llama-70b,cot,634,14768.4,CPU-intensive
13,2026-06-22 05:03:25,4,4,515,47,577,187.7,1.0,4,0,llama-70b,cot,652,9922.2,CPU-intensive
14,2026-06-22 05:04:36,4,4,587,45,575,93.1,1.0,4,0,llama-70b,cot,617,186317.1,CPU-intensive
15,2026-06-22 05:08:43,4,4,535,46,590,90.4,1.0,4,0,llama-70b,cot,690,50620.5,CPU-intensive
16,2026-06-22 05:10:35,4,4,552,46,604,185.1,1.0,4,0,llama-70b,cot,642,36597.7,CPU-intensive
17,2026-06-22 05:12:12,4,4,534,46,729,196.7,1.0,4,0,llama-70b,cot,750,28338.0,CPU-intensive
18,2026-06-22 05:13:41,4,4,502,46,760,53.0,1.0,4,0,llama-70b,cot,705,53531.4,CPU-intensive
19,2026-06-22 05:15:35,4,4,527,47,763,131.1,1.0,4,0,llama-70b,cot,628,27699.8,CPU-intensive
20,2026-06-22 05:17:04,20,4,481,46,735,310.3,1.0,20,1,llama-70b,cot,750,9898.3,CPU-intensive
21,2026-06-22 05:18:15,20,19,435,210,718,41.5,1.0,20,0,llama-70b,cot,750,34454.3,CPU-intensive
22,2026-06-22 05:19:50,20,19,418,210,623,37.1,1.0,20,0,llama-70b,cot,735,7738.3,CPU-intensive
23,2026-06-22 05:20:58,20,19,441,211,559,97.1,1.0,20,0,llama-70b,cot,719,60709.1,CPU-intensive
24,2026-06-22 05:23:00,20,19,429,210,569,37.2,1.0,20,0,llama-70b,cot,703,40053.6,CPU-intensive
25,2026-06-22 05:24:40,20,19,384,210,640,38.5,1.0,20,0,llama-70b,cot,728,54890.9,CPU-intensive
26,2026-06-22 05:26:36,20,19,484,210,640,55.0,1.0,20,0,llama-70b,cot,750,34264.7,CPU-intensive
27,2026-06-22 05:28:11,20,19,446,210,688,72.5,1.0,20,0,llama-70b,cot,750,35610.1,CPU-intensive
28,2026-06-22 05:29:47,19,19,439,210,545,38.8,1.0,19,1,llama-70b,cot,723,11351.0,CPU-intensive
29,2026-06-22 05:30:59,19,19,445,210,550,39.4,1.0,19,0,llama-70b,cot,750,59368.9,CPU-intensive
30,2026-06-22 05:32:59,19,19,461,210,643,36.9,1.0,19,0,llama-70b,cot,664,33810.9,CPU-intensive
31,2026-06-22 05:34:33,19,19,524,210,592,97.7,1.0,19,0,llama-70b,cot,718,46355.6,CPU-intensive
32,2026-06-22 05:36:20,19,19,555,210,443,63.3,1.0,19,0,llama-70b,cot,708,42185.9,CPU-intensive
33,2026-06-22 05:38:03,19,19,474,210,442,60.9,1.0,19,0,llama-70b,cot,641,27524.2,CPU-intensive
34,2026-06-22 05:39:31,19,19,442,211,401,37.2,1.0,19,0,llama-70b,cot,668,12964.2,CPU-intensive
35,2026-06-22 05:40:45,19,19,483,210,378,52.6,1.0,19,0,llama-70b,cot,658,15972.3,CPU-intensive
36,2026-06-22 05:42:02,19,19,448,211,296,47.7,1.0,19,0,llama-70b,cot,667,36346.3,CPU-intensive
37,2026-06-22 05:43:39,1,19,452,210,381,40.0,1.0,1,1,llama-70b,cot,750,17606.1,CPU-intensive
38,2026-06-22 05:44:57,10,1,500,14,340,5019.6,0.5,10,1,llama-70b,cot,667,22140.9,CPU-intensive
