step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-21 21:03:44,3,3,54,165,292,118.6,1.0,3,0,llama-70b,zero_shot,197,18849.0,CPU-intensive
1,2026-06-21 21:05:04,3,3,212,34,259,97.2,1.0,3,0,llama-70b,zero_shot,197,604.1,CPU-intensive
2,2026-06-21 21:06:05,3,3,166,33,200,95.5,1.0,3,0,llama-70b,zero_shot,197,1867.1,CPU-intensive
3,2026-06-21 21:07:08,3,3,246,33,205,113.7,1.0,3,0,llama-70b,zero_shot,197,5813.9,CPU-intensive
4,2026-06-21 21:08:14,3,3,286,33,222,109.5,1.0,3,0,llama-70b,zero_shot,197,496.8,CPU-intensive
5,2026-06-21 21:09:16,3,3,364,33,286,97.5,1.0,3,0,llama-70b,zero_shot,197,691.9,CPU-intensive
6,2026-06-21 21:10:17,4,3,482,33,575,194.6,1.0,4,1,llama-70b,zero_shot,197,5972.3,CPU-intensive
7,2026-06-21 21:11:24,4,4,631,44,776,128.0,1.0,4,0,llama-70b,zero_shot,197,485.7,CPU-intensive
8,2026-06-21 21:12:26,4,4,538,44,746,87.3,1.0,4,0,llama-70b,zero_shot,197,465.3,CPU-intensive
9,2026-06-21 21:13:27,6,4,595,44,639,235.3,1.0,6,1,llama-70b,zero_shot,197,450.9,CPU-intensive
10,2026-06-21 21:14:28,6,6,574,66,727,89.3,1.0,6,0,llama-70b,zero_shot,197,480.5,CPU-intensive
11,2026-06-21 21:15:29,8,6,550,66,686,241.7,1.0,8,1,llama-70b,zero_shot,197,558.5,CPU-intensive
12,2026-06-21 21:16:31,8,8,483,88,561,172.7,1.0,8,0,llama-70b,zero_shot,197,1394.3,CPU-intensive
13,2026-06-21 21:17:33,8,8,538,88,577,173.9,1.0,8,0,llama-70b,zero_shot,197,8845.3,CPU-intensive
14,2026-06-21 21:18:43,8,8,479,88,575,60.1,1.0,8,0,llama-70b,zero_shot,197,1838.2,CPU-intensive
15,2026-06-21 21:19:45,8,8,527,88,590,36.8,1.0,8,0,llama-70b,zero_shot,197,1184.0,CPU-intensive
16,2026-06-21 21:20:47,8,8,519,88,604,43.7,1.0,8,0,llama-70b,zero_shot,197,731.0,CPU-intensive
17,2026-06-21 21:21:48,8,8,535,89,729,37.2,1.0,8,0,llama-70b,zero_shot,197,14098.1,CPU-intensive
18,2026-06-21 21:23:03,8,8,608,90,760,53.1,1.0,8,0,llama-70b,zero_shot,197,11839.3,CPU-intensive
19,2026-06-21 21:24:15,8,8,603,88,763,37.2,1.0,8,0,llama-70b,zero_shot,197,660.0,CPU-intensive
20,2026-06-21 21:25:17,8,8,565,88,735,38.5,1.0,8,0,llama-70b,zero_shot,197,9055.4,CPU-intensive
21,2026-06-21 21:26:26,8,8,534,89,718,52.8,1.0,8,0,llama-70b,zero_shot,197,742.5,CPU-intensive
22,2026-06-21 21:27:27,8,8,514,89,623,85.7,1.0,8,0,llama-70b,zero_shot,197,1367.2,CPU-intensive
23,2026-06-21 21:28:30,8,8,516,88,559,61.9,1.0,8,0,llama-70b,zero_shot,197,461.1,CPU-intensive
24,2026-06-21 21:29:31,8,8,527,89,569,113.8,1.0,8,0,llama-70b,zero_shot,197,22540.4,CPU-intensive
25,2026-06-21 21:30:54,8,8,560,89,640,43.5,1.0,8,0,llama-70b,zero_shot,197,2477.9,CPU-intensive
26,2026-06-21 21:31:57,8,8,483,88,640,90.8,1.0,8,0,llama-70b,zero_shot,197,13459.6,CPU-intensive
27,2026-06-21 21:33:11,8,8,556,88,688,73.9,1.0,8,0,llama-70b,zero_shot,197,1361.4,CPU-intensive
28,2026-06-21 21:34:13,8,8,566,89,545,62.8,1.0,8,0,llama-70b,zero_shot,197,31969.3,CPU-intensive
29,2026-06-21 21:35:46,8,8,530,89,550,91.6,1.0,8,0,llama-70b,zero_shot,197,8605.8,CPU-intensive
30,2026-06-21 21:36:55,8,8,438,88,643,88.2,1.0,8,0,llama-70b,zero_shot,197,493.9,CPU-intensive
31,2026-06-21 21:37:56,8,8,457,88,592,73.0,1.0,8,0,llama-70b,zero_shot,197,547.0,CPU-intensive
32,2026-06-21 21:38:57,8,8,381,88,443,36.3,1.0,8,0,llama-70b,zero_shot,197,2191.5,CPU-intensive
33,2026-06-21 21:40:00,8,8,358,89,442,55.0,1.0,8,0,llama-70b,zero_shot,197,12536.2,CPU-intensive
34,2026-06-21 21:41:13,8,8,413,89,401,37.3,1.0,8,0,llama-70b,zero_shot,197,554.7,CPU-intensive
35,2026-06-21 21:42:14,8,8,361,90,378,40.3,1.0,8,0,llama-70b,zero_shot,197,14448.5,CPU-intensive
36,2026-06-21 21:43:29,8,8,414,88,296,36.3,1.0,8,0,llama-70b,zero_shot,197,1904.1,CPU-intensive
37,2026-06-21 21:44:32,8,8,464,88,381,52.0,1.0,8,0,llama-70b,zero_shot,197,1088.7,CPU-intensive
38,2026-06-21 21:45:34,8,8,600,88,340,36.8,1.0,8,0,llama-70b,zero_shot,197,4272.2,CPU-intensive
39,2026-06-21 21:46:38,8,8,483,88,358,55.3,1.0,8,0,llama-70b,zero_shot,197,28334.9,CPU-intensive
40,2026-06-21 21:48:07,8,8,452,88,451,43.9,1.0,8,0,llama-70b,zero_shot,197,864.5,CPU-intensive
41,2026-06-21 21:49:09,8,8,476,88,623,36.2,1.0,8,0,llama-70b,zero_shot,197,16077.8,CPU-intensive
42,2026-06-21 21:50:26,8,8,410,89,518,51.7,1.0,8,0,llama-70b,zero_shot,197,22494.5,CPU-intensive
43,2026-06-21 21:51:49,8,8,531,88,548,61.3,1.0,8,0,llama-70b,zero_shot,197,17756.9,CPU-intensive
44,2026-06-21 21:53:07,8,8,547,90,499,79.0,1.0,8,0,llama-70b,zero_shot,197,6034.5,CPU-intensive
45,2026-06-21 21:54:14,8,8,523,88,517,68.2,1.0,8,0,llama-70b,zero_shot,197,24225.0,CPU-intensive
