step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-21 14:48:53,3,3,363,132,292,67.9,1.0,3,0,llama-8b,domain,284,791.8,CPU-intensive
1,2026-06-21 14:49:54,6,3,307,33,259,309.8,1.0,6,1,llama-8b,domain,284,458.5,CPU-intensive
2,2026-06-21 14:50:56,6,6,306,66,200,73.2,1.0,6,0,llama-8b,domain,284,1143.0,CPU-intensive
3,2026-06-21 14:51:58,6,6,232,66,205,76.4,1.0,6,0,llama-8b,domain,284,479.3,CPU-intensive
4,2026-06-21 14:52:59,6,6,228,66,222,51.1,1.0,6,0,llama-8b,domain,284,532.7,CPU-intensive
5,2026-06-21 14:54:00,6,6,275,67,286,71.9,1.0,6,0,llama-8b,domain,284,512.1,CPU-intensive
6,2026-06-21 14:55:01,7,6,392,66,575,68.3,1.0,7,1,llama-8b,domain,284,465.7,CPU-intensive
7,2026-06-21 14:56:02,10,7,589,78,776,118.0,1.0,10,1,llama-8b,domain,284,442.7,CPU-intensive
8,2026-06-21 14:57:04,10,10,594,110,746,36.9,1.0,10,0,llama-8b,domain,284,488.6,CPU-intensive
9,2026-06-21 14:58:05,10,10,567,110,639,75.7,1.0,10,0,llama-8b,domain,284,517.5,CPU-intensive
10,2026-06-21 14:59:06,10,10,594,110,727,93.4,1.0,10,0,llama-8b,domain,284,489.9,CPU-intensive
11,2026-06-21 15:00:07,10,10,562,111,686,37.2,1.0,10,0,llama-8b,domain,284,543.9,CPU-intensive
12,2026-06-21 15:01:08,10,10,497,110,561,84.5,1.0,10,0,llama-8b,domain,284,480.8,CPU-intensive
13,2026-06-21 15:02:09,10,10,457,111,577,103.9,1.0,10,0,llama-8b,domain,284,477.2,CPU-intensive
14,2026-06-21 15:03:11,10,10,474,110,575,79.4,1.0,10,0,llama-8b,domain,284,491.3,CPU-intensive
15,2026-06-21 15:04:12,12,10,532,111,590,85.1,1.0,12,1,llama-8b,domain,284,499.4,CPU-intensive
16,2026-06-21 15:05:13,12,12,543,132,604,43.1,1.0,12,0,llama-8b,domain,284,503.3,CPU-intensive
17,2026-06-21 15:06:14,12,12,494,132,729,36.7,1.0,12,0,llama-8b,domain,284,492.2,CPU-intensive
18,2026-06-21 15:07:15,12,12,554,132,760,37.8,1.0,12,0,llama-8b,domain,284,961.0,CPU-intensive
19,2026-06-21 15:08:17,12,12,531,133,763,37.0,1.0,12,0,llama-8b,domain,284,7581.8,CPU-intensive
20,2026-06-21 15:09:25,12,12,558,134,735,38.7,1.0,12,0,llama-8b,domain,284,452.1,CPU-intensive
21,2026-06-21 15:10:26,15,12,614,133,718,51.7,1.0,15,1,llama-8b,domain,284,811.2,CPU-intensive
22,2026-06-21 15:11:27,15,15,552,166,623,79.3,1.0,15,0,llama-8b,domain,284,1149.0,CPU-intensive
23,2026-06-21 15:12:29,15,15,566,166,559,36.7,1.0,15,0,llama-8b,domain,284,514.4,CPU-intensive
24,2026-06-21 15:13:30,15,15,479,165,569,51.6,1.0,15,0,llama-8b,domain,284,546.4,CPU-intensive
25,2026-06-21 15:14:31,15,15,513,165,640,36.9,1.0,15,0,llama-8b,domain,284,544.5,CPU-intensive
26,2026-06-21 15:15:32,15,15,509,166,640,55.6,1.0,15,0,llama-8b,domain,284,529.5,CPU-intensive
27,2026-06-21 15:16:34,15,15,566,165,688,36.9,1.0,15,0,llama-8b,domain,284,519.5,CPU-intensive
28,2026-06-21 15:17:35,15,15,486,165,545,38.3,1.0,15,0,llama-8b,domain,284,531.3,CPU-intensive
29,2026-06-21 15:18:36,15,15,521,165,550,109.7,1.0,15,0,llama-8b,domain,284,603.6,CPU-intensive
30,2026-06-21 15:19:37,15,15,553,165,643,37.2,1.0,15,0,llama-8b,domain,284,472.0,CPU-intensive
31,2026-06-21 15:20:38,15,15,504,165,592,83.2,1.0,15,0,llama-8b,domain,284,515.9,CPU-intensive
32,2026-06-21 15:21:39,15,15,466,165,443,40.0,1.0,15,0,llama-8b,domain,284,534.8,CPU-intensive
33,2026-06-21 15:22:40,15,15,444,165,442,115.7,1.0,15,0,llama-8b,domain,284,515.9,CPU-intensive
34,2026-06-21 15:23:42,15,15,491,166,401,100.2,1.0,15,0,llama-8b,domain,284,448.7,CPU-intensive
35,2026-06-21 15:24:43,15,15,390,165,378,40.1,1.0,15,0,llama-8b,domain,284,430.3,CPU-intensive
36,2026-06-21 15:25:44,15,15,373,165,296,56.4,1.0,15,0,llama-8b,domain,284,488.8,CPU-intensive
37,2026-06-21 15:26:45,15,15,462,165,381,66.5,1.0,15,0,llama-8b,domain,284,485.7,CPU-intensive
38,2026-06-21 15:27:46,15,15,396,165,340,36.6,1.0,15,0,llama-8b,domain,284,467.1,CPU-intensive
