step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-21 16:51:47,3,3,15,166,292,167.3,1.0,3,0,llama-8b,history_5,212,820.5,CPU-intensive
1,2026-06-21 16:52:49,3,3,236,34,259,84.1,1.0,3,0,llama-8b,history_5,245,491.7,CPU-intensive
2,2026-06-21 16:53:50,4,3,207,34,200,114.8,1.0,4,1,llama-8b,history_5,278,498.3,CPU-intensive
3,2026-06-21 16:54:51,4,4,161,44,205,69.1,1.0,4,0,llama-8b,history_5,311,407.6,CPU-intensive
4,2026-06-21 16:55:53,5,4,142,44,222,64.2,1.0,5,1,llama-8b,history_5,344,516.0,CPU-intensive
5,2026-06-21 16:56:54,6,5,275,55,286,111.7,1.0,6,1,llama-8b,history_5,377,537.5,CPU-intensive
6,2026-06-21 16:57:55,7,6,282,66,575,200.4,1.0,7,1,llama-8b,history_5,377,535.8,CPU-intensive
7,2026-06-21 16:58:57,10,7,609,77,776,87.0,1.0,10,1,llama-8b,history_5,377,527.7,CPU-intensive
8,2026-06-21 16:59:58,12,10,559,110,746,73.1,1.0,12,1,llama-8b,history_5,377,553.0,CPU-intensive
9,2026-06-21 17:00:59,15,12,498,132,639,37.1,1.0,15,1,llama-8b,history_5,377,609.8,CPU-intensive
10,2026-06-21 17:02:00,15,15,582,166,727,38.9,1.0,15,0,llama-8b,history_5,377,923.8,CPU-intensive
11,2026-06-21 17:03:02,15,15,620,165,686,42.2,1.0,15,0,llama-8b,history_5,377,543.6,CPU-intensive
12,2026-06-21 17:04:03,15,15,511,165,561,42.1,1.0,15,0,llama-8b,history_5,377,477.5,CPU-intensive
13,2026-06-21 17:05:04,15,15,499,165,577,36.9,1.0,15,0,llama-8b,history_5,377,439.6,CPU-intensive
14,2026-06-21 17:06:05,15,15,507,166,575,102.8,1.0,15,0,llama-8b,history_5,377,511.4,CPU-intensive
15,2026-06-21 17:07:06,15,15,488,165,590,36.9,1.0,15,0,llama-8b,history_5,377,470.7,CPU-intensive
16,2026-06-21 17:08:08,15,15,494,165,604,51.9,1.0,15,0,llama-8b,history_5,377,483.2,CPU-intensive
17,2026-06-21 17:09:09,16,15,529,165,729,36.8,1.0,16,1,llama-8b,history_5,377,423.9,CPU-intensive
18,2026-06-21 17:10:10,16,15,593,165,760,71.6,1.0,16,0,llama-8b,history_5,377,401.8,CPU-intensive
19,2026-06-21 17:11:11,16,15,598,165,763,100.9,1.0,16,0,llama-8b,history_5,377,554.1,CPU-intensive
20,2026-06-21 17:12:12,16,15,574,165,735,55.3,1.0,16,0,llama-8b,history_5,377,514.2,CPU-intensive
21,2026-06-21 17:13:13,16,15,557,165,718,52.1,1.0,16,0,llama-8b,history_5,377,464.6,CPU-intensive
22,2026-06-21 17:14:14,16,15,510,165,623,39.4,1.0,16,0,llama-8b,history_5,377,428.4,CPU-intensive
23,2026-06-21 17:15:15,15,15,533,165,559,36.8,1.0,15,1,llama-8b,history_5,377,475.0,CPU-intensive
24,2026-06-21 17:16:16,15,15,506,165,569,84.3,1.0,15,0,llama-8b,history_5,377,456.8,CPU-intensive
25,2026-06-21 17:17:17,15,15,515,165,640,42.7,1.0,15,0,llama-8b,history_5,377,429.6,CPU-intensive
26,2026-06-21 17:18:19,15,15,566,165,640,47.6,1.0,15,0,llama-8b,history_5,377,457.9,CPU-intensive
27,2026-06-21 17:19:20,16,15,534,165,688,87.9,1.0,16,1,llama-8b,history_5,377,459.5,CPU-intensive
28,2026-06-21 17:20:21,16,15,487,165,545,36.9,1.0,16,0,llama-8b,history_5,377,522.0,CPU-intensive
29,2026-06-21 17:21:22,16,15,470,165,550,77.4,1.0,16,0,llama-8b,history_5,377,464.0,CPU-intensive
30,2026-06-21 17:22:23,15,15,596,165,643,36.4,1.0,15,1,llama-8b,history_5,377,2946.0,CPU-intensive
31,2026-06-21 17:23:27,16,15,563,165,592,53.7,1.0,16,1,llama-8b,history_5,377,556.0,CPU-intensive
32,2026-06-21 17:24:28,16,15,402,165,443,63.9,1.0,16,0,llama-8b,history_5,377,521.3,CPU-intensive
33,2026-06-21 17:25:29,16,15,455,165,442,116.9,1.0,16,0,llama-8b,history_5,377,472.2,CPU-intensive
34,2026-06-21 17:26:30,15,15,438,165,401,41.6,1.0,15,1,llama-8b,history_5,377,2870.9,CPU-intensive
35,2026-06-21 17:27:34,15,15,381,165,378,37.1,1.0,15,0,llama-8b,history_5,377,426.6,CPU-intensive
36,2026-06-21 17:28:35,16,15,335,165,296,76.1,1.0,16,1,llama-8b,history_5,377,447.4,CPU-intensive
37,2026-06-21 17:29:36,15,15,392,165,381,36.2,1.0,15,1,llama-8b,history_5,377,629.3,CPU-intensive
38,2026-06-21 17:30:37,15,15,390,165,340,37.6,1.0,15,0,llama-8b,history_5,377,598.9,CPU-intensive
39,2026-06-21 17:31:39,15,15,415,165,358,36.2,1.0,15,0,llama-8b,history_5,377,428.8,CPU-intensive
40,2026-06-21 17:32:40,15,15,453,165,451,42.6,1.0,15,0,llama-8b,history_5,377,482.7,CPU-intensive
41,2026-06-21 17:33:41,16,15,540,165,623,82.7,1.0,16,1,llama-8b,history_5,377,470.3,CPU-intensive
42,2026-06-21 17:34:42,16,15,509,166,518,64.2,1.0,16,0,llama-8b,history_5,377,574.0,CPU-intensive
43,2026-06-21 17:35:43,16,15,517,165,548,36.7,1.0,16,0,llama-8b,history_5,377,522.5,CPU-intensive
44,2026-06-21 17:36:44,16,15,463,165,499,36.4,1.0,16,0,llama-8b,history_5,377,521.3,CPU-intensive
45,2026-06-21 17:37:45,15,15,458,165,517,36.6,1.0,15,1,llama-8b,history_5,377,443.7,CPU-intensive
46,2026-06-21 17:38:46,15,15,478,165,471,41.6,1.0,15,0,llama-8b,history_5,377,455.1,CPU-intensive
47,2026-06-21 17:39:47,15,15,438,166,503,60.1,1.0,15,0,llama-8b,history_5,377,465.0,CPU-intensive
48,2026-06-21 17:40:48,16,15,516,165,605,38.4,1.0,16,1,llama-8b,history_5,377,446.9,CPU-intensive
49,2026-06-21 17:41:50,16,15,547,166,621,73.3,1.0,16,0,llama-8b,history_5,377,478.1,CPU-intensive
50,2026-06-21 17:42:51,16,15,493,165,646,36.7,1.0,16,0,llama-8b,history_5,377,430.5,CPU-intensive
51,2026-06-21 17:43:52,16,15,564,165,639,66.9,1.0,16,0,llama-8b,history_5,377,449.0,CPU-intensive
52,2026-06-21 17:44:53,16,15,453,165,493,39.3,1.0,16,0,llama-8b,history_5,377,432.6,CPU-intensive
53,2026-06-21 17:45:54,16,15,451,165,446,132.2,1.0,16,0,llama-8b,history_5,377,423.7,CPU-intensive
54,2026-06-21 17:46:55,16,15,469,166,435,37.2,1.0,16,0,llama-8b,history_5,377,551.3,CPU-intensive
55,2026-06-21 17:47:56,15,15,421,166,425,36.7,1.0,15,1,llama-8b,history_5,377,3241.3,CPU-intensive
56,2026-06-21 17:49:00,15,15,444,165,401,51.6,1.0,15,0,llama-8b,history_5,377,515.9,CPU-intensive
57,2026-06-21 17:50:01,15,15,415,165,491,36.8,1.0,15,0,llama-8b,history_5,377,489.1,CPU-intensive
58,2026-06-21 17:51:02,15,15,447,165,382,36.6,1.0,15,0,llama-8b,history_5,377,426.9,CPU-intensive
59,2026-06-21 17:52:03,15,15,442,165,414,39.3,1.0,15,0,llama-8b,history_5,377,5068.6,CPU-intensive
60,2026-06-21 17:53:09,16,15,492,165,515,55.6,1.0,16,1,llama-8b,history_5,377,463.4,CPU-intensive
61,2026-06-21 17:54:10,16,15,550,166,575,49.2,1.0,16,0,llama-8b,history_5,377,465.1,CPU-intensive
62,2026-06-21 17:55:11,16,15,503,166,603,71.4,1.0,16,0,llama-8b,history_5,377,447.6,CPU-intensive
63,2026-06-21 17:56:12,16,15,620,166,720,51.2,1.0,16,0,llama-8b,history_5,377,455.2,CPU-intensive
64,2026-06-21 17:57:13,16,15,600,165,702,44.7,1.0,16,0,llama-8b,history_5,377,465.4,CPU-intensive
65,2026-06-21 17:58:14,16,15,544,165,689,42.7,1.0,16,0,llama-8b,history_5,377,471.4,CPU-intensive
66,2026-06-21 17:59:15,16,15,522,165,641,36.8,1.0,16,0,llama-8b,history_5,377,470.5,CPU-intensive
67,2026-06-21 18:00:16,16,15,547,165,618,80.5,1.0,16,0,llama-8b,history_5,377,423.6,CPU-intensive
68,2026-06-21 18:01:17,16,15,522,165,701,80.6,1.0,16,0,llama-8b,history_5,377,571.9,CPU-intensive
69,2026-06-21 18:02:19,15,15,575,166,625,36.9,1.0,15,1,llama-8b,history_5,377,464.9,CPU-intensive
70,2026-06-21 18:03:20,16,15,580,165,692,74.8,1.0,16,1,llama-8b,history_5,377,491.3,CPU-intensive
71,2026-06-21 18:04:21,16,15,495,165,612,102.4,1.0,16,0,llama-8b,history_5,377,441.3,CPU-intensive
72,2026-06-21 18:05:22,16,15,520,165,579,36.7,1.0,16,0,llama-8b,history_5,377,447.6,CPU-intensive
73,2026-06-21 18:06:23,16,15,510,166,635,47.6,1.0,16,0,llama-8b,history_5,377,424.6,CPU-intensive
74,2026-06-21 18:07:24,15,15,545,165,614,37.0,1.0,15,1,llama-8b,history_5,377,501.5,CPU-intensive
75,2026-06-21 18:08:25,16,15,610,165,723,71.7,1.0,16,1,llama-8b,history_5,377,409.3,CPU-intensive
76,2026-06-21 18:09:27,16,15,711,166,1000,39.9,1.0,16,0,llama-8b,history_5,378,456.7,CPU-intensive
77,2026-06-21 18:10:28,16,15,773,165,1169,80.7,1.0,16,0,llama-8b,history_5,379,452.1,CPU-intensive
78,2026-06-21 18:11:29,16,15,915,166,1379,109.8,1.0,16,0,llama-8b,history_5,380,463.5,CPU-intensive
79,2026-06-21 18:12:30,16,15,846,165,1764,67.7,1.0,16,0,llama-8b,history_5,381,437.9,CPU-intensive
80,2026-06-21 18:13:31,16,15,750,168,1578,37.8,1.0,16,0,llama-8b,history_5,382,456.8,CPU-intensive
81,2026-06-21 18:14:32,15,15,696,165,1426,36.6,1.0,15,1,llama-8b,history_5,383,437.9,CPU-intensive
82,2026-06-21 18:15:33,15,15,733,165,1247,72.1,1.0,15,0,llama-8b,history_5,383,501.1,CPU-intensive
83,2026-06-21 18:16:34,15,15,776,166,1240,78.1,1.0,15,0,llama-8b,history_5,383,472.3,CPU-intensive
84,2026-06-21 18:17:35,16,15,895,165,1292,103.3,1.0,16,1,llama-8b,history_5,383,400.5,CPU-intensive
85,2026-06-21 18:18:37,16,15,824,165,1546,59.5,1.0,16,0,llama-8b,history_5,383,452.0,CPU-intensive
86,2026-06-21 18:19:38,16,15,849,166,1445,52.7,1.0,16,0,llama-8b,history_5,383,476.5,CPU-intensive
87,2026-06-21 18:20:39,16,15,830,165,1413,81.8,1.0,16,0,llama-8b,history_5,383,434.3,CPU-intensive
88,2026-06-21 18:21:40,16,15,853,166,1495,96.6,1.0,16,0,llama-8b,history_5,383,431.6,CPU-intensive
89,2026-06-21 18:22:41,15,15,850,166,1438,52.8,1.0,15,1,llama-8b,history_5,383,449.7,CPU-intensive
90,2026-06-21 18:23:42,15,15,865,167,1491,37.9,1.0,15,0,llama-8b,history_5,383,482.4,CPU-intensive
91,2026-06-21 18:24:43,15,15,852,166,1513,72.1,1.0,15,0,llama-8b,history_5,383,464.0,CPU-intensive
92,2026-06-21 18:25:44,15,15,791,168,1500,37.2,1.0,15,0,llama-8b,history_5,383,435.5,CPU-intensive
93,2026-06-21 18:26:45,16,15,816,166,1609,126.4,1.0,16,1,llama-8b,history_5,383,478.6,CPU-intensive
94,2026-06-21 18:27:47,15,15,762,165,1458,38.9,1.0,15,1,llama-8b,history_5,383,419.2,CPU-intensive
95,2026-06-21 18:28:48,15,15,785,165,1380,41.1,1.0,15,0,llama-8b,history_5,383,425.5,CPU-intensive
96,2026-06-21 18:29:49,15,15,748,165,1211,57.6,1.0,15,0,llama-8b,history_5,383,462.4,CPU-intensive
97,2026-06-21 18:30:50,16,15,677,166,1106,91.0,1.0,16,1,llama-8b,history_5,383,463.6,CPU-intensive
98,2026-06-21 18:31:51,16,15,666,165,1181,101.3,1.0,16,0,llama-8b,history_5,383,413.5,CPU-intensive
99,2026-06-21 18:32:52,15,15,666,165,1131,43.1,1.0,15,1,llama-8b,history_5,383,422.4,CPU-intensive
100,2026-06-21 18:33:53,16,15,613,165,983,52.2,1.0,16,1,llama-8b,history_5,382,420.4,CPU-intensive
101,2026-06-21 18:34:54,16,15,613,165,933,76.2,1.0,16,0,llama-8b,history_5,381,449.6,CPU-intensive
102,2026-06-21 18:35:55,15,15,621,165,827,37.1,1.0,15,1,llama-8b,history_5,380,691.9,CPU-intensive
103,2026-06-21 18:36:56,15,15,718,166,804,47.5,1.0,15,0,llama-8b,history_5,379,491.2,CPU-intensive
104,2026-06-21 18:37:58,16,15,578,165,1032,47.3,1.0,16,1,llama-8b,history_5,379,439.5,CPU-intensive
105,2026-06-21 18:38:59,16,15,567,165,938,114.9,1.0,16,0,llama-8b,history_5,378,439.8,CPU-intensive
106,2026-06-21 18:40:00,15,15,622,165,821,39.7,1.0,15,1,llama-8b,history_5,378,485.9,CPU-intensive
107,2026-06-21 18:41:01,16,15,623,165,834,41.2,1.0,16,1,llama-8b,history_5,378,441.7,CPU-intensive
108,2026-06-21 18:42:02,15,15,648,165,809,40.4,1.0,15,1,llama-8b,history_5,378,463.8,CPU-intensive
109,2026-06-21 18:43:03,15,15,643,165,760,63.6,1.0,15,0,llama-8b,history_5,378,448.5,CPU-intensive
110,2026-06-21 18:44:04,15,15,608,165,840,43.1,1.0,15,0,llama-8b,history_5,377,466.3,CPU-intensive
111,2026-06-21 18:45:05,15,15,636,167,860,39.1,1.0,15,0,llama-8b,history_5,377,768.2,CPU-intensive
112,2026-06-21 18:46:07,16,15,588,166,754,95.0,1.0,16,1,llama-8b,history_5,377,436.8,CPU-intensive
