step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-22 14:28:16,3,3,12,133,292,103.8,1.0,3,0,mistral-small4,cot,252,652.0,CPU-intensive
1,2026-06-22 14:29:17,3,3,307,35,259,191.2,1.0,3,0,mistral-small4,cot,254,293.2,CPU-intensive
2,2026-06-22 14:30:18,3,3,286,34,200,177.5,1.0,3,0,mistral-small4,cot,253,296.3,CPU-intensive
3,2026-06-22 14:31:20,3,3,218,34,205,44.6,1.0,3,0,mistral-small4,cot,252,286.8,CPU-intensive
4,2026-06-22 14:32:21,3,3,264,34,222,79.4,1.0,3,0,mistral-small4,cot,252,239.9,CPU-intensive
5,2026-06-22 14:33:22,3,3,262,34,286,93.6,1.0,3,0,mistral-small4,cot,252,233.6,CPU-intensive
6,2026-06-22 14:34:23,6,3,368,34,575,275.3,1.0,6,1,mistral-small4,cot,367,1011.2,CPU-intensive
7,2026-06-22 14:35:25,6,6,500,67,776,145.1,1.0,6,0,mistral-small4,cot,253,300.0,CPU-intensive
8,2026-06-22 14:36:26,8,6,586,68,746,284.1,1.0,8,1,mistral-small4,cot,253,292.3,CPU-intensive
9,2026-06-22 14:37:28,8,8,589,90,639,62.9,1.0,8,0,mistral-small4,cot,252,301.9,CPU-intensive
10,2026-06-22 14:38:28,8,8,603,89,727,41.8,1.0,8,0,mistral-small4,cot,252,255.1,CPU-intensive
11,2026-06-22 14:39:29,8,8,567,89,686,40.8,1.0,8,0,mistral-small4,cot,252,297.6,CPU-intensive
12,2026-06-22 14:40:30,8,8,517,90,561,62.3,1.0,8,0,mistral-small4,cot,338,746.6,CPU-intensive
13,2026-06-22 14:41:32,8,8,517,89,577,63.7,1.0,8,0,mistral-small4,cot,252,291.0,CPU-intensive
14,2026-06-22 14:42:32,8,8,486,89,575,63.2,1.0,8,0,mistral-small4,cot,252,251.4,CPU-intensive
15,2026-06-22 14:43:33,8,8,530,89,590,42.5,1.0,8,0,mistral-small4,cot,252,213.3,CPU-intensive
16,2026-06-22 14:44:34,8,8,520,90,604,55.6,1.0,8,0,mistral-small4,cot,252,297.2,CPU-intensive
17,2026-06-22 14:45:35,8,8,542,89,729,157.1,1.0,8,0,mistral-small4,cot,253,260.7,CPU-intensive
18,2026-06-22 14:46:36,8,8,573,89,760,109.0,1.0,8,0,mistral-small4,cot,253,301.2,CPU-intensive
19,2026-06-22 14:47:37,8,8,558,90,763,41.7,1.0,8,0,mistral-small4,cot,252,257.1,CPU-intensive
20,2026-06-22 14:48:38,8,8,526,89,735,56.2,1.0,8,0,mistral-small4,cot,381,945.7,CPU-intensive
21,2026-06-22 14:49:39,8,8,572,89,718,93.0,1.0,8,0,mistral-small4,cot,252,239.4,CPU-intensive
22,2026-06-22 14:50:40,8,8,517,89,623,84.1,1.0,8,0,mistral-small4,cot,252,278.3,CPU-intensive
23,2026-06-22 14:51:41,8,8,482,90,559,42.1,1.0,8,0,mistral-small4,cot,252,242.1,CPU-intensive
24,2026-06-22 14:52:42,8,8,500,90,569,41.4,1.0,8,0,mistral-small4,cot,252,730.6,CPU-intensive
25,2026-06-22 14:53:43,8,8,567,89,640,56.7,1.0,8,0,mistral-small4,cot,252,296.4,CPU-intensive
26,2026-06-22 14:54:44,8,8,537,90,640,46.7,1.0,8,0,mistral-small4,cot,252,265.7,CPU-intensive
27,2026-06-22 14:55:45,8,8,557,89,688,61.3,1.0,8,0,mistral-small4,cot,252,238.5,CPU-intensive
28,2026-06-22 14:56:46,8,8,474,89,545,72.0,1.0,8,0,mistral-small4,cot,252,289.8,CPU-intensive
29,2026-06-22 14:57:47,8,8,510,89,550,82.5,1.0,8,0,mistral-small4,cot,252,248.9,CPU-intensive
30,2026-06-22 14:58:48,8,8,504,89,643,94.2,1.0,8,0,mistral-small4,cot,252,249.0,CPU-intensive
31,2026-06-22 14:59:49,8,8,490,89,592,51.9,1.0,8,0,mistral-small4,cot,252,246.5,CPU-intensive
32,2026-06-22 15:00:50,8,8,414,90,443,38.6,1.0,8,0,mistral-small4,cot,252,254.0,CPU-intensive
33,2026-06-22 15:01:51,8,8,412,89,442,36.7,1.0,8,0,mistral-small4,cot,252,258.8,CPU-intensive
34,2026-06-22 15:02:51,8,8,386,90,401,132.5,1.0,8,0,mistral-small4,cot,253,254.0,CPU-intensive
35,2026-06-22 15:03:52,12,8,433,89,378,372.0,1.0,12,1,mistral-small4,cot,254,261.4,CPU-intensive
36,2026-06-22 15:04:54,12,12,338,133,296,40.7,1.0,12,0,mistral-small4,cot,255,321.7,CPU-intensive
37,2026-06-22 15:05:55,12,12,373,133,381,67.5,1.0,12,0,mistral-small4,cot,255,315.1,CPU-intensive
38,2026-06-22 15:06:56,12,12,380,135,340,102.1,1.0,12,0,mistral-small4,cot,256,301.7,CPU-intensive
39,2026-06-22 15:07:57,12,12,432,133,358,47.9,1.0,12,0,mistral-small4,cot,255,325.7,CPU-intensive
40,2026-06-22 15:08:58,12,12,468,133,451,47.2,1.0,12,0,mistral-small4,cot,255,263.2,CPU-intensive
41,2026-06-22 15:09:58,12,12,521,134,623,72.4,1.0,12,0,mistral-small4,cot,255,243.0,CPU-intensive
42,2026-06-22 15:10:59,12,12,466,134,518,66.8,1.0,12,0,mistral-small4,cot,255,280.9,CPU-intensive
43,2026-06-22 15:12:00,12,12,536,134,548,36.9,1.0,12,0,mistral-small4,cot,255,280.3,CPU-intensive
44,2026-06-22 15:13:01,12,12,441,133,499,46.7,1.0,12,0,mistral-small4,cot,255,255.1,CPU-intensive
45,2026-06-22 15:14:02,12,12,514,133,517,59.9,1.0,12,0,mistral-small4,cot,255,321.8,CPU-intensive
46,2026-06-22 15:15:03,12,12,476,134,471,52.6,1.0,12,0,mistral-small4,cot,255,264.1,CPU-intensive
47,2026-06-22 15:16:04,12,12,544,133,503,59.6,1.0,12,0,mistral-small4,cot,255,257.3,CPU-intensive
48,2026-06-22 15:17:05,12,12,554,133,605,99.7,1.0,12,0,mistral-small4,cot,255,254.6,CPU-intensive
49,2026-06-22 15:18:05,12,12,494,134,621,36.8,1.0,12,0,mistral-small4,cot,255,258.5,CPU-intensive
50,2026-06-22 15:19:06,12,12,568,133,646,42.0,1.0,12,0,mistral-small4,cot,255,262.6,CPU-intensive
51,2026-06-22 15:20:07,12,12,539,133,639,36.7,1.0,12,0,mistral-small4,cot,255,279.2,CPU-intensive
52,2026-06-22 15:21:08,12,12,491,133,493,55.6,1.0,12,0,mistral-small4,cot,255,277.9,CPU-intensive
53,2026-06-22 15:22:09,12,12,377,133,446,36.9,1.0,12,0,mistral-small4,cot,255,226.0,CPU-intensive
54,2026-06-22 15:23:10,12,12,495,133,435,37.0,1.0,12,0,mistral-small4,cot,255,249.6,CPU-intensive
55,2026-06-22 15:24:10,12,12,457,133,425,78.8,1.0,12,0,mistral-small4,cot,255,266.2,CPU-intensive
56,2026-06-22 15:25:11,12,12,429,134,401,40.6,1.0,12,0,mistral-small4,cot,255,260.9,CPU-intensive
57,2026-06-22 15:26:12,12,12,419,134,491,79.2,1.0,12,0,mistral-small4,cot,255,295.5,CPU-intensive
58,2026-06-22 15:27:13,12,12,407,134,382,119.5,1.0,12,0,mistral-small4,cot,256,303.0,CPU-intensive
59,2026-06-22 15:28:14,12,12,448,133,414,100.7,1.0,12,0,mistral-small4,cot,256,388.7,CPU-intensive
60,2026-06-22 15:29:15,12,12,477,134,515,56.5,1.0,12,0,mistral-small4,cot,255,312.5,CPU-intensive
61,2026-06-22 15:30:16,12,12,530,133,575,40.0,1.0,12,0,mistral-small4,cot,255,374.2,CPU-intensive
62,2026-06-22 15:31:17,12,12,514,134,603,60.2,1.0,12,0,mistral-small4,cot,255,262.4,CPU-intensive
63,2026-06-22 15:32:18,12,12,579,133,720,118.6,1.0,12,0,mistral-small4,cot,256,294.3,CPU-intensive
64,2026-06-22 15:33:19,12,12,529,133,702,43.4,1.0,12,0,mistral-small4,cot,255,278.0,CPU-intensive
65,2026-06-22 15:34:20,12,12,536,133,689,84.6,1.0,12,0,mistral-small4,cot,255,276.0,CPU-intensive
66,2026-06-22 15:35:21,12,12,517,133,641,36.5,1.0,12,0,mistral-small4,cot,255,282.4,CPU-intensive
67,2026-06-22 15:36:22,12,12,553,133,618,56.0,1.0,12,0,mistral-small4,cot,255,276.4,CPU-intensive
68,2026-06-22 15:37:23,12,12,542,133,701,57.8,1.0,12,0,mistral-small4,cot,255,309.6,CPU-intensive
69,2026-06-22 15:38:23,12,12,547,134,625,36.4,1.0,12,0,mistral-small4,cot,255,275.9,CPU-intensive
70,2026-06-22 15:39:24,12,12,564,134,692,39.8,1.0,12,0,mistral-small4,cot,255,329.4,CPU-intensive
71,2026-06-22 15:40:25,12,12,553,133,612,64.3,1.0,12,0,mistral-small4,cot,255,243.8,CPU-intensive
72,2026-06-22 15:41:26,12,12,542,134,579,79.0,1.0,12,0,mistral-small4,cot,255,256.2,CPU-intensive
73,2026-06-22 15:42:27,12,12,539,133,635,39.4,1.0,12,0,mistral-small4,cot,255,256.5,CPU-intensive
74,2026-06-22 15:43:28,12,12,615,133,614,78.6,1.0,12,0,mistral-small4,cot,255,248.4,CPU-intensive
75,2026-06-22 15:44:29,12,12,662,134,723,41.7,1.0,12,0,mistral-small4,cot,255,272.5,CPU-intensive
76,2026-06-22 15:45:30,12,12,680,133,1000,40.5,1.0,12,0,mistral-small4,cot,256,256.9,CPU-intensive
77,2026-06-22 15:46:30,12,12,765,134,1169,92.0,1.0,12,0,mistral-small4,cot,256,755.5,CPU-intensive
78,2026-06-22 15:47:32,12,12,915,135,1379,40.3,1.0,12,0,mistral-small4,cot,256,246.5,CPU-intensive
79,2026-06-22 15:48:33,12,12,839,133,1764,84.3,1.0,12,0,mistral-small4,cot,256,271.0,CPU-intensive
80,2026-06-22 15:49:33,12,12,841,133,1578,80.4,1.0,12,0,mistral-small4,cot,256,298.1,CPU-intensive
81,2026-06-22 15:50:34,12,12,786,134,1426,146.5,1.0,12,0,mistral-small4,cot,257,255.5,CPU-intensive
82,2026-06-22 15:51:36,12,12,788,133,1247,38.0,1.0,12,0,mistral-small4,cot,256,296.3,CPU-intensive
83,2026-06-22 15:52:37,12,12,801,133,1240,38.5,1.0,12,0,mistral-small4,cot,256,287.8,CPU-intensive
84,2026-06-22 15:53:37,12,12,849,134,1292,39.7,1.0,12,0,mistral-small4,cot,256,250.7,CPU-intensive
85,2026-06-22 15:54:38,12,12,827,134,1546,70.5,1.0,12,0,mistral-small4,cot,256,657.0,CPU-intensive
86,2026-06-22 15:55:39,12,12,856,133,1445,36.9,1.0,12,0,mistral-small4,cot,256,271.9,CPU-intensive
87,2026-06-22 15:56:40,12,12,887,135,1413,39.3,1.0,12,0,mistral-small4,cot,256,249.0,CPU-intensive
88,2026-06-22 15:57:41,12,12,810,133,1495,57.9,1.0,12,0,mistral-small4,cot,256,247.1,CPU-intensive
89,2026-06-22 15:58:42,12,12,821,134,1438,110.6,1.0,12,0,mistral-small4,cot,257,257.6,CPU-intensive
90,2026-06-22 15:59:43,12,12,831,133,1491,45.8,1.0,12,0,mistral-small4,cot,256,343.1,CPU-intensive
91,2026-06-22 16:00:44,12,12,814,134,1513,56.2,1.0,12,0,mistral-small4,cot,256,245.8,CPU-intensive
92,2026-06-22 16:01:45,12,12,892,133,1500,108.4,1.0,12,0,mistral-small4,cot,257,260.0,CPU-intensive
93,2026-06-22 16:02:46,12,12,840,134,1609,51.5,1.0,12,0,mistral-small4,cot,256,782.0,CPU-intensive
94,2026-06-22 16:03:47,12,12,809,134,1458,84.0,1.0,12,0,mistral-small4,cot,256,338.1,CPU-intensive
95,2026-06-22 16:04:48,12,12,747,133,1380,88.4,1.0,12,0,mistral-small4,cot,256,240.2,CPU-intensive
96,2026-06-22 16:05:49,12,12,734,133,1211,75.9,1.0,12,0,mistral-small4,cot,346,611.4,CPU-intensive
97,2026-06-22 16:06:50,12,12,701,133,1106,61.9,1.0,12,0,mistral-small4,cot,256,303.4,CPU-intensive
98,2026-06-22 16:07:51,12,12,675,133,1181,40.1,1.0,12,0,mistral-small4,cot,256,252.8,CPU-intensive
99,2026-06-22 16:08:52,12,12,700,133,1131,165.3,1.0,12,0,mistral-small4,cot,257,251.5,CPU-intensive
100,2026-06-22 16:09:53,12,12,678,136,983,76.5,1.0,12,0,mistral-small4,cot,255,251.0,CPU-intensive
101,2026-06-22 16:10:54,12,12,590,134,933,77.2,1.0,12,0,mistral-small4,cot,255,343.1,CPU-intensive
102,2026-06-22 16:11:55,12,12,583,133,827,41.6,1.0,12,0,mistral-small4,cot,255,229.8,CPU-intensive
103,2026-06-22 16:12:56,12,12,660,136,804,62.1,1.0,12,0,mistral-small4,cot,255,263.8,CPU-intensive
104,2026-06-22 16:13:57,12,12,567,135,1032,44.6,1.0,12,0,mistral-small4,cot,256,307.3,CPU-intensive
105,2026-06-22 16:14:57,12,12,662,133,938,109.3,1.0,12,0,mistral-small4,cot,256,271.8,CPU-intensive
106,2026-06-22 16:15:58,12,12,611,134,821,61.4,1.0,12,0,mistral-small4,cot,255,317.9,CPU-intensive
107,2026-06-22 16:16:59,12,12,596,135,834,66.7,1.0,12,0,mistral-small4,cot,255,241.8,CPU-intensive
