step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-22 10:23:19,3,3,32,167,292,68.8,1.0,3,0,mistral-small4,domain,293,558.8,CPU-intensive
1,2026-06-22 10:24:20,6,3,342,35,259,229.6,1.0,6,1,mistral-small4,domain,296,250.0,CPU-intensive
2,2026-06-22 10:25:21,3,6,276,68,200,37.3,1.0,3,1,mistral-small4,domain,294,251.7,CPU-intensive
3,2026-06-22 10:26:22,3,3,176,35,205,71.7,1.0,3,0,mistral-small4,domain,294,217.9,CPU-intensive
4,2026-06-22 10:27:23,6,3,252,35,222,376.9,1.0,6,1,mistral-small4,domain,295,230.2,CPU-intensive
5,2026-06-22 10:28:24,6,6,279,68,286,51.6,1.0,6,0,mistral-small4,domain,294,253.7,CPU-intensive
6,2026-06-22 10:29:25,9,6,326,68,575,215.4,1.0,9,1,mistral-small4,domain,295,228.9,CPU-intensive
7,2026-06-22 10:30:26,9,9,528,101,776,40.5,1.0,9,0,mistral-small4,domain,294,245.4,CPU-intensive
8,2026-06-22 10:31:27,9,9,583,101,746,59.6,1.0,9,0,mistral-small4,domain,294,269.8,CPU-intensive
9,2026-06-22 10:32:28,9,9,600,102,639,57.9,1.0,9,0,mistral-small4,domain,294,249.6,CPU-intensive
10,2026-06-22 10:33:29,9,9,582,101,727,87.2,1.0,9,0,mistral-small4,domain,294,289.2,CPU-intensive
11,2026-06-22 10:34:30,9,9,528,101,686,55.3,1.0,9,0,mistral-small4,domain,294,235.9,CPU-intensive
12,2026-06-22 10:35:31,9,9,550,101,561,140.5,1.0,9,0,mistral-small4,domain,295,221.4,CPU-intensive
13,2026-06-22 10:36:32,12,9,527,101,577,278.3,1.0,12,1,mistral-small4,domain,296,289.4,CPU-intensive
14,2026-06-22 10:37:33,12,12,483,134,575,55.8,1.0,12,0,mistral-small4,domain,297,261.7,CPU-intensive
15,2026-06-22 10:38:34,12,12,521,136,590,42.3,1.0,12,0,mistral-small4,domain,297,221.6,CPU-intensive
16,2026-06-22 10:39:35,12,12,501,134,604,48.6,1.0,12,0,mistral-small4,domain,297,248.6,CPU-intensive
17,2026-06-22 10:40:35,12,12,560,134,729,127.0,1.0,12,0,mistral-small4,domain,298,254.1,CPU-intensive
18,2026-06-22 10:41:36,9,12,575,134,760,72.6,1.0,9,1,mistral-small4,domain,296,249.4,CPU-intensive
19,2026-06-22 10:42:37,9,9,593,101,763,72.4,1.0,9,0,mistral-small4,domain,294,246.4,CPU-intensive
20,2026-06-22 10:43:38,9,9,581,101,735,74.1,1.0,9,0,mistral-small4,domain,294,244.7,CPU-intensive
21,2026-06-22 10:44:39,9,9,547,102,718,72.7,1.0,9,0,mistral-small4,domain,294,300.7,CPU-intensive
22,2026-06-22 10:45:40,9,9,542,101,623,88.9,1.0,9,0,mistral-small4,domain,294,244.8,CPU-intensive
23,2026-06-22 10:46:41,9,9,481,101,559,79.8,1.0,9,0,mistral-small4,domain,294,219.2,CPU-intensive
24,2026-06-22 10:47:42,9,9,522,101,569,37.1,1.0,9,0,mistral-small4,domain,294,250.5,CPU-intensive
25,2026-06-22 10:48:43,12,9,563,101,640,156.3,1.0,12,1,mistral-small4,domain,296,262.1,CPU-intensive
