step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-24 01:08:32,10,3,65,34,292,876.5,1.0,10,1,qwen3-80b,history_5,203,1581.2,CPU-intensive
1,2026-06-24 01:09:35,10,10,334,111,259,115.3,1.0,10,0,qwen3-80b,history_5,241,646.0,CPU-intensive
2,2026-06-24 01:10:37,5,10,303,111,200,36.9,1.0,5,1,qwen3-80b,history_5,276,541.0,CPU-intensive
3,2026-06-24 01:11:38,5,5,204,56,205,58.2,1.0,5,0,qwen3-80b,history_5,310,531.0,CPU-intensive
4,2026-06-24 01:12:39,10,5,220,56,222,685.1,1.0,10,1,qwen3-80b,history_5,347,1090.2,CPU-intensive
5,2026-06-24 01:13:42,5,10,308,111,286,78.2,1.0,5,1,qwen3-80b,history_5,383,1223.8,CPU-intensive
6,2026-06-24 01:14:44,10,5,466,56,575,165.0,1.0,10,1,qwen3-80b,history_5,383,1061.2,CPU-intensive
7,2026-06-24 01:15:46,15,10,551,111,776,61.8,1.0,15,1,qwen3-80b,history_5,383,539.0,CPU-intensive
8,2026-06-24 01:16:47,10,15,585,166,746,73.0,1.0,10,1,qwen3-80b,history_5,383,2514.1,CPU-intensive
9,2026-06-24 01:17:50,10,10,529,111,639,38.0,1.0,10,0,qwen3-80b,history_5,384,549.9,CPU-intensive
10,2026-06-24 01:18:51,10,10,536,111,727,40.7,1.0,10,0,qwen3-80b,history_5,384,497.4,CPU-intensive
11,2026-06-24 01:19:52,8,10,547,111,686,90.7,1.0,8,1,qwen3-80b,history_5,383,3976.9,CPU-intensive
12,2026-06-24 01:20:57,8,8,451,89,561,38.2,1.0,8,0,qwen3-80b,history_5,381,548.8,CPU-intensive
13,2026-06-24 01:21:58,8,8,476,89,577,75.4,1.0,8,0,qwen3-80b,history_5,380,1366.3,CPU-intensive
14,2026-06-24 01:23:00,10,8,544,89,575,79.2,1.0,10,1,qwen3-80b,history_5,380,559.9,CPU-intensive
15,2026-06-24 01:24:02,12,10,526,111,590,254.9,1.0,12,1,qwen3-80b,history_5,382,672.9,CPU-intensive
16,2026-06-24 01:25:04,10,12,542,133,604,103.0,1.0,10,1,qwen3-80b,history_5,383,732.8,CPU-intensive
