step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-21 03:34:06,8,3,5,55,292,170.8,1.0,8,1,rl-ppo,baseline,0,0.0,CPU-intensive
1,2026-06-21 03:35:07,8,8,383,88,259,55.9,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
2,2026-06-21 03:36:07,8,8,286,88,200,36.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
3,2026-06-21 03:37:08,8,8,198,88,205,73.1,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
4,2026-06-21 03:38:09,8,8,238,88,222,37.2,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
5,2026-06-21 03:39:09,8,8,268,88,286,37.2,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
6,2026-06-21 03:40:10,8,8,310,88,575,37.8,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
7,2026-06-21 03:41:10,8,8,526,88,776,39.0,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
8,2026-06-21 03:42:11,8,8,567,88,746,37.6,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
9,2026-06-21 03:43:12,8,8,546,89,639,65.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
10,2026-06-21 03:44:12,8,8,609,88,727,44.0,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
11,2026-06-21 03:45:13,8,8,556,91,686,36.8,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
12,2026-06-21 03:46:13,8,8,485,89,561,59.7,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
13,2026-06-21 03:47:14,8,8,477,89,577,108.6,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
14,2026-06-21 03:48:15,8,8,513,89,575,122.8,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
15,2026-06-21 03:49:16,8,8,525,89,590,216.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
16,2026-06-21 03:50:16,8,8,532,89,604,65.6,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
17,2026-06-21 03:51:17,8,8,491,89,729,72.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
18,2026-06-21 03:52:18,8,8,603,88,760,88.0,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
19,2026-06-21 03:53:18,8,8,545,88,763,56.1,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
20,2026-06-21 03:54:19,8,8,564,89,735,36.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
21,2026-06-21 03:55:19,8,8,583,88,718,56.6,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
22,2026-06-21 03:56:20,8,8,518,89,623,44.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
23,2026-06-21 03:57:21,8,8,525,90,559,41.7,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
24,2026-06-21 03:58:21,8,8,488,89,569,37.8,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
25,2026-06-21 03:59:22,8,8,533,88,640,36.7,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
26,2026-06-21 04:00:23,8,8,519,89,640,174.9,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
27,2026-06-21 04:01:23,8,8,501,91,688,40.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
28,2026-06-21 04:02:24,8,8,538,88,545,81.7,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
29,2026-06-21 04:03:25,8,8,482,88,550,41.2,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
30,2026-06-21 04:04:25,8,8,544,88,643,40.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
31,2026-06-21 04:05:26,8,8,492,88,592,39.9,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
32,2026-06-21 04:06:26,8,8,491,89,443,69.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
33,2026-06-21 04:07:27,8,8,462,89,442,37.9,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
34,2026-06-21 04:08:28,8,8,386,89,401,43.1,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
35,2026-06-21 04:09:28,8,8,406,89,378,51.0,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
36,2026-06-21 04:10:29,8,8,321,88,296,81.7,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
37,2026-06-21 04:11:30,8,8,407,88,381,297.2,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
38,2026-06-21 04:12:30,8,8,383,88,340,48.0,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
39,2026-06-21 04:13:31,8,8,406,88,358,38.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
40,2026-06-21 04:14:32,8,8,367,88,451,94.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
41,2026-06-21 04:15:32,8,8,491,88,623,94.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
42,2026-06-21 04:16:33,8,8,494,89,518,51.1,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
43,2026-06-21 04:17:34,8,8,429,88,548,48.7,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
44,2026-06-21 04:18:34,8,8,492,88,499,38.9,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
45,2026-06-21 04:19:35,8,8,493,88,517,46.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
46,2026-06-21 04:20:35,8,8,457,89,471,95.1,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
47,2026-06-21 04:21:36,8,8,494,89,503,49.1,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
48,2026-06-21 04:22:37,8,8,547,88,605,56.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
49,2026-06-21 04:23:37,8,8,494,89,621,39.2,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
50,2026-06-21 04:24:38,8,8,530,88,646,54.9,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
51,2026-06-21 04:25:38,8,8,579,88,639,64.9,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
52,2026-06-21 04:26:39,8,8,458,88,493,130.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
53,2026-06-21 04:27:40,8,8,428,88,446,73.7,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
54,2026-06-21 04:28:40,8,8,447,89,435,127.9,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
55,2026-06-21 04:29:41,8,8,454,89,425,52.9,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
56,2026-06-21 04:30:42,8,8,389,90,401,36.9,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
57,2026-06-21 04:31:42,8,8,484,88,491,36.8,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
58,2026-06-21 04:32:43,8,8,397,88,382,57.2,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
59,2026-06-21 04:33:44,8,8,433,89,414,37.1,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
60,2026-06-21 04:34:44,8,8,478,88,515,49.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
61,2026-06-21 04:35:45,8,8,497,89,575,41.9,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
62,2026-06-21 04:36:46,8,8,561,89,603,128.1,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
63,2026-06-21 04:37:46,8,8,553,88,720,41.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
64,2026-06-21 04:38:47,8,8,550,88,702,77.7,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
65,2026-06-21 04:39:47,8,8,528,88,689,46.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
66,2026-06-21 04:40:48,8,8,507,90,641,83.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
67,2026-06-21 04:41:49,8,8,568,90,618,58.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
68,2026-06-21 04:42:49,8,8,559,89,701,64.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
69,2026-06-21 04:43:50,8,8,512,88,625,37.2,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
70,2026-06-21 04:44:51,8,8,570,89,692,61.2,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
71,2026-06-21 04:45:51,8,8,492,90,612,74.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
72,2026-06-21 04:46:52,8,8,524,88,579,123.0,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
73,2026-06-21 04:47:53,8,8,476,88,635,129.1,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
74,2026-06-21 04:48:53,8,8,507,88,614,76.7,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
75,2026-06-21 04:49:54,8,8,565,88,723,64.1,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
76,2026-06-21 04:50:55,8,8,698,91,1000,93.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
77,2026-06-21 04:51:55,8,8,768,90,1169,37.7,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
78,2026-06-21 04:52:56,8,8,805,89,1379,84.6,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
79,2026-06-21 04:53:56,9,8,931,89,1764,54.5,1.0,9,1,rl-ppo,baseline,0,0.0,CPU-intensive
80,2026-06-21 04:54:57,9,9,865,102,1578,56.6,1.0,9,0,rl-ppo,baseline,0,0.0,CPU-intensive
81,2026-06-21 04:55:58,8,9,778,99,1426,91.5,1.0,8,1,rl-ppo,baseline,0,0.0,CPU-intensive
82,2026-06-21 04:56:59,8,8,756,89,1247,62.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
83,2026-06-21 04:57:59,8,8,741,88,1240,55.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
84,2026-06-21 04:59:00,8,8,770,89,1292,117.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
85,2026-06-21 05:00:01,9,8,799,91,1546,52.8,1.0,9,1,rl-ppo,baseline,0,0.0,CPU-intensive
86,2026-06-21 05:01:01,9,9,785,100,1445,181.6,1.0,9,0,rl-ppo,baseline,0,0.0,CPU-intensive
87,2026-06-21 05:02:02,8,9,796,99,1413,90.9,1.0,8,1,rl-ppo,baseline,0,0.0,CPU-intensive
88,2026-06-21 05:03:03,9,8,843,89,1495,146.7,1.0,9,1,rl-ppo,baseline,0,0.0,CPU-intensive
89,2026-06-21 05:04:04,8,9,840,101,1438,107.6,1.0,8,1,rl-ppo,baseline,0,0.0,CPU-intensive
90,2026-06-21 05:05:04,9,8,836,89,1491,57.8,1.0,9,1,rl-ppo,baseline,0,0.0,CPU-intensive
91,2026-06-21 05:06:05,8,9,870,99,1513,48.4,1.0,8,1,rl-ppo,baseline,0,0.0,CPU-intensive
92,2026-06-21 05:07:06,9,8,870,89,1500,55.2,1.0,9,1,rl-ppo,baseline,0,0.0,CPU-intensive
93,2026-06-21 05:08:07,9,9,852,99,1609,51.8,1.0,9,0,rl-ppo,baseline,0,0.0,CPU-intensive
94,2026-06-21 05:09:07,8,9,802,101,1458,77.0,1.0,8,1,rl-ppo,baseline,0,0.0,CPU-intensive
95,2026-06-21 05:10:08,8,8,750,89,1380,51.7,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
96,2026-06-21 05:11:09,8,8,751,88,1211,89.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
97,2026-06-21 05:12:09,8,8,736,88,1106,146.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
98,2026-06-21 05:13:10,8,8,706,89,1181,95.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
99,2026-06-21 05:14:11,8,8,740,88,1131,46.8,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
100,2026-06-21 05:15:11,8,8,658,88,983,76.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
101,2026-06-21 05:16:12,8,8,605,90,933,64.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
102,2026-06-21 05:17:13,8,8,545,90,827,94.6,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
103,2026-06-21 05:18:13,8,8,670,90,804,67.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
104,2026-06-21 05:19:14,8,8,670,88,1032,79.6,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
105,2026-06-21 05:20:15,8,8,606,89,938,122.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
106,2026-06-21 05:21:15,8,8,561,88,821,92.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
