step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-22 04:37:54,3,3,10,223,1437,37.6,1.0,3,0,llama-70b,cot,702,32417.3,I/O-bound
1,2026-06-22 04:39:27,3,3,189,48,1535,39.3,1.0,3,0,llama-70b,cot,648,17052.8,I/O-bound
2,2026-06-22 04:40:44,3,3,140,48,1031,30.5,1.0,3,0,llama-70b,cot,710,30742.0,I/O-bound
3,2026-06-22 04:42:15,3,3,171,50,1088,34.2,1.0,3,0,llama-70b,cot,592,55699.8,I/O-bound
4,2026-06-22 04:44:11,3,3,38,50,1214,34.3,1.0,3,0,llama-70b,cot,684,66467.0,I/O-bound
5,2026-06-22 04:46:18,3,3,123,50,295,20.7,1.0,3,0,llama-70b,cot,688,30942.3,I/O-bound
6,2026-06-22 04:47:50,3,3,164,51,1494,33.4,1.0,3,0,llama-70b,cot,616,35042.0,I/O-bound
7,2026-06-22 04:49:25,3,3,169,50,1194,35.5,1.0,3,0,llama-70b,cot,626,19354.0,I/O-bound
8,2026-06-22 04:50:45,3,3,187,51,1552,37.3,1.0,3,0,llama-70b,cot,656,30590.9,I/O-bound
9,2026-06-22 04:52:16,3,3,71,53,1818,11.5,1.0,3,0,llama-70b,cot,617,6307.0,I/O-bound
10,2026-06-22 04:53:23,3,3,68,53,539,11.9,1.0,3,0,llama-70b,cot,736,9460.7,I/O-bound
11,2026-06-22 04:54:32,3,3,80,53,1830,34.3,1.0,3,0,llama-70b,cot,724,7565.0,I/O-bound
12,2026-06-22 04:55:40,3,3,58,53,2374,13.7,1.0,3,0,llama-70b,cot,679,7753.9,I/O-bound
13,2026-06-22 04:56:49,3,3,95,53,1590,12.7,1.0,3,0,llama-70b,cot,592,25832.2,I/O-bound
14,2026-06-22 04:58:15,3,3,82,53,1142,34.9,1.0,3,0,llama-70b,cot,628,8001.4,I/O-bound
15,2026-06-22 04:59:23,3,3,99,53,1289,14.2,1.0,3,0,llama-70b,cot,597,10931.7,I/O-bound
16,2026-06-22 05:00:34,3,3,64,53,1459,33.4,1.0,3,0,llama-70b,cot,666,34318.7,I/O-bound
17,2026-06-22 05:02:09,20,3,72,54,1056,12.7,1.0,20,1,llama-70b,cot,752,53047.3,I/O-bound
18,2026-06-22 05:04:02,4,19,76,230,1674,12.3,1.0,4,1,llama-70b,cot,752,32140.1,I/O-bound
19,2026-06-22 05:05:35,4,4,104,65,1061,32.4,1.0,4,0,llama-70b,cot,666,32525.4,I/O-bound
20,2026-06-22 05:07:08,4,4,60,68,1372,14.2,1.0,4,0,llama-70b,cot,650,34575.2,I/O-bound
