step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-21 21:06:20,3,3,8,156,1437,34.8,1.0,3,0,llama-70b,zero_shot,199,833.4,I/O-bound
1,2026-06-21 21:07:21,3,3,129,158,1535,23.6,1.0,3,0,llama-70b,zero_shot,199,497.0,I/O-bound
2,2026-06-21 21:08:22,3,3,144,157,1031,34.0,1.0,3,0,llama-70b,zero_shot,199,480.7,I/O-bound
3,2026-06-21 21:09:23,3,3,90,159,1088,34.9,1.0,3,0,llama-70b,zero_shot,199,546.6,I/O-bound
4,2026-06-21 21:10:24,3,3,65,159,1214,13.4,1.0,3,0,llama-70b,zero_shot,199,17293.3,I/O-bound
5,2026-06-21 21:11:42,3,3,16,159,295,26.8,1.0,3,0,llama-70b,zero_shot,198,462.7,I/O-bound
6,2026-06-21 21:12:43,3,3,83,159,1494,12.0,1.0,3,0,llama-70b,zero_shot,199,6163.6,I/O-bound
7,2026-06-21 21:13:49,3,3,66,159,1194,34.4,1.0,3,0,llama-70b,zero_shot,199,483.0,I/O-bound
8,2026-06-21 21:14:50,3,3,88,159,1552,35.3,1.0,3,0,llama-70b,zero_shot,199,496.4,I/O-bound
9,2026-06-21 21:15:51,3,3,102,159,1818,32.8,1.0,3,0,llama-70b,zero_shot,199,642.3,I/O-bound
10,2026-06-21 21:16:52,3,3,34,159,539,12.0,1.0,3,0,llama-70b,zero_shot,198,1514.0,I/O-bound
11,2026-06-21 21:17:54,3,3,112,159,1830,32.5,1.0,3,0,llama-70b,zero_shot,199,18430.3,I/O-bound
12,2026-06-21 21:19:13,3,3,141,160,2374,15.9,1.0,3,0,llama-70b,zero_shot,199,967.0,I/O-bound
13,2026-06-21 21:20:14,3,3,94,161,1590,32.5,1.0,3,0,llama-70b,zero_shot,199,539.1,I/O-bound
14,2026-06-21 21:21:15,3,3,58,162,1142,33.8,1.0,3,0,llama-70b,zero_shot,199,4621.1,I/O-bound
15,2026-06-21 21:22:20,3,3,64,162,1289,11.5,1.0,3,0,llama-70b,zero_shot,199,5804.2,I/O-bound
16,2026-06-21 21:23:26,3,3,79,162,1459,32.4,1.0,3,0,llama-70b,zero_shot,199,497.1,I/O-bound
17,2026-06-21 21:24:27,3,3,75,162,1056,14.2,1.0,3,0,llama-70b,zero_shot,199,986.3,I/O-bound
18,2026-06-21 21:25:28,3,3,68,162,1674,13.1,1.0,3,0,llama-70b,zero_shot,199,11232.5,I/O-bound
19,2026-06-21 21:26:40,3,3,72,162,1061,33.8,1.0,3,0,llama-70b,zero_shot,199,10070.1,I/O-bound
20,2026-06-21 21:27:50,3,3,103,162,1372,15.1,1.0,3,0,llama-70b,zero_shot,199,500.6,I/O-bound
21,2026-06-21 21:28:51,3,3,80,162,1609,32.2,1.0,3,0,llama-70b,zero_shot,199,531.3,I/O-bound
22,2026-06-21 21:29:52,3,3,76,162,1231,11.1,1.0,3,0,llama-70b,zero_shot,199,1354.5,I/O-bound
23,2026-06-21 21:30:54,3,3,74,162,1330,17.8,1.0,3,0,llama-70b,zero_shot,199,18404.8,I/O-bound
24,2026-06-21 21:32:12,3,3,63,164,1184,12.1,1.0,3,0,llama-70b,zero_shot,199,6423.3,I/O-bound
25,2026-06-21 21:33:19,3,3,92,165,1024,29.4,1.0,3,0,llama-70b,zero_shot,199,9470.5,I/O-bound
26,2026-06-21 21:34:29,3,3,68,165,1370,21.8,1.0,3,0,llama-70b,zero_shot,199,8954.7,I/O-bound
27,2026-06-21 21:35:38,3,3,80,165,1941,18.0,1.0,3,0,llama-70b,zero_shot,199,515.3,I/O-bound
28,2026-06-21 21:36:39,3,3,99,165,917,34.5,1.0,3,0,llama-70b,zero_shot,198,621.0,I/O-bound
