step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-21 16:56:13,3,3,12,111,1437,34.7,1.0,3,0,llama-8b,history_5,214,801.9,I/O-bound
1,2026-06-21 16:57:15,3,3,114,111,1535,26.7,1.0,3,0,llama-8b,history_5,248,505.9,I/O-bound
2,2026-06-21 16:58:16,4,3,84,111,1031,32.2,1.0,4,1,llama-8b,history_5,282,496.9,I/O-bound
3,2026-06-21 16:59:17,4,4,51,122,1088,32.3,1.0,4,0,llama-8b,history_5,316,519.6,I/O-bound
4,2026-06-21 17:00:18,5,4,57,123,1214,32.5,1.0,5,1,llama-8b,history_5,350,513.3,I/O-bound
5,2026-06-21 17:01:18,5,5,56,134,295,32.1,1.0,5,0,llama-8b,history_5,383,5517.9,I/O-bound
6,2026-06-21 17:02:24,5,5,17,134,1494,13.0,1.0,5,0,llama-8b,history_5,383,635.2,I/O-bound
7,2026-06-21 17:03:25,5,5,84,135,1194,14.2,1.0,5,0,llama-8b,history_5,383,455.4,I/O-bound
8,2026-06-21 17:04:26,5,5,85,135,1552,32.2,1.0,5,0,llama-8b,history_5,383,466.2,I/O-bound
9,2026-06-21 17:05:27,5,5,98,137,1818,33.7,1.0,5,0,llama-8b,history_5,383,566.0,I/O-bound
10,2026-06-21 17:06:28,6,5,43,137,539,35.6,1.0,6,1,llama-8b,history_5,382,447.0,I/O-bound
11,2026-06-21 17:07:29,7,6,92,148,1830,33.4,1.0,7,1,llama-8b,history_5,383,468.3,I/O-bound
12,2026-06-21 17:08:30,8,7,135,160,2374,11.6,1.0,8,1,llama-8b,history_5,383,459.6,I/O-bound
13,2026-06-21 17:09:31,8,8,93,173,1590,10.9,1.0,8,0,llama-8b,history_5,383,465.6,I/O-bound
14,2026-06-21 17:10:31,8,8,58,173,1142,35.3,1.0,8,0,llama-8b,history_5,383,412.2,I/O-bound
15,2026-06-21 17:11:32,8,8,62,174,1289,11.3,1.0,8,0,llama-8b,history_5,383,471.7,I/O-bound
16,2026-06-21 17:12:33,8,8,82,173,1459,34.1,1.0,8,0,llama-8b,history_5,384,452.7,I/O-bound
17,2026-06-21 17:13:34,10,8,61,173,1056,34.8,1.0,10,1,llama-8b,history_5,384,428.8,I/O-bound
18,2026-06-21 17:14:35,10,8,90,173,1674,14.1,1.0,10,0,llama-8b,history_5,384,495.3,I/O-bound
19,2026-06-21 17:15:36,10,8,75,173,1061,13.0,1.0,10,0,llama-8b,history_5,384,434.3,I/O-bound
20,2026-06-21 17:16:36,10,8,86,174,1372,13.4,1.0,10,0,llama-8b,history_5,384,451.9,I/O-bound
21,2026-06-21 17:17:37,10,8,96,175,1609,32.8,1.0,10,0,llama-8b,history_5,384,504.6,I/O-bound
22,2026-06-21 17:18:38,10,8,72,175,1231,10.8,1.0,10,0,llama-8b,history_5,384,489.6,I/O-bound
23,2026-06-21 17:19:39,10,8,70,176,1330,25.0,1.0,10,0,llama-8b,history_5,384,506.0,I/O-bound
24,2026-06-21 17:20:40,10,8,73,177,1184,14.9,1.0,10,0,llama-8b,history_5,384,528.6,I/O-bound
25,2026-06-21 17:21:41,8,8,66,177,1024,12.4,1.0,8,1,llama-8b,history_5,384,439.1,I/O-bound
26,2026-06-21 17:22:41,8,8,79,177,1370,34.7,1.0,8,0,llama-8b,history_5,384,456.1,I/O-bound
27,2026-06-21 17:23:42,10,8,114,177,1941,34.5,1.0,10,1,llama-8b,history_5,384,452.6,I/O-bound
28,2026-06-21 17:24:43,10,8,65,177,917,17.0,1.0,10,0,llama-8b,history_5,383,393.4,I/O-bound
