step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-22 12:10:38,3,3,3,140,1437,32.9,1.0,3,0,mistral-small4,history_5,209,684.0,I/O-bound
1,2026-06-22 12:11:39,3,3,72,140,1535,13.8,1.0,3,0,mistral-small4,history_5,245,274.6,I/O-bound
2,2026-06-22 12:12:40,3,3,78,140,1031,32.6,1.0,3,0,mistral-small4,history_5,281,404.8,I/O-bound
3,2026-06-22 12:13:40,3,3,52,140,1088,13.6,1.0,3,0,mistral-small4,history_5,317,258.7,I/O-bound
4,2026-06-22 12:14:41,3,3,54,140,1214,33.4,1.0,3,0,mistral-small4,history_5,353,263.9,I/O-bound
5,2026-06-22 12:15:42,3,3,38,140,295,18.5,1.0,3,0,mistral-small4,history_5,388,382.9,I/O-bound
6,2026-06-22 12:16:42,3,3,35,140,1494,31.2,1.0,3,0,mistral-small4,history_5,389,388.5,I/O-bound
7,2026-06-22 12:17:43,3,3,71,140,1194,11.9,1.0,3,0,mistral-small4,history_5,389,252.2,I/O-bound
8,2026-06-22 12:18:44,3,3,77,141,1552,20.8,1.0,3,0,mistral-small4,history_5,389,315.2,I/O-bound
9,2026-06-22 12:19:44,3,3,95,142,1818,27.0,1.0,3,0,mistral-small4,history_5,389,281.5,I/O-bound
10,2026-06-22 12:20:45,3,3,97,143,539,35.3,1.0,3,0,mistral-small4,history_5,388,293.3,I/O-bound
11,2026-06-22 12:21:46,3,3,64,143,1830,33.4,1.0,3,0,mistral-small4,history_5,389,374.9,I/O-bound
12,2026-06-22 12:22:47,3,3,137,143,2374,32.0,1.0,3,0,mistral-small4,history_5,389,309.6,I/O-bound
13,2026-06-22 12:23:47,3,3,244,143,1590,33.1,1.0,3,0,mistral-small4,history_5,389,286.0,I/O-bound
14,2026-06-22 12:24:48,3,3,175,143,1142,33.3,1.0,3,0,mistral-small4,history_5,389,350.5,I/O-bound
15,2026-06-22 12:25:49,3,3,141,143,1289,33.9,1.0,3,0,mistral-small4,history_5,389,359.3,I/O-bound
16,2026-06-22 12:26:50,3,3,112,144,1459,34.5,1.0,3,0,mistral-small4,history_5,390,294.5,I/O-bound
17,2026-06-22 12:27:50,3,3,113,144,1056,33.6,1.0,3,0,mistral-small4,history_5,390,600.4,I/O-bound
18,2026-06-22 12:28:51,3,3,118,144,1674,23.0,1.0,3,0,mistral-small4,history_5,390,369.9,I/O-bound
19,2026-06-22 12:29:52,3,3,123,146,1061,32.7,1.0,3,0,mistral-small4,history_5,390,289.0,I/O-bound
20,2026-06-22 12:30:53,3,3,117,144,1372,32.8,1.0,3,0,mistral-small4,history_5,390,304.1,I/O-bound
21,2026-06-22 12:31:54,3,3,102,146,1609,26.2,1.0,3,0,mistral-small4,history_5,390,300.5,I/O-bound
22,2026-06-22 12:32:54,3,3,84,146,1231,32.5,1.0,3,0,mistral-small4,history_5,390,290.2,I/O-bound
23,2026-06-22 12:33:55,3,3,62,146,1330,13.6,1.0,3,0,mistral-small4,history_5,390,332.3,I/O-bound
24,2026-06-22 12:34:56,3,3,69,146,1184,33.9,1.0,3,0,mistral-small4,history_5,390,287.7,I/O-bound
25,2026-06-22 12:35:56,3,3,59,146,1024,32.0,1.0,3,0,mistral-small4,history_5,390,292.0,I/O-bound
26,2026-06-22 12:36:57,3,3,72,146,1370,32.8,1.0,3,0,mistral-small4,history_5,390,322.0,I/O-bound
27,2026-06-22 12:37:58,3,3,110,147,1941,16.1,1.0,3,0,mistral-small4,history_5,390,290.8,I/O-bound
28,2026-06-22 12:38:58,3,3,61,147,917,32.9,1.0,3,0,mistral-small4,history_5,389,294.3,I/O-bound
29,2026-06-22 12:39:59,3,3,89,147,1510,32.6,1.0,3,0,mistral-small4,history_5,389,381.4,I/O-bound
30,2026-06-22 12:41:00,3,3,93,147,1563,11.7,1.0,3,0,mistral-small4,history_5,389,257.4,I/O-bound
31,2026-06-22 12:42:00,3,3,97,148,1667,13.1,1.0,3,0,mistral-small4,history_5,389,303.6,I/O-bound
32,2026-06-22 12:43:01,3,3,71,149,1307,18.5,1.0,3,0,mistral-small4,history_5,389,289.4,I/O-bound
33,2026-06-22 12:44:02,3,3,73,149,1473,32.8,1.0,3,0,mistral-small4,history_5,389,296.9,I/O-bound
34,2026-06-22 12:45:02,3,3,91,149,1803,33.2,1.0,3,0,mistral-small4,history_5,390,299.8,I/O-bound
35,2026-06-22 12:46:03,3,3,96,149,1822,37.3,1.0,3,0,mistral-small4,history_5,390,255.6,I/O-bound
36,2026-06-22 12:47:04,3,3,102,149,1951,17.8,1.0,3,0,mistral-small4,history_5,390,296.0,I/O-bound
37,2026-06-22 12:48:04,3,3,71,150,1196,15.4,1.0,3,0,mistral-small4,history_5,390,544.8,I/O-bound
38,2026-06-22 12:49:05,3,3,87,150,1303,12.2,1.0,3,0,mistral-small4,history_5,390,307.8,I/O-bound
39,2026-06-22 12:50:06,3,3,112,150,1689,26.1,1.0,3,0,mistral-small4,history_5,390,292.5,I/O-bound
40,2026-06-22 12:51:06,3,3,68,150,1241,30.5,1.0,3,0,mistral-small4,history_5,390,349.6,I/O-bound
41,2026-06-22 12:52:07,3,3,94,151,1777,11.3,1.0,3,0,mistral-small4,history_5,390,311.4,I/O-bound
42,2026-06-22 12:53:08,3,3,69,152,1295,30.7,1.0,3,0,mistral-small4,history_5,390,293.8,I/O-bound
43,2026-06-22 12:54:09,3,3,24,152,385,11.0,1.0,3,0,mistral-small4,history_5,388,296.1,I/O-bound
44,2026-06-22 12:55:09,3,3,121,152,1965,26.3,1.0,3,0,mistral-small4,history_5,388,290.4,I/O-bound
45,2026-06-22 12:56:10,3,3,87,152,1366,13.7,1.0,3,0,mistral-small4,history_5,388,745.6,I/O-bound
46,2026-06-22 12:57:11,3,3,110,152,1985,11.4,1.0,3,0,mistral-small4,history_5,388,927.4,I/O-bound
47,2026-06-22 12:58:12,3,3,92,152,1515,34.9,1.0,3,0,mistral-small4,history_5,388,300.1,I/O-bound
48,2026-06-22 12:59:13,3,3,68,152,1086,33.8,1.0,3,0,mistral-small4,history_5,388,388.6,I/O-bound
