step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-23 20:58:49,292,292,96.4,88.6,135.7,160.4,292,0,1.0
1,2026-06-23 20:59:49,259,259,96.3,87.9,134.3,160.9,259,0,1.0
2,2026-06-23 21:00:49,200,201,95.4,94.9,125.8,421.4,200,0,1.0
3,2026-06-23 21:01:48,205,205,85.6,64.0,145.7,352.4,205,0,1.0
4,2026-06-23 21:02:49,222,223,70.1,63.8,119.3,190.8,222,0,1.0
5,2026-06-23 21:03:48,286,287,94.6,84.7,152.2,305.3,286,0,1.0
6,2026-06-23 21:04:48,575,575,75.0,62.3,131.4,237.9,575,0,1.0
7,2026-06-23 21:05:48,776,769,64.3,45.8,117.4,217.5,776,0,1.0
8,2026-06-23 21:06:49,746,747,64.2,45.5,123.1,230.6,746,0,1.0
9,2026-06-23 21:07:49,639,640,61.7,44.4,110.1,232.1,639,0,1.0
10,2026-06-23 21:08:49,727,727,61.5,40.2,120.2,239.2,727,0,1.0
11,2026-06-23 21:09:49,686,687,55.7,38.9,97.7,217.8,686,0,1.0
12,2026-06-23 21:10:49,561,561,56.6,44.5,98.4,191.6,561,0,1.0
13,2026-06-23 21:11:49,577,577,63.5,44.7,118.6,233.1,577,0,1.0
14,2026-06-23 21:12:49,575,576,62.2,45.9,108.8,241.9,575,0,1.0
15,2026-06-23 21:13:49,590,591,66.8,46.7,124.3,279.4,590,0,1.0
16,2026-06-23 21:14:48,604,603,63.9,45.8,117.5,230.5,604,0,1.0
17,2026-06-23 21:15:49,729,728,62.4,42.0,116.9,229.6,729,0,1.0
18,2026-06-23 21:16:49,760,760,57.4,40.0,101.8,196.2,760,0,1.0
19,2026-06-23 21:17:49,763,761,61.9,40.8,115.3,262.4,763,0,1.0
20,2026-06-23 21:18:49,735,735,61.1,38.6,113.0,245.2,735,0,1.0
21,2026-06-23 21:19:49,718,719,56.4,38.5,101.3,194.3,718,0,1.0
22,2026-06-23 21:20:49,623,623,59.9,41.6,108.3,207.6,623,0,1.0
23,2026-06-23 21:21:49,559,560,64.4,43.7,123.4,240.1,559,0,1.0
24,2026-06-23 21:22:49,569,570,65.7,46.5,121.7,244.9,569,0,1.0
25,2026-06-23 21:23:49,640,641,62.2,44.1,112.2,268.0,640,0,1.0
26,2026-06-23 21:24:48,640,641,65.6,45.4,129.1,267.5,640,0,1.0
27,2026-06-23 21:25:48,688,689,61.6,42.3,117.5,245.6,688,0,1.0
28,2026-06-23 21:26:48,545,546,66.9,48.7,127.8,249.6,545,0,1.0
29,2026-06-23 21:27:48,550,549,61.6,45.1,117.4,218.7,550,0,1.0
30,2026-06-23 21:28:48,643,644,61.0,42.7,106.9,247.7,643,0,1.0
31,2026-06-23 21:29:48,592,592,63.9,48.6,112.4,249.4,592,0,1.0
32,2026-06-23 21:30:48,443,444,68.8,50.1,123.7,265.1,443,0,1.0
33,2026-06-23 21:31:48,442,443,63.3,48.7,108.6,230.9,442,0,1.0
34,2026-06-23 21:32:48,401,401,66.7,53.7,119.3,229.6,401,0,1.0
35,2026-06-23 21:33:48,378,379,69.5,56.7,115.8,231.2,378,0,1.0
36,2026-06-23 21:34:48,296,297,62.4,50.2,103.3,234.0,296,0,1.0
37,2026-06-23 21:35:48,381,382,72.1,60.9,117.5,252.9,381,0,1.0
38,2026-06-23 21:36:48,340,341,74.9,63.8,122.1,253.2,340,0,1.0
39,2026-06-23 21:37:48,358,357,73.3,62.2,121.0,241.1,358,0,1.0
40,2026-06-23 21:38:48,451,451,72.5,62.4,121.0,208.4,451,0,1.0
41,2026-06-23 21:39:48,623,623,65.7,52.9,114.6,237.0,623,0,1.0
42,2026-06-23 21:40:48,518,518,70.9,56.1,130.0,243.8,518,0,1.0
43,2026-06-23 21:41:48,548,549,70.3,51.2,133.7,265.6,548,0,1.0
44,2026-06-23 21:42:48,499,499,63.4,49.6,110.1,217.9,499,0,1.0
45,2026-06-23 21:43:48,517,517,60.4,44.6,112.3,203.8,517,0,1.0
46,2026-06-23 21:44:48,471,472,62.7,49.2,107.9,227.2,471,0,1.0
47,2026-06-23 21:45:48,503,504,61.6,46.5,118.3,170.8,503,0,1.0
48,2026-06-23 21:46:47,605,605,59.0,45.9,96.7,195.7,605,0,1.0
49,2026-06-23 21:47:47,621,622,58.7,43.7,104.7,186.3,621,0,1.0
50,2026-06-23 21:48:47,646,647,60.8,44.1,110.1,217.1,646,0,1.0
51,2026-06-23 21:49:47,639,640,66.4,43.5,118.3,389.0,639,0,1.0
52,2026-06-23 21:50:47,493,494,61.0,46.0,108.3,267.4,493,0,1.0
53,2026-06-23 21:51:47,446,446,55.6,47.0,84.1,173.6,446,0,1.0
54,2026-06-23 21:52:47,435,436,64.1,53.2,111.1,211.1,435,0,1.0
55,2026-06-23 21:53:47,425,426,82.3,58.6,157.0,345.3,425,0,1.0
56,2026-06-23 21:54:47,401,402,79.8,58.3,168.7,286.3,401,0,1.0
57,2026-06-23 21:55:47,491,491,71.0,56.8,122.6,243.1,491,0,1.0
58,2026-06-23 21:56:47,382,383,77.1,60.0,134.6,293.6,382,0,1.0
59,2026-06-23 21:57:47,414,415,81.9,59.2,172.3,285.6,414,0,1.0
60,2026-06-23 21:58:47,515,515,79.1,55.3,139.9,450.6,515,0,1.0
61,2026-06-23 21:59:47,575,575,73.1,57.9,127.3,281.2,575,0,1.0
62,2026-06-23 22:00:47,603,601,76.0,52.4,147.6,321.9,603,0,1.0
63,2026-06-23 22:01:47,720,720,57.8,41.8,102.0,222.9,720,0,1.0
64,2026-06-23 22:02:47,702,703,55.0,38.7,97.4,166.1,702,0,1.0
65,2026-06-23 22:03:47,689,689,65.8,42.3,131.6,274.5,689,0,1.0
66,2026-06-23 22:04:47,641,641,65.7,45.0,127.1,247.3,641,0,1.0
67,2026-06-23 22:05:47,618,619,59.4,43.1,109.7,212.6,618,0,1.0
68,2026-06-23 22:06:47,701,701,56.9,40.2,100.9,220.3,701,0,1.0
69,2026-06-23 22:07:47,625,625,61.6,43.2,113.1,241.7,625,0,1.0
70,2026-06-23 22:08:47,692,692,57.9,39.7,105.0,219.7,692,0,1.0
71,2026-06-23 22:09:47,612,613,61.7,44.1,107.2,237.8,612,0,1.0
72,2026-06-23 22:10:47,579,580,61.3,45.2,114.2,238.3,579,0,1.0
73,2026-06-23 22:11:46,635,634,61.2,42.3,115.5,223.8,635,0,1.0
74,2026-06-23 22:12:47,614,614,61.7,46.9,112.0,204.6,614,0,1.0
75,2026-06-23 22:13:46,723,724,61.9,41.6,109.7,276.4,723,0,1.0
76,2026-06-23 22:14:46,1000,1000,52.1,38.1,98.2,163.8,1000,0,1.0
77,2026-06-23 22:15:46,1169,1169,51.2,36.8,88.3,190.8,1169,0,1.0
78,2026-06-23 22:16:46,1379,1379,48.5,36.8,75.5,182.8,1379,0,1.0
79,2026-06-23 22:17:46,1764,1764,50.6,37.4,82.3,212.0,1764,0,1.0
80,2026-06-23 22:18:46,1578,1578,45.5,37.0,67.9,149.7,1578,0,1.0
81,2026-06-23 22:19:46,1426,1425,49.3,37.1,72.8,224.8,1426,0,1.0
82,2026-06-23 22:20:46,1247,1247,45.9,37.1,68.9,148.0,1247,0,1.0
83,2026-06-23 22:21:47,1240,1240,45.8,37.0,68.2,135.0,1240,0,1.0
84,2026-06-23 22:22:47,1292,1292,44.3,36.6,65.1,140.5,1292,0,1.0
85,2026-06-23 22:23:46,1546,1543,45.6,36.7,69.1,151.2,1546,0,1.0
86,2026-06-23 22:24:47,1445,1445,46.0,36.6,72.5,136.3,1445,0,1.0
87,2026-06-23 22:25:47,1413,1413,47.3,36.9,71.8,169.1,1413,0,1.0
88,2026-06-23 22:26:47,1495,1495,46.6,36.7,73.9,155.4,1495,0,1.0
