step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-22 16:30:27,292,293,97.5,88.7,141.0,171.3,292,0,1.0
1,2026-06-22 16:31:27,259,259,102.1,91.4,150.9,167.2,259,0,1.0
2,2026-06-22 16:32:27,200,201,82.6,82.6,87.6,167.4,200,0,1.0
3,2026-06-22 16:33:27,205,206,104.9,91.2,145.5,217.3,205,0,1.0
4,2026-06-22 16:34:26,222,223,98.3,88.3,141.3,158.1,222,0,1.0
5,2026-06-22 16:35:26,286,287,100.4,89.5,141.6,173.8,286,0,1.0
6,2026-06-22 16:36:26,575,575,84.0,71.3,139.8,343.6,575,0,1.0
7,2026-06-22 16:37:26,776,776,84.0,49.1,154.4,523.3,776,0,1.0
8,2026-06-22 16:38:26,746,747,64.9,47.9,125.0,235.4,746,0,1.0
9,2026-06-22 16:39:26,639,639,75.7,55.6,138.8,318.7,639,0,1.0
10,2026-06-22 16:40:26,727,727,95.1,52.7,146.3,928.6,727,0,1.0
11,2026-06-22 16:41:26,686,685,72.7,54.7,130.8,275.6,686,0,1.0
12,2026-06-22 16:42:26,561,561,86.1,70.8,146.5,346.8,561,0,1.0
13,2026-06-22 16:43:26,577,578,91.6,75.6,140.5,617.8,577,0,1.0
14,2026-06-22 16:44:26,575,575,90.1,73.1,154.7,356.1,575,0,1.0
15,2026-06-22 16:45:26,590,589,86.1,74.8,137.2,423.8,590,0,1.0
16,2026-06-22 16:46:26,604,604,86.4,65.4,140.0,457.1,604,0,1.0
17,2026-06-22 16:47:26,729,729,88.0,56.2,148.1,587.7,729,0,1.0
18,2026-06-22 16:48:26,760,760,82.7,51.0,166.0,386.7,760,0,1.0
19,2026-06-22 16:49:26,763,762,86.2,52.3,145.3,574.6,763,0,1.0
20,2026-06-22 16:50:26,735,736,72.4,50.6,134.6,314.8,735,0,1.0
21,2026-06-22 16:51:26,718,718,72.7,51.7,135.6,270.4,718,0,1.0
22,2026-06-22 16:52:26,623,623,92.2,65.0,154.8,512.2,623,0,1.0
23,2026-06-22 16:53:26,559,559,82.2,71.3,136.9,351.2,559,0,1.0
24,2026-06-22 16:54:26,569,569,81.4,69.0,141.8,313.5,569,0,1.0
25,2026-06-22 16:55:26,640,641,73.5,58.4,127.4,253.5,640,0,1.0
26,2026-06-22 16:56:26,640,640,73.3,52.2,130.0,323.5,640,0,1.0
27,2026-06-22 16:57:26,688,686,68.4,51.1,122.1,313.3,688,0,1.0
28,2026-06-22 16:58:26,545,546,84.9,74.3,138.7,339.6,545,0,1.0
29,2026-06-22 16:59:26,550,551,87.1,77.0,144.7,336.6,550,0,1.0
30,2026-06-22 17:00:26,643,644,83.3,66.9,138.5,357.1,643,0,1.0
31,2026-06-22 17:01:26,592,592,86.2,73.6,139.5,351.9,592,0,1.0
32,2026-06-22 17:02:26,443,443,87.2,82.7,146.9,203.0,443,0,1.0
33,2026-06-22 17:03:26,442,442,89.6,85.0,147.5,251.2,442,0,1.0
34,2026-06-22 17:04:26,401,402,95.6,88.4,145.9,190.5,401,0,1.0
35,2026-06-22 17:05:26,378,378,97.3,92.1,140.9,176.9,378,0,1.0
36,2026-06-22 17:06:26,296,296,102.3,91.9,144.5,163.7,296,0,1.0
37,2026-06-22 17:07:26,381,381,93.7,87.1,140.7,163.7,381,0,1.0
