step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-20 23:30:10,292,293,100.0,91.3,140.2,159.5,292,0,1.0
1,2026-06-20 23:31:10,259,260,104.6,93.4,148.9,175.7,259,0,1.0
2,2026-06-20 23:32:10,200,201,99.6,101.7,118.2,138.5,200,0,1.0
3,2026-06-20 23:33:09,205,206,92.0,89.0,141.9,168.2,205,0,1.0
4,2026-06-20 23:34:09,222,223,92.7,86.2,137.8,162.2,222,0,1.0
5,2026-06-20 23:35:09,286,286,99.6,90.1,141.7,171.2,286,0,1.0
6,2026-06-20 23:36:09,575,575,81.0,71.2,138.3,329.2,575,0,1.0
7,2026-06-20 23:37:09,776,776,67.2,47.7,123.4,266.9,776,0,1.0
8,2026-06-20 23:38:09,746,747,63.2,47.4,119.8,235.6,746,0,1.0
9,2026-06-20 23:39:09,639,639,68.5,58.0,122.8,156.1,639,0,1.0
10,2026-06-20 23:40:09,727,728,61.3,48.8,109.0,151.1,727,0,1.0
11,2026-06-20 23:41:09,686,685,65.6,52.4,121.2,161.4,686,0,1.0
12,2026-06-20 23:42:09,561,562,76.8,72.7,132.0,217.5,561,0,1.0
13,2026-06-20 23:43:09,577,578,75.1,66.6,131.3,225.9,577,0,1.0
14,2026-06-20 23:44:09,575,575,73.2,67.9,128.6,161.7,575,0,1.0
15,2026-06-20 23:45:09,590,590,74.4,68.5,131.0,161.1,590,0,1.0
16,2026-06-20 23:46:09,604,604,74.6,68.1,131.4,205.6,604,0,1.0
17,2026-06-20 23:47:09,729,729,61.3,48.4,111.8,147.8,729,0,1.0
18,2026-06-20 23:48:09,760,760,62.2,46.5,118.9,153.4,760,0,1.0
19,2026-06-20 23:49:09,763,763,60.6,45.8,116.0,162.1,763,0,1.0
20,2026-06-20 23:50:09,735,735,62.2,48.1,117.4,153.5,735,0,1.0
21,2026-06-20 23:51:09,718,718,62.6,49.4,115.2,163.1,718,0,1.0
22,2026-06-20 23:52:09,623,624,70.5,57.5,125.2,198.2,623,0,1.0
23,2026-06-20 23:53:09,559,559,75.9,68.3,133.7,209.3,559,0,1.0
24,2026-06-20 23:54:09,569,570,76.6,69.1,135.4,232.8,569,0,1.0
25,2026-06-20 23:55:09,640,641,68.7,61.4,120.9,155.8,640,0,1.0
26,2026-06-20 23:56:09,640,641,68.3,56.0,122.8,178.2,640,0,1.0
27,2026-06-20 23:57:08,688,689,63.7,50.3,118.3,150.5,688,0,1.0
28,2026-06-20 23:58:08,545,545,76.8,72.1,133.8,173.8,545,0,1.0
29,2026-06-20 23:59:08,550,551,76.1,73.7,131.4,197.1,550,0,1.0
30,2026-06-21 00:00:08,643,643,68.1,56.6,119.9,221.1,643,0,1.0
31,2026-06-21 00:01:08,592,593,69.8,59.8,121.8,188.2,592,0,1.0
32,2026-06-21 00:02:08,443,443,87.6,83.2,141.5,218.8,443,0,1.0
33,2026-06-21 00:03:08,442,443,85.3,82.9,136.3,177.6,442,0,1.0
34,2026-06-21 00:04:08,401,402,91.7,86.2,137.8,164.1,401,0,1.0
35,2026-06-21 00:05:08,378,378,95.3,88.9,142.4,214.1,378,0,1.0
36,2026-06-21 00:06:08,296,297,99.0,90.4,142.1,167.7,296,0,1.0
37,2026-06-21 00:07:08,381,381,95.0,89.9,146.6,198.2,381,0,1.0
38,2026-06-21 00:08:08,340,340,97.5,89.3,142.4,163.5,340,0,1.0
39,2026-06-21 00:09:08,358,359,96.8,89.4,142.2,165.6,358,0,1.0
40,2026-06-21 00:10:08,451,452,84.2,82.2,135.4,162.2,451,0,1.0
41,2026-06-21 00:11:08,623,624,70.7,56.0,128.6,199.0,623,0,1.0
42,2026-06-21 00:12:08,518,518,70.8,60.2,122.0,156.5,518,0,1.0
43,2026-06-21 00:13:08,548,548,76.5,72.3,132.9,202.9,548,0,1.0
44,2026-06-21 00:14:08,499,499,77.7,72.8,135.8,163.7,499,0,1.0
45,2026-06-21 00:15:08,517,517,76.5,70.4,130.3,221.3,517,0,1.0
46,2026-06-21 00:16:08,471,472,80.9,78.5,136.2,213.9,471,0,1.0
47,2026-06-21 00:17:08,503,504,78.6,70.5,136.9,218.4,503,0,1.0
48,2026-06-21 00:18:07,605,605,69.2,62.1,121.2,151.2,605,0,1.0
49,2026-06-21 00:19:07,621,622,68.2,60.6,120.2,151.8,621,0,1.0
50,2026-06-21 00:20:07,646,646,65.9,54.9,116.5,150.2,646,0,1.0
51,2026-06-21 00:21:07,639,640,67.0,55.8,122.6,155.8,639,0,1.0
52,2026-06-21 00:22:07,493,494,80.1,75.1,136.6,210.1,493,0,1.0
53,2026-06-21 00:23:07,446,447,83.7,78.9,138.2,218.3,446,0,1.0
54,2026-06-21 00:24:07,435,436,83.4,80.9,137.1,173.5,435,0,1.0
55,2026-06-21 00:25:07,425,425,86.3,82.8,135.6,166.1,425,0,1.0
56,2026-06-21 00:26:07,401,401,90.3,85.9,136.2,159.1,401,0,1.0
57,2026-06-21 00:27:07,491,491,79.1,77.0,130.3,182.4,491,0,1.0
58,2026-06-21 00:28:07,382,383,92.0,88.2,136.0,179.7,382,0,1.0
59,2026-06-21 00:29:07,414,414,89.8,84.8,141.4,206.4,414,0,1.0
60,2026-06-21 00:30:07,515,516,77.8,70.4,134.5,264.7,515,0,1.0
61,2026-06-21 00:31:07,575,575,72.1,65.7,126.1,192.5,575,0,1.0
62,2026-06-21 00:32:07,603,603,70.1,61.8,121.2,218.2,603,0,1.0
63,2026-06-21 00:33:07,720,721,61.5,48.8,112.7,162.2,720,0,1.0
64,2026-06-21 00:34:07,702,702,64.4,51.6,120.1,217.6,702,0,1.0
65,2026-06-21 00:35:07,689,690,69.0,53.5,123.9,227.0,689,0,1.0
66,2026-06-21 00:36:07,641,641,67.9,55.3,123.7,176.6,641,0,1.0
67,2026-06-21 00:37:07,618,619,68.4,52.7,126.1,190.1,618,0,1.0
68,2026-06-21 00:38:07,701,701,62.2,49.6,113.8,156.4,701,0,1.0
69,2026-06-21 00:39:07,625,625,69.1,58.3,122.8,171.2,625,0,1.0
70,2026-06-21 00:40:07,692,693,61.7,51.1,107.3,137.5,692,0,1.0
71,2026-06-21 00:41:07,612,613,64.4,51.1,118.3,152.2,612,0,1.0
72,2026-06-21 00:42:06,579,580,68.3,51.8,125.9,159.6,579,0,1.0
73,2026-06-21 00:43:06,635,635,67.9,55.1,123.4,167.5,635,0,1.0
74,2026-06-21 00:44:06,614,614,69.6,59.7,121.0,159.2,614,0,1.0
75,2026-06-21 00:45:06,723,723,64.1,48.7,116.0,206.7,723,0,1.0
76,2026-06-21 00:46:06,1000,1000,53.0,39.1,103.1,163.6,1000,0,1.0
77,2026-06-21 00:47:06,1169,1169,49.5,36.7,90.8,162.8,1169,0,1.0
78,2026-06-21 00:48:06,1379,1379,43.8,36.0,66.8,137.7,1379,0,1.0
79,2026-06-21 00:49:06,1764,1764,37.8,35.9,37.4,84.4,1764,0,1.0
80,2026-06-21 00:50:06,1578,1578,40.5,35.5,48.3,124.9,1578,0,1.0
81,2026-06-21 00:51:06,1426,1426,42.9,35.7,63.8,127.6,1426,0,1.0
82,2026-06-21 00:52:06,1247,1247,48.6,36.1,88.7,148.3,1247,0,1.0
83,2026-06-21 00:53:06,1240,1240,48.9,36.1,86.9,149.2,1240,0,1.0
84,2026-06-21 00:54:06,1292,1292,45.4,35.8,76.9,147.9,1292,0,1.0
85,2026-06-21 00:55:06,1546,1546,42.5,35.7,57.8,133.8,1546,0,1.0
86,2026-06-21 00:56:06,1445,1445,41.6,35.4,52.5,133.0,1445,0,1.0
87,2026-06-21 00:57:06,1413,1413,43.3,35.8,64.6,136.7,1413,0,1.0
88,2026-06-21 00:58:06,1495,1495,43.8,35.7,63.7,157.5,1495,0,1.0
89,2026-06-21 00:59:06,1438,1438,44.8,35.9,73.0,144.7,1438,0,1.0
90,2026-06-21 01:00:06,1491,1491,43.1,35.9,65.7,132.9,1491,0,1.0
91,2026-06-21 01:01:06,1513,1510,43.1,35.8,58.4,144.0,1513,0,1.0
92,2026-06-21 01:02:06,1500,1500,42.8,35.9,61.8,133.9,1500,0,1.0
93,2026-06-21 01:03:06,1609,1609,39.2,35.6,43.7,97.1,1609,0,1.0
94,2026-06-21 01:04:06,1458,1458,42.6,35.7,60.6,130.0,1458,0,1.0
95,2026-06-21 01:05:06,1380,1380,43.7,36.0,69.0,129.1,1380,0,1.0
96,2026-06-21 01:06:06,1211,1211,48.6,36.2,87.9,158.1,1211,0,1.0
97,2026-06-21 01:07:06,1106,1106,48.2,37.0,85.0,143.5,1106,0,1.0
98,2026-06-21 01:08:06,1181,1181,48.9,36.4,87.9,147.8,1181,0,1.0
99,2026-06-21 01:09:06,1131,1131,50.5,36.9,94.3,153.4,1131,0,1.0
100,2026-06-21 01:10:06,983,983,53.6,39.0,99.6,158.8,983,0,1.0
101,2026-06-21 01:11:06,933,933,56.9,39.8,113.8,182.9,933,0,1.0
102,2026-06-21 01:12:06,827,827,58.2,42.2,110.3,178.8,827,0,1.0
103,2026-06-21 01:13:06,804,804,57.3,44.6,101.5,151.0,804,0,1.0
104,2026-06-21 01:14:06,1032,1032,52.3,38.2,99.3,166.6,1032,0,1.0
