step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-21 23:19:57,292,293,69.4,49.4,133.2,165.1,292,0,1.0
1,2026-06-21 23:20:57,259,260,69.3,44.6,132.1,167.2,259,0,1.0
2,2026-06-21 23:21:56,200,201,60.1,44.0,90.4,152.1,200,0,1.0
3,2026-06-21 23:22:56,205,206,68.2,44.0,136.9,170.0,205,0,1.0
4,2026-06-21 23:23:56,222,223,66.0,44.0,126.7,151.8,222,0,1.0
5,2026-06-21 23:24:56,286,286,69.2,45.9,132.1,165.7,286,0,1.0
6,2026-06-21 23:25:56,575,575,65.2,45.4,118.6,197.5,575,0,1.0
7,2026-06-21 23:26:56,776,777,54.5,43.9,89.1,207.8,776,0,1.0
8,2026-06-21 23:27:56,746,746,52.2,43.7,88.3,137.3,746,0,1.0
9,2026-06-21 23:28:56,639,639,60.7,44.2,109.9,162.5,639,0,1.0
10,2026-06-21 23:29:56,727,728,53.0,43.8,87.5,156.8,727,0,1.0
11,2026-06-21 23:30:56,686,686,57.7,44.2,102.7,154.2,686,0,1.0
12,2026-06-21 23:31:56,561,561,66.3,46.1,120.5,168.3,561,0,1.0
13,2026-06-21 23:32:56,577,578,65.1,45.1,123.6,217.8,577,0,1.0
14,2026-06-21 23:33:56,575,576,64.5,44.1,116.8,211.0,575,0,1.0
15,2026-06-21 23:34:55,590,591,64.5,46.0,122.1,159.2,590,0,1.0
16,2026-06-21 23:35:55,604,605,61.6,44.5,111.3,149.4,604,0,1.0
17,2026-06-21 23:36:55,729,730,57.1,44.0,98.7,170.5,729,0,1.0
18,2026-06-21 23:37:55,760,760,53.8,43.6,92.3,159.0,760,0,1.0
19,2026-06-21 23:38:55,763,764,52.8,43.6,89.6,140.3,763,0,1.0
20,2026-06-21 23:39:55,735,736,52.5,43.6,88.9,136.2,735,0,1.0
21,2026-06-21 23:40:55,718,718,62.2,48.6,115.6,160.9,718,0,1.0
22,2026-06-21 23:41:55,623,624,72.2,63.1,124.2,228.0,623,0,1.0
23,2026-06-21 23:42:55,559,560,76.2,70.9,134.1,221.8,559,0,1.0
24,2026-06-21 23:43:55,569,569,75.4,62.1,132.6,284.5,569,0,1.0
25,2026-06-21 23:44:55,640,641,69.9,57.0,127.8,209.9,640,0,1.0
26,2026-06-21 23:45:55,640,640,63.7,47.6,117.0,160.5,640,0,1.0
27,2026-06-21 23:46:55,688,688,64.2,52.6,115.6,160.3,688,0,1.0
28,2026-06-21 23:47:55,545,546,73.4,66.5,128.7,168.6,545,0,1.0
29,2026-06-21 23:48:55,550,550,78.3,73.0,136.0,232.1,550,0,1.0
30,2026-06-21 23:49:55,643,644,69.7,59.5,125.4,209.7,643,0,1.0
31,2026-06-21 23:50:55,592,592,66.4,50.4,122.6,160.3,592,0,1.0
32,2026-06-21 23:51:55,443,443,83.3,78.8,134.2,164.7,443,0,1.0
33,2026-06-21 23:52:55,442,443,84.2,80.1,132.0,162.3,442,0,1.0
34,2026-06-21 23:53:55,401,401,94.6,88.8,142.5,168.1,401,0,1.0
35,2026-06-21 23:54:55,378,379,94.0,88.7,139.5,170.2,378,0,1.0
36,2026-06-21 23:55:55,296,297,101.7,92.2,142.0,165.3,296,0,1.0
37,2026-06-21 23:56:55,381,382,94.3,88.0,145.2,166.9,381,0,1.0
38,2026-06-21 23:57:55,340,340,100.0,92.7,139.9,171.3,340,0,1.0
39,2026-06-21 23:58:54,358,358,98.9,91.3,144.0,163.1,358,0,1.0
40,2026-06-21 23:59:54,451,452,84.5,78.6,138.9,230.6,451,0,1.0
41,2026-06-22 00:00:54,623,623,73.2,64.2,128.5,222.7,623,0,1.0
42,2026-06-22 00:01:54,518,518,87.0,79.0,145.3,323.8,518,0,1.0
43,2026-06-22 00:02:54,548,549,79.1,71.8,137.5,247.4,548,0,1.0
44,2026-06-22 00:03:54,499,500,83.2,78.9,139.5,226.4,499,0,1.0
45,2026-06-22 00:04:54,517,518,79.5,76.3,138.8,218.2,517,0,1.0
46,2026-06-22 00:05:54,471,471,80.5,76.7,137.1,171.7,471,0,1.0
47,2026-06-22 00:06:54,503,503,81.3,75.0,136.8,223.0,503,0,1.0
48,2026-06-22 00:07:54,605,606,71.6,65.8,124.4,211.6,605,0,1.0
49,2026-06-22 00:08:54,621,622,67.9,54.9,122.8,163.9,621,0,1.0
50,2026-06-22 00:09:54,646,647,73.8,62.9,131.7,215.9,646,0,1.0
51,2026-06-22 00:10:54,639,640,71.6,60.1,128.9,234.0,639,0,1.0
