step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-21 21:03:34,292,293,70.4,48.0,135.0,162.9,292,0,1.0
1,2026-06-21 21:04:33,259,260,69.1,44.5,135.4,169.0,259,0,1.0
2,2026-06-21 21:05:33,200,201,67.7,79.1,90.0,96.9,200,0,1.0
3,2026-06-21 21:06:33,205,206,100.3,89.0,139.8,162.3,205,0,1.0
4,2026-06-21 21:07:33,222,223,101.6,89.7,138.1,163.1,222,0,1.0
5,2026-06-21 21:08:33,286,287,105.0,94.6,145.5,219.9,286,0,1.0
6,2026-06-21 21:09:33,575,575,83.5,71.9,144.2,315.4,575,0,1.0
7,2026-06-21 21:10:33,776,776,68.2,46.0,126.7,384.3,776,0,1.0
8,2026-06-21 21:11:33,746,747,63.2,47.1,119.0,229.9,746,0,1.0
9,2026-06-21 21:12:33,639,639,76.0,60.9,133.7,260.6,639,0,1.0
10,2026-06-21 21:13:32,727,726,65.0,50.6,118.7,212.4,727,0,1.0
11,2026-06-21 21:14:33,686,686,68.1,53.7,120.6,208.9,686,0,1.0
12,2026-06-21 21:15:33,561,562,76.2,69.9,134.0,229.3,561,0,1.0
13,2026-06-21 21:16:33,577,577,73.6,61.9,132.6,237.0,577,0,1.0
14,2026-06-21 21:17:33,575,575,75.2,72.1,131.2,197.2,575,0,1.0
15,2026-06-21 21:18:33,590,591,73.7,69.8,129.4,173.7,590,0,1.0
16,2026-06-21 21:19:33,604,605,75.9,68.8,130.0,245.9,604,0,1.0
17,2026-06-21 21:20:32,729,730,65.9,49.0,125.2,184.9,729,0,1.0
18,2026-06-21 21:21:32,760,761,62.8,48.6,112.6,164.8,760,0,1.0
19,2026-06-21 21:22:32,763,763,64.0,47.0,118.1,215.2,763,0,1.0
20,2026-06-21 21:23:32,735,735,64.1,49.4,121.1,188.8,735,0,1.0
21,2026-06-21 21:24:32,718,718,64.9,51.9,113.7,177.9,718,0,1.0
22,2026-06-21 21:25:32,623,623,73.8,64.5,130.3,216.8,623,0,1.0
23,2026-06-21 21:26:32,559,559,77.6,71.5,134.7,224.9,559,0,1.0
24,2026-06-21 21:27:32,569,570,76.3,74.5,131.5,164.8,569,0,1.0
25,2026-06-21 21:28:32,640,641,71.9,56.6,127.6,231.4,640,0,1.0
26,2026-06-21 21:29:32,640,640,70.1,61.8,123.7,176.6,640,0,1.0
27,2026-06-21 21:30:32,688,688,70.2,56.2,126.0,251.8,688,0,1.0
28,2026-06-21 21:31:32,545,546,82.9,77.4,140.9,324.0,545,0,1.0
29,2026-06-21 21:32:32,550,551,80.5,75.7,135.2,261.0,550,0,1.0
30,2026-06-21 21:33:32,643,643,72.5,62.9,127.5,171.4,643,0,1.0
31,2026-06-21 21:34:32,592,592,79.3,71.0,136.5,253.4,592,0,1.0
32,2026-06-21 21:35:32,443,444,89.5,81.8,144.6,238.2,443,0,1.0
33,2026-06-21 21:36:32,442,443,90.7,84.0,146.8,222.0,442,0,1.0
34,2026-06-21 21:37:32,401,401,94.7,88.6,142.3,182.5,401,0,1.0
35,2026-06-21 21:38:32,378,378,97.6,91.6,149.4,183.5,378,0,1.0
36,2026-06-21 21:39:32,296,296,99.3,89.1,142.0,168.1,296,0,1.0
