step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-21 18:54:32,292,293,94.5,85.7,138.0,217.3,292,0,1.0
1,2026-06-21 18:55:31,259,260,83.9,83.8,138.1,162.4,259,0,1.0
2,2026-06-21 18:56:31,200,201,59.9,44.9,89.7,99.4,200,0,1.0
3,2026-06-21 18:57:31,205,206,77.3,54.5,140.4,162.6,205,0,1.0
4,2026-06-21 18:58:31,222,222,95.7,87.7,135.9,166.7,222,0,1.0
5,2026-06-21 18:59:31,286,287,97.9,88.9,136.8,164.0,286,0,1.0
6,2026-06-21 19:00:31,575,575,69.8,58.7,124.3,155.8,575,0,1.0
7,2026-06-21 19:01:31,776,776,58.4,45.0,110.2,168.9,776,0,1.0
8,2026-06-21 19:02:31,746,746,58.5,46.0,106.3,148.6,746,0,1.0
9,2026-06-21 19:03:31,639,639,63.2,45.3,116.8,207.9,639,0,1.0
10,2026-06-21 19:04:31,727,727,62.3,48.7,113.7,169.0,727,0,1.0
11,2026-06-21 19:05:30,686,687,65.3,52.3,118.0,175.5,686,0,1.0
12,2026-06-21 19:06:30,561,562,75.4,72.0,132.0,157.0,561,0,1.0
13,2026-06-21 19:07:30,577,577,71.7,66.0,125.4,160.0,577,0,1.0
14,2026-06-21 19:08:30,575,576,69.5,52.5,128.6,214.5,575,0,1.0
15,2026-06-21 19:09:30,590,591,72.5,69.4,129.2,166.3,590,0,1.0
16,2026-06-21 19:10:30,604,604,71.6,68.3,124.8,149.0,604,0,1.0
17,2026-06-21 19:11:30,729,728,61.4,48.6,114.6,144.1,729,0,1.0
18,2026-06-21 19:12:30,760,760,58.5,46.2,109.2,155.5,760,0,1.0
19,2026-06-21 19:13:30,763,763,59.7,46.7,109.3,159.3,763,0,1.0
20,2026-06-21 19:14:30,735,735,61.5,47.4,114.6,150.4,735,0,1.0
21,2026-06-21 19:15:30,718,719,61.3,48.3,108.0,151.9,718,0,1.0
22,2026-06-21 19:16:30,623,624,69.1,61.5,120.9,152.7,623,0,1.0
23,2026-06-21 19:17:30,559,559,74.2,64.7,130.9,213.6,559,0,1.0
24,2026-06-21 19:18:30,569,570,73.7,69.6,129.4,209.7,569,0,1.0
25,2026-06-21 19:19:30,640,640,67.7,57.1,119.8,160.6,640,0,1.0
26,2026-06-21 19:20:30,640,641,68.8,57.2,123.0,158.0,640,0,1.0
27,2026-06-21 19:21:30,688,687,64.8,52.8,119.8,155.4,688,0,1.0
28,2026-06-21 19:22:30,545,546,76.6,73.2,133.6,202.6,545,0,1.0
29,2026-06-21 19:23:30,550,550,75.9,71.2,135.9,179.4,550,0,1.0
30,2026-06-21 19:24:30,643,644,68.9,58.4,123.4,155.7,643,0,1.0
31,2026-06-21 19:25:30,592,592,71.3,66.9,122.6,188.4,592,0,1.0
32,2026-06-21 19:26:30,443,443,83.5,78.2,141.2,207.1,443,0,1.0
33,2026-06-21 19:27:30,442,442,87.3,84.5,140.0,166.4,442,0,1.0
34,2026-06-21 19:28:30,401,401,93.4,88.4,140.2,168.3,401,0,1.0
35,2026-06-21 19:29:30,378,378,93.7,87.3,140.0,167.1,378,0,1.0
36,2026-06-21 19:30:30,296,297,101.5,90.2,143.7,164.9,296,0,1.0
37,2026-06-21 19:31:30,381,382,94.6,89.0,141.2,161.6,381,0,1.0
38,2026-06-21 19:32:30,340,340,94.5,87.1,138.6,161.1,340,0,1.0
39,2026-06-21 19:33:30,358,359,95.9,88.7,138.1,161.2,358,0,1.0
40,2026-06-21 19:34:30,451,452,84.1,81.1,135.5,187.1,451,0,1.0
41,2026-06-21 19:35:30,623,624,68.0,58.5,121.7,153.0,623,0,1.0
42,2026-06-21 19:36:29,518,519,80.2,78.1,138.9,172.2,518,0,1.0
43,2026-06-21 19:37:29,548,548,75.0,71.3,131.6,158.1,548,0,1.0
44,2026-06-21 19:38:29,499,499,79.4,77.6,134.0,214.6,499,0,1.0
45,2026-06-21 19:39:29,517,518,77.4,74.8,133.7,167.0,517,0,1.0
46,2026-06-21 19:40:29,471,472,80.3,78.3,134.0,164.4,471,0,1.0
47,2026-06-21 19:41:29,503,503,70.4,53.8,128.6,162.8,503,0,1.0
48,2026-06-21 19:42:29,605,605,69.2,62.3,121.1,150.9,605,0,1.0
49,2026-06-21 19:43:29,621,622,70.0,60.4,126.1,149.5,621,0,1.0
50,2026-06-21 19:44:29,646,646,68.3,61.2,117.8,158.3,646,0,1.0
51,2026-06-21 19:45:29,639,640,66.2,57.5,115.3,153.4,639,0,1.0
52,2026-06-21 19:46:29,493,494,79.1,74.5,136.3,207.2,493,0,1.0
53,2026-06-21 19:47:29,446,447,84.4,81.3,136.3,169.9,446,0,1.0
54,2026-06-21 19:48:29,435,435,86.7,82.1,136.4,167.2,435,0,1.0
55,2026-06-21 19:49:29,425,425,88.0,83.7,138.7,174.9,425,0,1.0
56,2026-06-21 19:50:29,401,401,91.1,86.1,137.5,161.9,401,0,1.0
57,2026-06-21 19:51:29,491,491,78.3,76.9,130.3,182.4,491,0,1.0
58,2026-06-21 19:52:29,382,382,94.0,87.2,139.2,163.7,382,0,1.0
59,2026-06-21 19:53:29,414,414,89.9,85.0,141.9,166.8,414,0,1.0
60,2026-06-21 19:54:29,515,516,77.4,75.2,134.6,172.2,515,0,1.0
61,2026-06-21 19:55:29,575,575,73.1,68.6,127.2,162.3,575,0,1.0
62,2026-06-21 19:56:29,603,603,71.8,66.3,127.2,161.2,603,0,1.0
63,2026-06-21 19:57:29,720,721,61.0,48.3,113.7,169.7,720,0,1.0
64,2026-06-21 19:58:29,702,702,62.0,49.1,112.1,139.3,702,0,1.0
65,2026-06-21 19:59:28,689,690,62.2,48.9,111.9,154.0,689,0,1.0
66,2026-06-21 20:00:28,641,642,67.0,56.0,117.4,150.8,641,0,1.0
67,2026-06-21 20:01:28,618,618,68.5,58.2,121.7,156.1,618,0,1.0
68,2026-06-21 20:02:28,701,701,62.8,51.2,111.9,144.5,701,0,1.0
69,2026-06-21 20:03:28,625,626,68.5,57.0,124.3,154.1,625,0,1.0
70,2026-06-21 20:04:28,692,691,64.5,52.1,117.3,166.4,692,0,1.0
71,2026-06-21 20:05:28,612,612,70.1,61.9,121.0,158.1,612,0,1.0
72,2026-06-21 20:06:28,579,580,73.0,61.1,130.9,170.2,579,0,1.0
73,2026-06-21 20:07:28,635,635,64.4,47.7,120.9,151.1,635,0,1.0
74,2026-06-21 20:08:28,614,614,71.6,66.4,126.2,168.0,614,0,1.0
75,2026-06-21 20:09:28,723,724,61.8,48.1,113.0,178.4,723,0,1.0
76,2026-06-21 20:10:28,1000,1000,51.8,39.1,91.2,155.4,1000,0,1.0
77,2026-06-21 20:11:28,1169,1169,46.0,36.5,80.0,140.6,1169,0,1.0
78,2026-06-21 20:12:28,1379,1379,44.1,35.7,66.6,150.3,1379,0,1.0
79,2026-06-21 20:13:28,1764,1764,38.1,35.6,39.3,81.3,1764,0,1.0
80,2026-06-21 20:14:28,1578,1576,40.8,35.5,47.2,124.0,1578,0,1.0
81,2026-06-21 20:15:28,1426,1426,43.7,35.8,67.8,138.7,1426,0,1.0
82,2026-06-21 20:16:28,1247,1247,49.3,36.4,85.8,176.0,1247,0,1.0
83,2026-06-21 20:17:28,1240,1240,48.6,36.4,85.9,155.2,1240,0,1.0
84,2026-06-21 20:18:28,1292,1292,47.3,36.2,82.0,154.1,1292,0,1.0
85,2026-06-21 20:19:28,1546,1546,40.6,35.6,49.5,119.7,1546,0,1.0
86,2026-06-21 20:20:28,1445,1444,43.5,35.7,67.1,132.1,1445,0,1.0
87,2026-06-21 20:21:28,1413,1413,43.8,36.0,68.4,132.5,1413,0,1.0
88,2026-06-21 20:22:28,1495,1495,42.5,35.7,59.3,151.9,1495,0,1.0
89,2026-06-21 20:23:28,1438,1438,44.1,35.9,69.9,137.1,1438,0,1.0
