step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-21 16:51:37,292,293,74.9,53.3,140.3,174.6,292,0,1.0
1,2026-06-21 16:52:37,259,260,69.4,48.2,135.2,158.2,259,0,1.0
2,2026-06-21 16:53:36,200,200,62.2,52.6,89.8,169.8,200,0,1.0
3,2026-06-21 16:54:36,205,206,60.1,43.9,102.7,156.3,205,0,1.0
4,2026-06-21 16:55:36,222,223,86.1,85.4,138.0,165.1,222,0,1.0
5,2026-06-21 16:56:36,286,287,100.6,90.7,146.3,166.5,286,0,1.0
6,2026-06-21 16:57:36,575,576,76.3,67.3,131.9,241.8,575,0,1.0
7,2026-06-21 16:58:36,776,776,60.4,45.8,111.4,194.6,776,0,1.0
8,2026-06-21 16:59:36,746,746,62.2,45.6,118.4,228.3,746,0,1.0
9,2026-06-21 17:00:36,639,640,66.4,49.8,125.1,224.5,639,0,1.0
10,2026-06-21 17:01:36,727,727,59.4,48.2,108.2,147.8,727,0,1.0
11,2026-06-21 17:02:36,686,687,67.2,51.6,122.7,215.2,686,0,1.0
12,2026-06-21 17:03:36,561,562,76.4,70.9,131.6,231.1,561,0,1.0
13,2026-06-21 17:04:36,577,577,71.8,68.8,124.4,153.0,577,0,1.0
14,2026-06-21 17:05:36,575,575,70.1,59.2,127.0,159.3,575,0,1.0
15,2026-06-21 17:06:36,590,591,66.1,54.0,116.6,145.0,590,0,1.0
16,2026-06-21 17:07:35,604,604,69.3,63.8,122.3,155.9,604,0,1.0
17,2026-06-21 17:08:35,729,728,63.9,48.9,116.8,178.1,729,0,1.0
18,2026-06-21 17:09:36,760,761,59.3,46.1,109.4,151.9,760,0,1.0
19,2026-06-21 17:10:35,763,763,58.5,45.9,107.0,153.6,763,0,1.0
20,2026-06-21 17:11:35,735,736,63.5,48.9,117.3,165.0,735,0,1.0
21,2026-06-21 17:12:35,718,718,60.8,48.1,113.6,148.2,718,0,1.0
22,2026-06-21 17:13:35,623,623,70.6,60.2,125.9,204.3,623,0,1.0
23,2026-06-21 17:14:35,559,559,74.1,71.1,131.2,163.7,559,0,1.0
24,2026-06-21 17:15:35,569,570,73.3,66.1,131.9,162.9,569,0,1.0
25,2026-06-21 17:16:35,640,640,66.6,56.7,118.6,155.6,640,0,1.0
26,2026-06-21 17:17:35,640,640,68.7,59.4,125.0,150.2,640,0,1.0
27,2026-06-21 17:18:35,688,688,63.4,51.3,112.4,165.2,688,0,1.0
28,2026-06-21 17:19:35,545,545,74.4,73.3,129.1,169.1,545,0,1.0
29,2026-06-21 17:20:35,550,550,73.7,68.0,130.1,159.9,550,0,1.0
30,2026-06-21 17:21:35,643,643,69.2,56.5,120.2,235.1,643,0,1.0
31,2026-06-21 17:22:35,592,591,69.6,62.8,122.4,152.7,592,0,1.0
32,2026-06-21 17:23:35,443,443,84.3,79.2,139.7,172.1,443,0,1.0
33,2026-06-21 17:24:35,442,442,83.5,82.5,136.5,164.0,442,0,1.0
34,2026-06-21 17:25:35,401,402,91.3,87.3,137.3,164.9,401,0,1.0
35,2026-06-21 17:26:35,378,379,95.4,89.6,140.9,171.3,378,0,1.0
36,2026-06-21 17:27:35,296,297,100.6,90.4,139.1,163.7,296,0,1.0
37,2026-06-21 17:28:35,381,381,94.1,87.3,138.3,166.5,381,0,1.0
38,2026-06-21 17:29:35,340,340,96.8,88.6,140.1,162.3,340,0,1.0
39,2026-06-21 17:30:35,358,358,96.0,87.9,139.9,163.6,358,0,1.0
40,2026-06-21 17:31:35,451,451,80.4,76.3,130.1,158.5,451,0,1.0
41,2026-06-21 17:32:35,623,623,70.5,61.5,124.2,162.1,623,0,1.0
42,2026-06-21 17:33:35,518,518,78.3,75.8,135.8,194.2,518,0,1.0
43,2026-06-21 17:34:35,548,548,75.9,70.7,135.1,166.6,548,0,1.0
44,2026-06-21 17:35:35,499,500,79.7,73.0,137.6,169.3,499,0,1.0
45,2026-06-21 17:36:35,517,518,77.1,76.4,132.1,163.8,517,0,1.0
46,2026-06-21 17:37:35,471,471,83.0,78.7,136.4,203.9,471,0,1.0
47,2026-06-21 17:38:35,503,503,77.9,70.8,136.7,178.6,503,0,1.0
48,2026-06-21 17:39:34,605,605,71.4,65.1,129.3,157.2,605,0,1.0
49,2026-06-21 17:40:34,621,621,70.6,64.3,125.1,153.9,621,0,1.0
50,2026-06-21 17:41:34,646,646,69.4,60.7,123.9,160.5,646,0,1.0
51,2026-06-21 17:42:34,639,638,70.2,61.8,126.4,163.0,639,0,1.0
52,2026-06-21 17:43:34,493,494,80.9,79.6,134.6,176.7,493,0,1.0
53,2026-06-21 17:44:34,446,446,85.9,81.4,141.8,170.5,446,0,1.0
54,2026-06-21 17:45:34,435,435,88.0,81.7,142.6,167.1,435,0,1.0
55,2026-06-21 17:46:34,425,425,88.8,84.4,138.6,164.7,425,0,1.0
56,2026-06-21 17:47:34,401,401,92.2,86.5,141.4,167.9,401,0,1.0
57,2026-06-21 17:48:34,491,491,81.7,77.8,139.2,205.4,491,0,1.0
58,2026-06-21 17:49:34,382,382,93.6,87.7,140.6,166.4,382,0,1.0
59,2026-06-21 17:50:34,414,414,86.8,83.7,138.0,168.2,414,0,1.0
60,2026-06-21 17:51:34,515,516,79.0,74.8,137.7,195.9,515,0,1.0
61,2026-06-21 17:52:34,575,575,72.8,68.4,125.0,163.0,575,0,1.0
62,2026-06-21 17:53:34,603,603,68.6,59.0,121.9,153.9,603,0,1.0
63,2026-06-21 17:54:34,720,720,62.0,50.0,113.9,154.3,720,0,1.0
64,2026-06-21 17:55:34,702,702,62.1,48.9,114.3,147.9,702,0,1.0
