step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-21 12:17:55,292,293,96.7,88.9,140.8,165.7,292,0,1.0
1,2026-06-21 12:18:55,259,260,99.4,90.0,140.6,165.4,259,0,1.0
2,2026-06-21 12:19:55,200,201,83.0,85.4,89.8,100.5,200,0,1.0
3,2026-06-21 12:20:54,205,206,105.4,93.3,149.3,165.4,205,0,1.0
4,2026-06-21 12:21:54,222,223,105.7,93.1,150.1,165.2,222,0,1.0
5,2026-06-21 12:22:54,286,287,91.3,89.2,143.4,166.2,286,0,1.0
6,2026-06-21 12:23:54,575,576,89.1,75.9,143.5,424.2,575,0,1.0
7,2026-06-21 12:24:54,776,772,81.2,48.4,152.5,499.7,776,0,1.0
8,2026-06-21 12:25:54,746,746,85.8,53.4,165.6,415.3,746,0,1.0
9,2026-06-21 12:26:54,639,640,85.4,67.9,155.5,319.9,639,0,1.0
10,2026-06-21 12:27:54,727,727,75.9,49.1,134.5,428.1,727,0,1.0
11,2026-06-21 12:28:54,686,687,80.8,58.2,141.7,358.7,686,0,1.0
12,2026-06-21 12:29:54,561,562,80.3,73.0,134.1,255.7,561,0,1.0
13,2026-06-21 12:30:54,577,577,81.0,73.1,134.4,303.8,577,0,1.0
14,2026-06-21 12:31:54,575,575,90.1,74.1,149.1,341.7,575,0,1.0
15,2026-06-21 12:32:54,590,591,103.6,78.1,177.3,541.9,590,0,1.0
