step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-22 14:28:05,292,293,97.2,88.1,141.4,163.2,292,0,1.0
1,2026-06-22 14:29:05,259,259,103.8,94.2,142.5,185.1,259,0,1.0
2,2026-06-22 14:30:05,200,201,89.2,91.9,103.1,122.3,200,0,1.0
3,2026-06-22 14:31:05,205,206,100.6,90.3,141.7,162.5,205,0,1.0
4,2026-06-22 14:32:05,222,223,97.8,88.4,136.3,163.5,222,0,1.0
5,2026-06-22 14:33:05,286,287,97.4,88.5,133.6,157.5,286,0,1.0
6,2026-06-22 14:34:04,575,576,79.6,74.9,137.4,236.5,575,0,1.0
7,2026-06-22 14:35:04,776,775,67.0,48.1,126.2,224.0,776,0,1.0
8,2026-06-22 14:36:04,746,747,60.6,47.3,112.6,174.9,746,0,1.0
9,2026-06-22 14:37:04,639,639,70.8,60.1,126.4,196.2,639,0,1.0
10,2026-06-22 14:38:04,727,728,61.8,49.2,111.5,153.5,727,0,1.0
11,2026-06-22 14:39:04,686,687,66.7,53.1,121.9,166.9,686,0,1.0
12,2026-06-22 14:40:04,561,561,76.9,67.9,135.4,261.6,561,0,1.0
13,2026-06-22 14:41:04,577,577,75.8,69.4,126.9,245.7,577,0,1.0
14,2026-06-22 14:42:04,575,576,72.6,67.2,124.5,195.8,575,0,1.0
15,2026-06-22 14:43:04,590,591,75.6,70.5,134.5,246.2,590,0,1.0
16,2026-06-22 14:44:04,604,605,70.4,61.4,124.4,163.5,604,0,1.0
17,2026-06-22 14:45:04,729,729,65.6,49.1,120.8,234.8,729,0,1.0
18,2026-06-22 14:46:04,760,760,64.6,46.4,121.5,232.2,760,0,1.0
19,2026-06-22 14:47:04,763,763,62.4,46.2,113.2,173.6,763,0,1.0
20,2026-06-22 14:48:04,735,735,62.1,49.0,111.4,168.8,735,0,1.0
21,2026-06-22 14:49:04,718,718,67.9,52.6,123.9,211.7,718,0,1.0
22,2026-06-22 14:50:04,623,623,72.9,59.5,129.6,247.5,623,0,1.0
23,2026-06-22 14:51:04,559,560,74.4,69.2,128.3,171.0,559,0,1.0
24,2026-06-22 14:52:04,569,570,73.0,66.6,129.5,160.1,569,0,1.0
25,2026-06-22 14:53:04,640,640,72.0,62.6,126.2,239.0,640,0,1.0
26,2026-06-22 14:54:04,640,640,70.4,58.8,124.5,228.8,640,0,1.0
27,2026-06-22 14:55:04,688,689,63.6,50.6,115.8,168.3,688,0,1.0
28,2026-06-22 14:56:04,545,545,72.9,66.7,124.7,174.2,545,0,1.0
29,2026-06-22 14:57:04,550,550,78.1,72.2,135.0,242.6,550,0,1.0
30,2026-06-22 14:58:04,643,644,69.5,59.9,121.9,168.8,643,0,1.0
31,2026-06-22 14:59:04,592,592,71.8,65.5,123.0,218.0,592,0,1.0
32,2026-06-22 15:00:04,443,444,83.7,79.6,141.3,171.5,443,0,1.0
33,2026-06-22 15:01:04,442,442,84.8,80.6,136.5,187.4,442,0,1.0
34,2026-06-22 15:02:04,401,401,90.3,84.7,140.4,166.0,401,0,1.0
35,2026-06-22 15:03:04,378,378,93.9,87.4,139.6,179.9,378,0,1.0
36,2026-06-22 15:04:04,296,297,96.1,87.5,138.0,166.2,296,0,1.0
37,2026-06-22 15:05:03,381,381,92.0,86.5,137.2,167.3,381,0,1.0
38,2026-06-22 15:06:03,340,341,96.9,89.1,142.9,172.4,340,0,1.0
39,2026-06-22 15:07:03,358,359,96.6,92.2,144.7,168.4,358,0,1.0
40,2026-06-22 15:08:03,451,451,82.8,77.1,136.5,163.5,451,0,1.0
41,2026-06-22 15:09:03,623,623,70.4,65.1,121.6,155.2,623,0,1.0
42,2026-06-22 15:10:03,518,518,76.7,72.8,130.5,162.6,518,0,1.0
43,2026-06-22 15:11:03,548,548,78.0,73.9,132.3,242.4,548,0,1.0
44,2026-06-22 15:12:03,499,499,78.5,74.4,134.5,171.2,499,0,1.0
45,2026-06-22 15:13:03,517,517,79.4,75.3,136.7,172.4,517,0,1.0
46,2026-06-22 15:14:03,471,472,81.1,78.7,132.3,168.4,471,0,1.0
47,2026-06-22 15:15:03,503,503,81.9,78.1,140.2,176.7,503,0,1.0
48,2026-06-22 15:16:03,605,605,71.2,65.3,126.1,150.6,605,0,1.0
49,2026-06-22 15:17:03,621,621,70.6,61.3,129.0,161.1,621,0,1.0
