step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-22 10:23:08,292,293,100.7,92.6,147.0,172.8,292,0,1.0
1,2026-06-22 10:24:08,259,260,99.9,89.6,137.7,166.6,259,0,1.0
2,2026-06-22 10:25:08,200,201,84.8,84.3,90.9,165.9,200,0,1.0
3,2026-06-22 10:26:07,205,206,101.6,90.8,142.6,161.5,205,0,1.0
4,2026-06-22 10:27:07,222,222,100.9,87.5,141.2,237.3,222,0,1.0
5,2026-06-22 10:28:07,286,286,104.6,96.6,145.7,166.6,286,0,1.0
6,2026-06-22 10:29:07,575,575,75.5,70.0,131.3,224.0,575,0,1.0
7,2026-06-22 10:30:07,776,777,61.0,45.2,116.2,175.7,776,0,1.0
8,2026-06-22 10:31:07,746,746,64.0,48.1,122.7,174.2,746,0,1.0
9,2026-06-22 10:32:07,639,639,72.0,56.3,127.7,258.1,639,0,1.0
10,2026-06-22 10:33:07,727,727,63.0,48.6,118.0,221.1,727,0,1.0
11,2026-06-22 10:34:07,686,685,66.5,52.4,121.0,164.3,686,0,1.0
12,2026-06-22 10:35:07,561,561,75.9,71.4,133.7,168.2,561,0,1.0
13,2026-06-22 10:36:07,577,578,74.8,66.6,131.9,244.9,577,0,1.0
14,2026-06-22 10:37:07,575,576,73.6,61.4,130.8,221.6,575,0,1.0
15,2026-06-22 10:38:07,590,590,74.2,70.9,129.4,161.9,590,0,1.0
16,2026-06-22 10:39:07,604,605,72.2,65.6,127.4,164.6,604,0,1.0
17,2026-06-22 10:40:07,729,730,63.2,48.9,118.2,150.7,729,0,1.0
18,2026-06-22 10:41:07,760,761,60.8,46.0,111.4,178.6,760,0,1.0
19,2026-06-22 10:42:07,763,763,60.2,45.3,107.9,154.9,763,0,1.0
20,2026-06-22 10:43:07,735,735,61.5,49.1,109.7,152.9,735,0,1.0
21,2026-06-22 10:44:07,718,718,64.1,50.4,117.2,173.2,718,0,1.0
22,2026-06-22 10:45:07,623,624,71.8,66.0,124.5,220.4,623,0,1.0
23,2026-06-22 10:46:07,559,559,76.7,69.7,132.2,233.3,559,0,1.0
24,2026-06-22 10:47:07,569,569,76.0,70.7,130.5,249.5,569,0,1.0
25,2026-06-22 10:48:07,640,640,70.8,60.6,128.9,178.8,640,0,1.0
26,2026-06-22 10:49:07,640,641,69.5,62.5,121.4,151.6,640,0,1.0
27,2026-06-22 10:50:07,688,688,62.1,51.9,110.9,145.0,688,0,1.0
28,2026-06-22 10:51:07,545,546,76.2,70.6,134.9,208.9,545,0,1.0
29,2026-06-22 10:52:06,550,550,74.8,64.8,130.0,201.7,550,0,1.0
30,2026-06-22 10:53:07,643,643,65.2,56.7,114.3,154.5,643,0,1.0
31,2026-06-22 10:54:06,592,593,70.0,62.3,119.1,167.9,592,0,1.0
32,2026-06-22 10:55:06,443,444,85.3,80.9,139.1,168.1,443,0,1.0
33,2026-06-22 10:56:06,442,442,87.5,83.1,143.3,198.5,442,0,1.0
34,2026-06-22 10:57:06,401,401,92.8,88.9,140.6,200.5,401,0,1.0
35,2026-06-22 10:58:06,378,378,94.1,89.5,138.4,164.4,378,0,1.0
36,2026-06-22 10:59:06,296,296,97.4,87.3,138.4,161.9,296,0,1.0
37,2026-06-22 11:00:06,381,381,95.5,88.9,142.2,175.8,381,0,1.0
38,2026-06-22 11:01:06,340,341,100.1,91.2,141.1,164.5,340,0,1.0
39,2026-06-22 11:02:06,358,359,95.5,88.9,135.4,159.4,358,0,1.0
40,2026-06-22 11:03:06,451,451,82.4,78.9,136.5,210.8,451,0,1.0
41,2026-06-22 11:04:06,623,623,74.1,59.7,129.5,280.0,623,0,1.0
42,2026-06-22 11:05:06,518,519,76.3,72.8,131.4,167.6,518,0,1.0
43,2026-06-22 11:06:06,548,547,75.4,72.3,132.9,210.6,548,0,1.0
44,2026-06-22 11:07:06,499,499,80.6,75.8,139.2,172.9,499,0,1.0
45,2026-06-22 11:08:06,517,518,79.4,76.0,135.6,209.2,517,0,1.0
46,2026-06-22 11:09:06,471,471,81.6,79.6,135.2,202.0,471,0,1.0
