step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-22 12:25:30,292,293,95.9,87.9,138.4,161.5,292,0,1.0
1,2026-06-22 12:26:30,259,260,100.7,89.6,143.1,167.0,259,0,1.0
2,2026-06-22 12:27:30,200,201,94.8,96.3,101.9,128.5,200,0,1.0
3,2026-06-22 12:28:30,205,206,94.5,85.8,132.5,157.1,205,0,1.0
4,2026-06-22 12:29:29,222,223,101.2,91.4,136.0,162.7,222,0,1.0
5,2026-06-22 12:30:29,286,287,99.4,87.8,140.9,166.0,286,0,1.0
6,2026-06-22 12:31:29,575,576,75.4,69.4,130.5,233.5,575,0,1.0
7,2026-06-22 12:32:29,776,777,68.6,47.5,126.8,349.8,776,0,1.0
8,2026-06-22 12:33:29,746,746,61.5,48.4,114.7,180.5,746,0,1.0
9,2026-06-22 12:34:29,639,639,72.3,58.3,127.9,241.9,639,0,1.0
10,2026-06-22 12:35:29,727,727,63.1,49.6,117.7,177.3,727,0,1.0
11,2026-06-22 12:36:29,686,686,64.9,52.3,119.7,152.6,686,0,1.0
12,2026-06-22 12:37:29,561,562,74.0,70.9,130.2,204.2,561,0,1.0
13,2026-06-22 12:38:29,577,578,76.8,66.7,132.9,264.2,577,0,1.0
14,2026-06-22 12:39:29,575,575,79.9,75.4,135.9,222.7,575,0,1.0
15,2026-06-22 12:40:29,590,590,74.6,67.3,132.3,231.5,590,0,1.0
16,2026-06-22 12:41:29,604,604,73.1,67.9,126.2,215.9,604,0,1.0
17,2026-06-22 12:42:29,729,729,62.8,48.6,115.1,221.2,729,0,1.0
18,2026-06-22 12:43:29,760,760,61.9,47.7,112.0,165.6,760,0,1.0
19,2026-06-22 12:44:29,763,763,59.2,45.2,107.8,169.8,763,0,1.0
20,2026-06-22 12:45:29,735,735,63.2,49.9,114.9,166.7,735,0,1.0
21,2026-06-22 12:46:29,718,718,63.8,50.0,119.0,159.1,718,0,1.0
22,2026-06-22 12:47:29,623,623,71.1,59.2,126.8,231.6,623,0,1.0
