step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-22 08:20:46,292,292,102.1,89.6,142.6,325.6,292,0,1.0
1,2026-06-22 08:21:46,259,259,102.2,90.3,142.0,167.7,259,0,1.0
2,2026-06-22 08:22:46,200,201,100.1,103.5,123.5,143.7,200,0,1.0
3,2026-06-22 08:23:46,205,206,103.2,93.4,146.9,167.9,205,0,1.0
4,2026-06-22 08:24:45,222,223,98.7,89.4,140.5,163.8,222,0,1.0
5,2026-06-22 08:25:45,286,286,103.2,93.8,142.8,168.7,286,0,1.0
6,2026-06-22 08:26:45,575,576,91.3,77.1,156.9,434.6,575,0,1.0
7,2026-06-22 08:27:45,776,776,93.0,52.2,195.1,487.4,776,0,1.0
8,2026-06-22 08:28:45,746,746,86.6,51.5,142.8,737.0,746,0,1.0
9,2026-06-22 08:29:45,639,640,73.4,60.1,130.9,243.7,639,0,1.0
10,2026-06-22 08:30:45,727,720,66.7,50.6,123.0,220.0,727,0,1.0
11,2026-06-22 08:31:46,686,686,67.5,51.2,126.0,195.1,686,0,1.0
12,2026-06-22 08:32:46,561,561,78.3,75.1,133.9,238.5,561,0,1.0
13,2026-06-22 08:33:46,577,577,80.7,74.0,138.2,250.8,577,0,1.0
14,2026-06-22 08:34:46,575,576,76.0,67.9,131.9,261.4,575,0,1.0
15,2026-06-22 08:35:45,590,590,76.7,67.1,133.6,272.3,590,0,1.0
16,2026-06-22 08:36:45,604,604,77.7,64.9,132.8,335.4,604,0,1.0
17,2026-06-22 08:37:45,729,729,66.2,49.5,125.8,234.1,729,0,1.0
18,2026-06-22 08:38:45,760,760,65.0,48.0,124.1,228.9,760,0,1.0
19,2026-06-22 08:39:45,763,762,69.1,49.1,128.8,248.2,763,0,1.0
20,2026-06-22 08:40:46,735,735,66.2,51.1,122.5,226.4,735,0,1.0
21,2026-06-22 08:41:46,718,718,67.8,52.6,124.2,222.2,718,0,1.0
22,2026-06-22 08:42:46,623,624,71.1,65.1,124.6,228.2,623,0,1.0
23,2026-06-22 08:43:45,559,559,83.5,76.2,143.1,296.1,559,0,1.0
24,2026-06-22 08:44:45,569,569,79.3,71.9,135.9,241.8,569,0,1.0
25,2026-06-22 08:45:45,640,640,77.8,67.9,135.1,268.3,640,0,1.0
26,2026-06-22 08:46:45,640,640,76.0,61.8,132.2,252.7,640,0,1.0
27,2026-06-22 08:47:45,688,688,66.3,52.8,122.2,164.1,688,0,1.0
28,2026-06-22 08:48:45,545,546,80.7,76.9,137.8,229.4,545,0,1.0
29,2026-06-22 08:49:45,550,551,72.4,53.6,132.7,211.7,550,0,1.0
30,2026-06-22 08:50:45,643,643,73.4,61.8,131.7,245.1,643,0,1.0
31,2026-06-22 08:51:45,592,592,81.5,72.2,133.8,322.0,592,0,1.0
32,2026-06-22 08:52:45,443,444,87.2,84.0,134.6,220.0,443,0,1.0
33,2026-06-22 08:53:45,442,442,91.7,82.8,151.4,223.7,442,0,1.0
34,2026-06-22 08:54:45,401,401,91.8,88.7,140.3,166.1,401,0,1.0
35,2026-06-22 08:55:45,378,378,97.1,89.2,144.6,201.3,378,0,1.0
36,2026-06-22 08:56:45,296,296,98.8,88.7,138.5,164.5,296,0,1.0
37,2026-06-22 08:57:45,381,381,93.7,87.4,136.3,167.1,381,0,1.0
38,2026-06-22 08:58:45,340,341,98.8,90.9,135.5,164.9,340,0,1.0
39,2026-06-22 08:59:45,358,359,95.4,89.2,142.9,161.8,358,0,1.0
40,2026-06-22 09:00:45,451,451,86.0,82.3,139.2,176.0,451,0,1.0
