step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-24 03:54:40,292,293,100.1,90.6,146.0,163.7,292,0,1.0
1,2026-06-24 03:55:40,259,260,95.6,86.2,135.3,172.7,259,0,1.0
2,2026-06-24 03:56:40,200,201,81.3,83.0,90.7,167.3,200,0,1.0
3,2026-06-24 03:57:39,205,206,96.9,89.4,140.9,166.4,205,0,1.0
4,2026-06-24 03:58:39,222,223,94.5,85.1,136.4,158.1,222,0,1.0
5,2026-06-24 03:59:39,286,287,103.1,89.3,137.8,471.0,286,0,1.0
6,2026-06-24 04:00:39,575,575,86.6,74.7,144.3,435.9,575,0,1.0
7,2026-06-24 04:01:39,776,776,83.8,49.5,144.0,543.6,776,0,1.0
8,2026-06-24 04:02:39,746,746,63.8,48.6,118.1,208.4,746,0,1.0
9,2026-06-24 04:03:39,639,639,72.9,63.0,126.7,237.1,639,0,1.0
10,2026-06-24 04:04:39,727,727,62.4,49.6,114.2,159.6,727,0,1.0
11,2026-06-24 04:05:39,686,686,67.1,53.1,120.0,213.0,686,0,1.0
12,2026-06-24 04:06:39,561,561,75.3,69.6,128.1,218.5,561,0,1.0
13,2026-06-24 04:07:39,577,578,71.5,69.7,124.1,156.3,577,0,1.0
14,2026-06-24 04:08:39,575,575,75.9,68.5,133.2,228.4,575,0,1.0
15,2026-06-24 04:09:39,590,590,74.6,65.8,131.6,220.7,590,0,1.0
16,2026-06-24 04:10:39,604,604,71.3,59.9,125.9,213.7,604,0,1.0
17,2026-06-24 04:11:39,729,730,63.2,49.0,112.7,180.0,729,0,1.0
18,2026-06-24 04:12:38,760,760,62.1,47.7,114.6,180.5,760,0,1.0
19,2026-06-24 04:13:38,763,762,62.4,47.6,113.1,164.4,763,0,1.0
20,2026-06-24 04:14:39,735,736,68.3,49.5,123.6,343.3,735,0,1.0
21,2026-06-24 04:15:38,718,719,63.5,50.0,114.2,212.3,718,0,1.0
22,2026-06-24 04:16:38,623,623,75.7,66.0,132.0,238.9,623,0,1.0
23,2026-06-24 04:17:38,559,559,79.5,72.5,133.9,340.6,559,0,1.0
24,2026-06-24 04:18:38,569,569,75.9,71.8,132.1,217.5,569,0,1.0
25,2026-06-24 04:19:38,640,640,70.4,60.3,127.3,226.9,640,0,1.0
26,2026-06-24 04:20:38,640,641,68.5,57.3,120.1,161.2,640,0,1.0
27,2026-06-24 04:21:38,688,689,67.5,53.4,123.4,212.0,688,0,1.0
28,2026-06-24 04:22:38,545,545,76.5,75.1,131.7,158.8,545,0,1.0
29,2026-06-24 04:23:38,550,550,77.1,72.8,134.4,219.2,550,0,1.0
30,2026-06-24 04:24:38,643,644,68.6,55.6,122.0,214.0,643,0,1.0
