step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-23 23:04:30,292,293,97.5,89.3,142.5,166.6,292,0,1.0
1,2026-06-23 23:05:30,259,260,101.3,90.6,146.5,214.2,259,0,1.0
2,2026-06-23 23:06:30,200,201,85.0,87.5,95.3,106.8,200,0,1.0
3,2026-06-23 23:07:29,205,206,100.4,90.6,144.7,165.8,205,0,1.0
4,2026-06-23 23:08:29,222,223,823.1,111.9,3242.7,5018.9,219,3,0.9865
5,2026-06-23 23:09:29,286,287,94.7,88.2,142.2,162.6,286,0,1.0
6,2026-06-23 23:10:29,575,575,72.9,65.2,129.9,176.3,575,0,1.0
7,2026-06-23 23:11:29,776,776,59.5,45.8,111.4,151.7,776,0,1.0
8,2026-06-23 23:12:29,746,746,63.9,48.9,119.3,159.7,746,0,1.0
9,2026-06-23 23:13:29,639,640,68.5,52.1,127.1,164.4,639,0,1.0
10,2026-06-23 23:14:29,727,688,1163.3,55.4,5012.7,5020.6,610,117,0.8391
11,2026-06-23 23:15:32,686,687,2414.6,2290.3,5015.5,5020.7,374,312,0.5452
12,2026-06-23 23:16:32,561,561,74.9,68.6,129.4,167.9,561,0,1.0
13,2026-06-23 23:17:32,577,578,69.8,59.4,122.4,154.3,577,0,1.0
14,2026-06-23 23:18:32,575,575,73.2,62.4,130.6,211.4,575,0,1.0
15,2026-06-23 23:19:32,590,591,71.9,62.2,128.4,156.0,590,0,1.0
16,2026-06-23 23:20:32,604,604,71.0,57.4,124.8,160.7,604,0,1.0
17,2026-06-23 23:21:32,729,729,63.9,49.1,121.2,173.6,729,0,1.0
18,2026-06-23 23:22:32,760,760,59.0,45.4,109.4,146.6,760,0,1.0
19,2026-06-23 23:23:32,763,763,59.5,46.7,107.5,169.9,763,0,1.0
20,2026-06-23 23:24:32,735,735,62.9,47.9,118.0,170.5,735,0,1.0
21,2026-06-23 23:25:32,718,719,64.3,50.0,122.4,186.0,718,0,1.0
22,2026-06-23 23:26:32,623,623,70.8,61.8,128.0,211.4,623,0,1.0
23,2026-06-23 23:27:32,559,559,75.2,69.0,131.2,202.5,559,0,1.0
24,2026-06-23 23:28:32,569,570,74.9,62.8,135.0,216.6,569,0,1.0
25,2026-06-23 23:29:32,640,641,68.6,56.8,126.4,156.9,640,0,1.0
26,2026-06-23 23:30:32,640,641,86.8,63.6,147.4,367.9,640,0,1.0
27,2026-06-23 23:31:32,688,688,69.4,51.9,123.2,273.6,688,0,1.0
28,2026-06-23 23:32:32,545,546,88.6,72.6,147.0,372.0,545,0,1.0
29,2026-06-23 23:33:32,550,550,95.9,73.4,159.3,549.5,550,0,1.0
30,2026-06-23 23:34:32,643,644,84.2,66.8,140.3,331.8,643,0,1.0
31,2026-06-23 23:35:32,592,592,83.3,66.4,140.5,343.0,592,0,1.0
32,2026-06-23 23:36:32,443,443,87.3,82.6,140.3,212.7,443,0,1.0
33,2026-06-23 23:37:32,442,443,91.5,81.9,144.4,284.5,442,0,1.0
34,2026-06-23 23:38:32,401,402,92.0,87.1,139.7,203.8,401,0,1.0
35,2026-06-23 23:39:32,378,378,96.4,90.9,143.6,164.3,378,0,1.0
36,2026-06-23 23:40:31,296,297,100.0,91.3,140.6,168.1,296,0,1.0
37,2026-06-23 23:41:31,381,382,97.6,90.4,145.6,184.3,381,0,1.0
38,2026-06-23 23:42:31,340,341,100.0,90.2,145.4,164.3,340,0,1.0
39,2026-06-23 23:43:31,358,358,96.4,88.6,146.4,168.4,358,0,1.0
40,2026-06-23 23:44:31,451,451,85.1,80.5,136.8,226.7,451,0,1.0
41,2026-06-23 23:45:31,623,623,84.7,67.4,146.8,358.2,623,0,1.0
42,2026-06-23 23:46:31,518,518,79.9,63.7,137.7,248.8,518,0,1.0
43,2026-06-23 23:47:31,548,548,80.9,70.3,143.6,257.4,548,0,1.0
44,2026-06-23 23:48:31,499,499,91.2,79.5,153.9,325.2,499,0,1.0
45,2026-06-23 23:49:31,517,517,86.2,76.8,148.1,253.1,517,0,1.0
46,2026-06-23 23:50:31,471,471,106.2,84.4,159.2,672.6,471,0,1.0
47,2026-06-23 23:51:31,503,503,103.6,78.6,150.0,981.5,503,0,1.0
48,2026-06-23 23:52:31,605,605,82.7,65.5,132.1,514.0,605,0,1.0
49,2026-06-23 23:53:31,621,622,86.5,69.1,152.2,358.2,621,0,1.0
50,2026-06-23 23:54:31,646,647,75.9,61.0,133.7,247.1,646,0,1.0
51,2026-06-23 23:55:31,639,639,89.7,68.9,156.7,448.6,639,0,1.0
52,2026-06-23 23:56:31,493,493,83.6,76.4,141.6,225.3,493,0,1.0
53,2026-06-23 23:57:31,446,446,85.7,82.6,136.7,173.2,446,0,1.0
54,2026-06-23 23:58:31,435,435,87.6,84.6,141.4,181.0,435,0,1.0
55,2026-06-23 23:59:31,425,426,103.0,88.6,161.9,424.5,425,0,1.0
56,2026-06-24 00:00:31,401,401,95.4,89.3,144.0,200.2,401,0,1.0
57,2026-06-24 00:01:31,491,491,83.9,75.9,141.6,218.5,491,0,1.0
58,2026-06-24 00:02:31,382,382,97.1,89.7,142.8,173.4,382,0,1.0
59,2026-06-24 00:03:31,414,415,89.9,85.8,142.9,210.0,414,0,1.0
60,2026-06-24 00:04:31,515,515,192.1,85.2,314.5,1821.9,515,0,1.0
61,2026-06-24 00:05:31,575,575,85.0,71.2,146.9,357.4,575,0,1.0
62,2026-06-24 00:06:31,603,603,78.9,65.5,136.3,309.3,603,0,1.0
63,2026-06-24 00:07:31,720,719,63.8,49.7,116.4,165.5,720,0,1.0
64,2026-06-24 00:08:31,702,702,83.6,54.9,143.7,402.5,702,0,1.0
65,2026-06-24 00:09:31,689,689,73.0,53.3,130.7,300.8,689,0,1.0
66,2026-06-24 00:10:31,641,640,77.2,63.7,134.0,268.5,641,0,1.0
67,2026-06-24 00:11:31,618,618,83.7,65.2,144.5,338.5,618,0,1.0
68,2026-06-24 00:12:31,701,701,64.0,47.3,119.0,238.4,701,0,1.0
69,2026-06-24 00:13:31,625,625,69.0,57.3,121.1,160.3,625,0,1.0
70,2026-06-24 00:14:31,692,692,67.3,52.2,124.3,217.3,692,0,1.0
71,2026-06-24 00:15:31,612,612,73.9,61.6,129.4,260.3,612,0,1.0
72,2026-06-24 00:16:31,579,580,73.4,56.6,133.7,239.0,579,0,1.0
73,2026-06-24 00:17:31,635,635,66.9,49.4,119.9,193.3,635,0,1.0
74,2026-06-24 00:18:31,614,614,68.8,52.8,126.0,218.8,614,0,1.0
75,2026-06-24 00:19:31,723,724,63.8,48.4,120.8,215.4,723,0,1.0
76,2026-06-24 00:20:31,1000,998,59.4,39.5,115.3,233.8,1000,0,1.0
77,2026-06-24 00:21:31,1169,1168,50.7,37.0,89.8,194.0,1169,0,1.0
78,2026-06-24 00:22:31,1379,1379,46.4,36.2,77.1,155.8,1379,0,1.0
79,2026-06-24 00:23:31,1764,1764,45.1,36.4,61.9,188.8,1764,0,1.0
80,2026-06-24 00:24:31,1578,1578,48.6,36.2,76.8,243.9,1578,0,1.0
81,2026-06-24 00:25:31,1426,1425,54.5,36.2,103.9,243.4,1426,0,1.0
82,2026-06-24 00:26:31,1247,1247,48.1,36.3,87.2,178.7,1247,0,1.0
83,2026-06-24 00:27:31,1240,1240,50.0,36.5,89.6,172.4,1240,0,1.0
