step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-24 01:08:21,292,292,102.6,88.5,142.1,440.3,292,0,1.0
1,2026-06-24 01:09:21,259,260,103.5,90.9,150.3,169.8,259,0,1.0
2,2026-06-24 01:10:21,200,201,82.4,84.5,89.3,100.4,200,0,1.0
3,2026-06-24 01:11:21,205,206,93.0,90.9,141.4,167.0,205,0,1.0
4,2026-06-24 01:12:20,222,223,100.2,89.1,142.2,224.7,222,0,1.0
5,2026-06-24 01:13:20,286,286,98.1,88.3,140.5,170.0,286,0,1.0
6,2026-06-24 01:14:20,575,576,73.5,64.9,124.4,169.3,575,0,1.0
7,2026-06-24 01:15:20,776,776,59.8,45.6,110.9,153.6,776,0,1.0
8,2026-06-24 01:16:20,746,746,60.2,46.3,114.5,161.5,746,0,1.0
9,2026-06-24 01:17:20,639,639,70.1,54.6,127.8,240.8,639,0,1.0
10,2026-06-24 01:18:20,727,727,63.6,48.9,117.9,162.8,727,0,1.0
11,2026-06-24 01:19:20,686,686,62.6,51.0,112.1,151.7,686,0,1.0
12,2026-06-24 01:20:20,561,562,77.8,71.4,134.9,245.1,561,0,1.0
13,2026-06-24 01:21:20,577,577,77.2,68.2,134.2,247.9,577,0,1.0
14,2026-06-24 01:22:20,575,576,72.7,64.0,130.4,164.0,575,0,1.0
15,2026-06-24 01:23:20,590,590,70.4,59.4,129.2,175.0,590,0,1.0
16,2026-06-24 01:24:20,604,604,72.0,60.8,130.7,181.3,604,0,1.0
17,2026-06-24 01:25:20,729,729,62.7,48.4,114.7,221.5,729,0,1.0
18,2026-06-24 01:26:20,760,759,58.9,45.8,110.2,161.6,760,0,1.0
19,2026-06-24 01:27:20,763,763,61.1,45.5,113.3,206.3,763,0,1.0
20,2026-06-24 01:28:20,735,735,62.6,49.2,113.5,163.4,735,0,1.0
21,2026-06-24 01:29:20,718,718,64.7,50.9,120.5,158.2,718,0,1.0
22,2026-06-24 01:30:20,623,624,70.9,60.0,122.8,227.0,623,0,1.0
23,2026-06-24 01:31:20,559,559,76.4,66.6,132.5,240.6,559,0,1.0
24,2026-06-24 01:32:20,569,570,77.8,74.5,133.2,260.1,569,0,1.0
25,2026-06-24 01:33:20,640,641,71.6,57.1,129.2,230.5,640,0,1.0
26,2026-06-24 01:34:20,640,641,70.4,56.7,123.7,252.3,640,0,1.0
27,2026-06-24 01:35:20,688,687,66.4,52.9,127.8,171.8,688,0,1.0
28,2026-06-24 01:36:20,545,545,74.2,72.2,129.4,157.5,545,0,1.0
29,2026-06-24 01:37:20,550,551,74.0,69.3,129.9,165.9,550,0,1.0
30,2026-06-24 01:38:20,643,643,69.0,56.8,123.7,215.7,643,0,1.0
31,2026-06-24 01:39:20,592,592,72.6,67.7,129.0,168.6,592,0,1.0
32,2026-06-24 01:40:20,443,444,85.9,82.2,141.8,168.0,443,0,1.0
33,2026-06-24 01:41:20,442,443,87.0,80.7,141.5,178.0,442,0,1.0
34,2026-06-24 01:42:20,401,401,91.2,85.5,135.4,163.2,401,0,1.0
35,2026-06-24 01:43:19,378,379,95.1,88.8,141.5,164.9,378,0,1.0
36,2026-06-24 01:44:19,296,296,100.5,91.0,142.3,163.4,296,0,1.0
37,2026-06-24 01:45:19,381,382,94.0,88.6,142.8,170.1,381,0,1.0
38,2026-06-24 01:46:19,340,341,99.6,92.8,142.1,167.1,340,0,1.0
39,2026-06-24 01:47:19,358,359,98.1,90.4,142.5,164.8,358,0,1.0
40,2026-06-24 01:48:19,451,452,86.2,83.0,140.0,188.8,451,0,1.0
41,2026-06-24 01:49:19,623,624,70.1,53.3,127.3,243.3,623,0,1.0
42,2026-06-24 01:50:19,518,518,74.0,62.1,131.6,194.9,518,0,1.0
43,2026-06-24 01:51:19,548,548,74.8,72.2,131.1,163.9,548,0,1.0
44,2026-06-24 01:52:19,499,499,80.5,76.4,139.1,218.1,499,0,1.0
45,2026-06-24 01:53:19,517,517,77.2,74.6,132.4,168.3,517,0,1.0
46,2026-06-24 01:54:19,471,472,80.3,76.9,135.5,202.2,471,0,1.0
47,2026-06-24 01:55:19,503,503,79.7,76.0,136.3,168.7,503,0,1.0
48,2026-06-24 01:56:19,605,605,70.8,65.3,125.1,161.7,605,0,1.0
49,2026-06-24 01:57:19,621,621,72.2,65.5,128.1,158.7,621,0,1.0
50,2026-06-24 01:58:19,646,646,70.0,59.5,128.6,221.6,646,0,1.0
51,2026-06-24 01:59:19,639,639,68.6,60.9,119.1,151.2,639,0,1.0
52,2026-06-24 02:00:19,493,493,80.6,78.0,136.1,168.6,493,0,1.0
53,2026-06-24 02:01:19,446,446,84.2,82.3,138.7,174.8,446,0,1.0
