step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-23 21:01:15,292,293,97.4,79.3,158.6,395.9,292,0,1.0
1,2026-06-23 21:02:15,259,260,82.0,70.0,130.9,366.5,259,0,1.0
2,2026-06-23 21:03:15,200,201,73.9,66.5,102.2,303.2,200,0,1.0
3,2026-06-23 21:04:15,205,206,75.7,55.5,135.0,276.4,205,0,1.0
4,2026-06-23 21:05:15,222,223,66.5,44.6,114.2,261.3,222,0,1.0
5,2026-06-23 21:06:14,286,287,61.5,43.2,107.9,267.4,286,0,1.0
6,2026-06-23 21:07:14,575,575,65.5,45.1,121.6,235.2,575,0,1.0
7,2026-06-23 21:08:14,776,774,59.6,39.5,111.5,222.1,776,0,1.0
8,2026-06-23 21:09:14,746,746,58.7,38.7,107.3,234.9,746,0,1.0
9,2026-06-23 21:10:14,639,640,54.7,40.7,86.5,176.1,639,0,1.0
10,2026-06-23 21:11:14,727,727,62.9,43.9,119.4,222.9,727,0,1.0
11,2026-06-23 21:12:14,686,687,62.2,43.3,118.5,242.6,686,0,1.0
12,2026-06-23 21:13:14,561,562,63.3,46.5,112.1,286.2,561,0,1.0
13,2026-06-23 21:14:14,577,577,66.1,45.6,127.5,269.5,577,0,1.0
14,2026-06-23 21:15:14,575,575,64.6,46.7,116.8,258.8,575,0,1.0
15,2026-06-23 21:16:14,590,591,60.5,42.8,112.8,230.3,590,0,1.0
16,2026-06-23 21:17:14,604,604,59.9,42.7,101.6,239.5,604,0,1.0
17,2026-06-23 21:18:14,729,729,61.3,40.2,114.0,234.5,729,0,1.0
18,2026-06-23 21:19:14,760,761,57.0,38.3,105.4,199.9,760,0,1.0
19,2026-06-23 21:20:14,763,763,57.9,38.8,109.5,203.9,763,0,1.0
20,2026-06-23 21:21:14,735,735,58.8,40.2,101.8,235.2,735,0,1.0
21,2026-06-23 21:22:14,718,718,64.4,42.8,126.7,224.9,718,0,1.0
22,2026-06-23 21:23:14,623,623,65.8,47.7,123.6,236.6,623,0,1.0
23,2026-06-23 21:24:14,559,560,62.5,47.3,110.9,234.8,559,0,1.0
24,2026-06-23 21:25:14,569,570,66.0,46.5,124.2,260.8,569,0,1.0
25,2026-06-23 21:26:14,640,636,65.3,44.1,121.9,296.1,640,0,1.0
26,2026-06-23 21:27:14,640,640,62.7,44.0,119.1,210.4,640,0,1.0
27,2026-06-23 21:28:14,688,688,58.7,41.0,100.0,215.2,688,0,1.0
28,2026-06-23 21:29:14,545,546,63.6,45.9,118.6,231.8,545,0,1.0
29,2026-06-23 21:30:14,550,551,65.2,50.2,117.1,248.6,550,0,1.0
30,2026-06-23 21:31:14,643,644,66.0,48.6,125.0,229.8,643,0,1.0
31,2026-06-23 21:32:14,592,590,62.0,48.0,112.2,215.3,592,0,1.0
32,2026-06-23 21:33:14,443,444,70.4,57.2,120.5,247.0,443,0,1.0
33,2026-06-23 21:34:14,442,442,71.8,58.7,121.2,238.9,442,0,1.0
34,2026-06-23 21:35:14,401,402,72.1,61.2,121.3,254.8,401,0,1.0
35,2026-06-23 21:36:14,378,379,73.0,60.9,118.9,241.1,378,0,1.0
36,2026-06-23 21:37:14,296,297,64.1,55.8,113.2,205.4,296,0,1.0
37,2026-06-23 21:38:14,381,381,72.5,60.7,121.6,235.7,381,0,1.0
38,2026-06-23 21:39:14,340,341,67.5,51.5,120.4,288.4,340,0,1.0
39,2026-06-23 21:40:14,358,359,63.4,47.2,119.9,219.6,358,0,1.0
40,2026-06-23 21:41:13,451,451,75.2,58.3,137.2,252.1,451,0,1.0
41,2026-06-23 21:42:13,623,624,63.6,46.5,121.1,228.6,623,0,1.0
42,2026-06-23 21:43:13,518,519,58.0,43.6,98.0,205.9,518,0,1.0
43,2026-06-23 21:44:13,548,548,62.1,47.2,111.7,219.5,548,0,1.0
44,2026-06-23 21:45:13,499,499,60.0,48.1,99.0,225.5,499,0,1.0
45,2026-06-23 21:46:13,517,518,62.0,48.0,104.1,215.5,517,0,1.0
