step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-21 01:31:59,292,292,95.3,89.4,142.1,166.2,292,0,1.0
1,2026-06-21 01:32:59,259,259,100.7,92.0,138.4,167.1,259,0,1.0
2,2026-06-21 01:33:59,200,201,90.8,95.2,108.1,127.0,200,0,1.0
3,2026-06-21 01:34:59,205,206,86.2,86.6,132.6,167.1,205,0,1.0
4,2026-06-21 01:35:59,222,223,100.9,88.5,146.0,165.0,222,0,1.0
5,2026-06-21 01:36:59,286,287,103.6,92.4,145.1,190.7,286,0,1.0
6,2026-06-21 01:37:58,575,575,81.1,73.0,135.4,322.7,575,0,1.0
7,2026-06-21 01:38:59,776,776,61.3,45.3,118.8,226.7,776,0,1.0
8,2026-06-21 01:39:58,746,746,57.4,45.1,103.5,151.1,746,0,1.0
9,2026-06-21 01:40:58,639,639,67.4,57.0,120.5,154.7,639,0,1.0
10,2026-06-21 01:41:58,727,727,64.6,49.8,120.9,211.8,727,0,1.0
11,2026-06-21 01:42:58,686,686,70.0,53.4,123.9,265.6,686,0,1.0
12,2026-06-21 01:43:58,561,561,79.4,68.4,134.6,258.0,561,0,1.0
13,2026-06-21 01:44:58,577,577,79.8,73.1,136.0,277.7,577,0,1.0
14,2026-06-21 01:45:58,575,575,80.3,70.2,140.4,258.8,575,0,1.0
15,2026-06-21 01:46:58,590,590,75.0,65.5,131.1,256.3,590,0,1.0
16,2026-06-21 01:47:58,604,604,75.6,63.3,131.5,267.3,604,0,1.0
17,2026-06-21 01:48:58,729,729,59.4,47.6,97.3,194.2,729,0,1.0
18,2026-06-21 01:49:58,760,760,58.7,46.1,109.7,158.9,760,0,1.0
19,2026-06-21 01:50:58,763,763,60.0,45.9,112.4,145.6,763,0,1.0
20,2026-06-21 01:51:58,735,735,60.5,48.0,111.0,153.2,735,0,1.0
21,2026-06-21 01:52:58,718,719,65.7,52.0,124.8,165.9,718,0,1.0
22,2026-06-21 01:53:58,623,623,70.4,59.0,125.4,219.6,623,0,1.0
23,2026-06-21 01:54:58,559,560,81.2,67.3,140.6,307.4,559,0,1.0
