step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-21 03:33:53,292,293,96.6,90.6,142.2,166.9,292,0,1.0
1,2026-06-21 03:34:53,259,259,103.8,92.4,144.0,170.1,259,0,1.0
2,2026-06-21 03:35:52,200,201,85.5,100.1,117.8,196.7,200,0,1.0
3,2026-06-21 03:36:52,205,206,100.1,91.3,145.1,167.6,205,0,1.0
4,2026-06-21 03:37:52,222,223,103.1,91.0,141.4,165.1,222,0,1.0
5,2026-06-21 03:38:52,286,287,99.8,90.3,139.2,161.2,286,0,1.0
6,2026-06-21 03:39:52,575,575,74.2,70.6,128.5,168.0,575,0,1.0
7,2026-06-21 03:40:52,776,776,55.3,44.5,100.9,147.3,776,0,1.0
8,2026-06-21 03:41:52,746,746,66.9,49.3,121.2,279.2,746,0,1.0
9,2026-06-21 03:42:52,639,639,68.1,58.0,122.1,158.6,639,0,1.0
10,2026-06-21 03:43:52,727,728,64.3,48.7,121.4,214.1,727,0,1.0
11,2026-06-21 03:44:52,686,687,63.2,51.4,115.9,150.7,686,0,1.0
12,2026-06-21 03:45:52,561,561,75.9,67.6,131.3,226.3,561,0,1.0
13,2026-06-21 03:46:52,577,577,77.3,73.1,133.7,233.4,577,0,1.0
14,2026-06-21 03:47:52,575,575,73.2,60.5,132.3,222.1,575,0,1.0
15,2026-06-21 03:48:52,590,590,71.6,65.8,129.9,158.5,590,0,1.0
16,2026-06-21 03:49:52,604,604,71.8,62.4,127.2,192.7,604,0,1.0
17,2026-06-21 03:50:52,729,729,63.4,49.1,120.6,166.6,729,0,1.0
18,2026-06-21 03:51:52,760,760,60.5,46.9,114.1,142.8,760,0,1.0
19,2026-06-21 03:52:52,763,763,60.3,45.7,99.6,238.8,763,0,1.0
20,2026-06-21 03:53:52,735,735,60.2,48.9,107.0,145.4,735,0,1.0
21,2026-06-21 03:54:52,718,718,68.4,51.4,128.0,220.6,718,0,1.0
22,2026-06-21 03:55:52,623,624,72.0,57.4,127.4,239.1,623,0,1.0
23,2026-06-21 03:56:52,559,560,76.9,71.7,131.9,232.7,559,0,1.0
24,2026-06-21 03:57:52,569,569,73.8,69.3,130.0,228.0,569,0,1.0
25,2026-06-21 03:58:52,640,640,66.6,52.8,119.6,167.0,640,0,1.0
26,2026-06-21 03:59:51,640,640,67.9,55.9,122.2,204.5,640,0,1.0
27,2026-06-21 04:00:52,688,688,71.2,56.5,131.0,228.3,688,0,1.0
28,2026-06-21 04:01:51,545,546,76.1,72.2,132.3,188.1,545,0,1.0
29,2026-06-21 04:02:51,550,551,78.9,77.2,131.6,235.0,550,0,1.0
30,2026-06-21 04:03:51,643,644,72.2,58.7,128.9,248.5,643,0,1.0
31,2026-06-21 04:04:51,592,593,71.8,68.0,123.9,204.6,592,0,1.0
32,2026-06-21 04:05:51,443,444,84.4,82.0,134.6,171.7,443,0,1.0
33,2026-06-21 04:06:51,442,442,84.3,79.4,134.0,173.5,442,0,1.0
34,2026-06-21 04:07:51,401,401,90.5,86.3,143.1,169.1,401,0,1.0
35,2026-06-21 04:08:51,378,378,95.4,89.3,142.4,167.4,378,0,1.0
36,2026-06-21 04:09:51,296,297,95.7,88.2,133.4,164.9,296,0,1.0
37,2026-06-21 04:10:51,381,381,95.0,88.9,144.6,186.5,381,0,1.0
38,2026-06-21 04:11:51,340,341,98.7,89.4,139.6,164.6,340,0,1.0
39,2026-06-21 04:12:51,358,358,98.4,92.0,143.6,166.3,358,0,1.0
40,2026-06-21 04:13:51,451,451,76.4,56.8,136.4,188.2,451,0,1.0
41,2026-06-21 04:14:51,623,623,74.7,64.2,132.8,244.9,623,0,1.0
42,2026-06-21 04:15:51,518,518,76.2,74.3,131.1,170.2,518,0,1.0
43,2026-06-21 04:16:51,548,549,74.4,70.0,128.2,189.2,548,0,1.0
44,2026-06-21 04:17:51,499,500,75.7,70.9,132.9,211.9,499,0,1.0
45,2026-06-21 04:18:51,517,518,79.8,71.9,138.2,222.4,517,0,1.0
46,2026-06-21 04:19:50,471,471,85.7,81.1,138.9,213.8,471,0,1.0
47,2026-06-21 04:20:50,503,504,79.0,75.3,133.3,161.2,503,0,1.0
48,2026-06-21 04:21:50,605,604,73.5,67.4,129.5,209.0,605,0,1.0
49,2026-06-21 04:22:50,621,622,72.7,64.9,126.8,227.5,621,0,1.0
50,2026-06-21 04:23:50,646,647,69.5,60.7,120.4,205.6,646,0,1.0
51,2026-06-21 04:24:50,639,639,71.3,60.6,125.8,221.3,639,0,1.0
52,2026-06-21 04:25:50,493,493,80.0,76.9,137.9,198.4,493,0,1.0
53,2026-06-21 04:26:50,446,446,85.6,83.0,137.2,170.1,446,0,1.0
54,2026-06-21 04:27:50,435,435,88.2,83.6,139.0,185.5,435,0,1.0
55,2026-06-21 04:28:50,425,425,92.0,84.7,140.7,198.8,425,0,1.0
56,2026-06-21 04:29:50,401,401,94.1,87.4,144.1,169.1,401,0,1.0
57,2026-06-21 04:30:50,491,491,80.0,74.0,137.9,216.9,491,0,1.0
58,2026-06-21 04:31:50,382,383,96.0,90.1,146.3,200.3,382,0,1.0
59,2026-06-21 04:32:50,414,414,92.4,86.3,143.1,190.2,414,0,1.0
60,2026-06-21 04:33:50,515,515,81.8,78.0,139.9,240.9,515,0,1.0
61,2026-06-21 04:34:50,575,576,74.0,71.3,129.8,157.7,575,0,1.0
62,2026-06-21 04:35:50,603,604,74.5,67.2,131.9,218.8,603,0,1.0
63,2026-06-21 04:36:50,720,721,64.5,49.2,116.1,232.8,720,0,1.0
64,2026-06-21 04:37:50,702,703,64.7,52.8,117.1,148.5,702,0,1.0
65,2026-06-21 04:38:50,689,690,66.4,51.7,126.9,197.5,689,0,1.0
66,2026-06-21 04:39:50,641,640,69.4,52.8,130.6,232.6,641,0,1.0
67,2026-06-21 04:40:50,618,619,77.3,66.5,136.6,259.7,618,0,1.0
68,2026-06-21 04:41:50,701,702,68.6,52.9,126.8,237.1,701,0,1.0
69,2026-06-21 04:42:50,625,626,73.1,66.5,127.2,221.3,625,0,1.0
70,2026-06-21 04:43:50,692,693,62.4,46.7,117.9,156.0,692,0,1.0
71,2026-06-21 04:44:50,612,613,69.2,55.3,123.4,164.0,612,0,1.0
72,2026-06-21 04:45:50,579,579,72.1,61.0,130.5,170.3,579,0,1.0
73,2026-06-21 04:46:50,635,636,71.6,60.9,126.0,232.4,635,0,1.0
74,2026-06-21 04:47:50,614,615,71.4,59.7,127.3,166.1,614,0,1.0
75,2026-06-21 04:48:50,723,723,66.0,51.9,124.9,180.3,723,0,1.0
76,2026-06-21 04:49:49,1000,1000,56.4,39.3,109.8,194.9,1000,0,1.0
77,2026-06-21 04:50:49,1169,1169,51.8,36.7,95.7,184.0,1169,0,1.0
78,2026-06-21 04:51:49,1379,1378,44.0,35.7,68.4,140.6,1379,0,1.0
79,2026-06-21 04:52:50,1764,1764,41.0,35.8,48.8,143.4,1764,0,1.0
80,2026-06-21 04:53:50,1578,1578,42.4,35.8,56.9,146.6,1578,0,1.0
81,2026-06-21 04:54:50,1426,1426,44.7,35.9,68.4,144.3,1426,0,1.0
82,2026-06-21 04:55:50,1247,1245,48.3,36.2,85.8,157.9,1247,0,1.0
83,2026-06-21 04:56:50,1240,1240,47.8,36.3,84.8,155.4,1240,0,1.0
84,2026-06-21 04:57:50,1292,1292,48.0,36.1,84.0,157.9,1292,0,1.0
85,2026-06-21 04:58:50,1546,1546,42.7,35.5,59.6,148.7,1546,0,1.0
86,2026-06-21 04:59:50,1445,1444,44.5,36.0,68.8,140.0,1445,0,1.0
87,2026-06-21 05:00:50,1413,1413,44.8,35.9,71.0,139.1,1413,0,1.0
88,2026-06-21 05:01:50,1495,1495,45.9,36.1,76.1,155.0,1495,0,1.0
89,2026-06-21 05:02:50,1438,1438,46.7,36.2,77.0,173.0,1438,0,1.0
90,2026-06-21 05:03:50,1491,1491,44.0,36.0,67.8,145.2,1491,0,1.0
91,2026-06-21 05:04:50,1513,1513,44.7,36.1,69.9,138.2,1513,0,1.0
92,2026-06-21 05:05:50,1500,1500,44.4,35.9,70.5,153.3,1500,0,1.0
93,2026-06-21 05:06:50,1609,1609,40.0,35.7,47.8,113.6,1609,0,1.0
94,2026-06-21 05:07:50,1458,1458,45.3,36.0,72.6,154.9,1458,0,1.0
95,2026-06-21 05:08:50,1380,1380,46.2,36.1,77.2,140.3,1380,0,1.0
96,2026-06-21 05:09:50,1211,1211,49.5,36.4,86.4,206.3,1211,0,1.0
97,2026-06-21 05:10:50,1106,1105,53.5,37.5,100.5,163.4,1106,0,1.0
98,2026-06-21 05:11:50,1181,1181,51.5,36.6,92.6,170.3,1181,0,1.0
99,2026-06-21 05:12:50,1131,1131,52.1,36.9,95.9,175.4,1131,0,1.0
100,2026-06-21 05:13:50,983,982,56.1,40.0,99.9,188.0,983,0,1.0
101,2026-06-21 05:14:50,933,933,58.7,40.2,114.5,180.7,933,0,1.0
102,2026-06-21 05:15:50,827,827,63.2,44.1,123.6,226.6,827,0,1.0
103,2026-06-21 05:16:50,804,804,60.2,45.0,113.0,154.6,804,0,1.0
104,2026-06-21 05:17:50,1032,1031,56.3,38.4,109.1,178.9,1032,0,1.0
105,2026-06-21 05:18:50,938,938,56.8,40.1,106.3,197.0,938,0,1.0
106,2026-06-21 05:19:50,821,821,61.4,44.1,117.7,179.2,821,0,1.0
107,2026-06-21 05:20:50,834,834,57.4,42.3,104.5,184.4,834,0,1.0
108,2026-06-21 05:21:50,809,809,64.0,45.1,118.8,284.5,809,0,1.0
109,2026-06-21 05:22:50,760,761,60.9,46.1,113.0,167.5,760,0,1.0
110,2026-06-21 05:23:50,840,840,58.7,42.6,111.8,166.4,840,0,1.0
111,2026-06-21 05:24:50,860,860,61.1,41.9,117.7,229.4,860,0,1.0
112,2026-06-21 05:25:50,754,754,61.0,46.4,113.5,152.6,754,0,1.0
113,2026-06-21 05:26:50,750,751,60.7,47.7,112.7,168.0,750,0,1.0
114,2026-06-21 05:27:50,748,748,60.0,48.4,111.0,140.4,748,0,1.0
115,2026-06-21 05:28:50,672,672,67.9,56.1,122.3,169.4,672,0,1.0
116,2026-06-21 05:29:50,636,637,69.2,61.1,122.9,159.9,636,0,1.0
117,2026-06-21 05:30:50,595,596,65.5,45.3,122.1,207.1,595,0,1.0
118,2026-06-21 05:31:49,616,617,67.3,53.4,118.1,182.5,616,0,1.0
119,2026-06-21 05:32:49,532,533,75.6,71.4,129.3,162.7,532,0,1.0
