step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-23 20:58:49,1437,1438,23.0,22.5,35.5,37.2,1437,0,1.0
1,2026-06-23 20:59:49,1535,1535,24.0,25.5,35.7,37.9,1535,0,1.0
2,2026-06-23 21:00:49,1031,1032,23.1,22.6,35.7,37.1,1031,0,1.0
3,2026-06-23 21:01:49,1088,1089,21.2,18.2,35.1,38.7,1088,0,1.0
4,2026-06-23 21:02:49,1214,1214,21.4,17.9,35.9,39.6,1214,0,1.0
5,2026-06-23 21:03:49,295,296,21.9,17.2,36.1,41.0,295,0,1.0
6,2026-06-23 21:04:49,1494,1495,17.1,12.8,32.6,37.7,1494,0,1.0
7,2026-06-23 21:05:49,1194,1194,15.8,11.8,31.8,36.2,1194,0,1.0
8,2026-06-23 21:06:49,1552,1552,15.2,11.6,29.1,35.9,1552,0,1.0
9,2026-06-23 21:07:49,1818,1819,14.7,11.2,27.2,35.5,1818,0,1.0
10,2026-06-23 21:08:49,539,540,14.1,11.1,26.0,35.2,539,0,1.0
11,2026-06-23 21:09:48,1830,1831,13.9,11.0,24.4,35.9,1830,0,1.0
12,2026-06-23 21:10:48,2374,2374,14.6,11.2,26.8,35.8,2374,0,1.0
13,2026-06-23 21:11:48,1590,1591,14.5,11.3,26.8,35.3,1590,0,1.0
14,2026-06-23 21:12:48,1142,1143,15.2,11.8,28.4,35.3,1142,0,1.0
15,2026-06-23 21:13:48,1289,1290,15.4,11.7,29.2,35.2,1289,0,1.0
16,2026-06-23 21:14:48,1459,1459,15.0,11.4,28.8,35.9,1459,0,1.0
17,2026-06-23 21:15:48,1056,1057,14.7,11.3,28.4,35.7,1056,0,1.0
18,2026-06-23 21:16:48,1674,1675,14.2,11.1,25.5,34.9,1674,0,1.0
19,2026-06-23 21:17:48,1061,1062,14.5,11.2,26.4,35.1,1061,0,1.0
20,2026-06-23 21:18:48,1372,1373,14.0,11.0,25.9,34.5,1372,0,1.0
21,2026-06-23 21:19:48,1609,1610,13.8,11.0,24.5,34.1,1609,0,1.0
22,2026-06-23 21:20:48,1231,1232,14.3,11.2,26.3,34.5,1231,0,1.0
23,2026-06-23 21:21:48,1330,1330,14.5,11.4,26.1,35.5,1330,0,1.0
24,2026-06-23 21:22:48,1184,1185,15.3,11.6,28.8,34.8,1184,0,1.0
25,2026-06-23 21:23:48,1024,1024,15.1,11.5,29.0,34.7,1024,0,1.0
26,2026-06-23 21:24:48,1370,1371,15.0,11.6,27.6,34.7,1370,0,1.0
27,2026-06-23 21:25:48,1941,1941,14.6,11.2,26.9,35.1,1941,0,1.0
28,2026-06-23 21:26:48,917,918,15.6,12.0,31.5,36.4,917,0,1.0
29,2026-06-23 21:27:48,1510,1511,14.7,11.4,26.2,35.1,1510,0,1.0
30,2026-06-23 21:28:48,1563,1563,14.7,11.4,26.1,35.4,1563,0,1.0
31,2026-06-23 21:29:48,1667,1668,15.3,11.7,27.9,34.6,1667,0,1.0
32,2026-06-23 21:30:48,1307,1308,16.0,12.5,31.1,35.0,1307,0,1.0
33,2026-06-23 21:31:48,1473,1474,15.1,11.8,27.5,34.7,1473,0,1.0
34,2026-06-23 21:32:48,1803,1804,16.5,12.8,31.4,37.5,1803,0,1.0
35,2026-06-23 21:33:48,1822,1823,17.2,13.5,32.1,37.6,1822,0,1.0
36,2026-06-23 21:34:48,1951,1951,17.8,13.9,32.9,38.4,1951,0,1.0
37,2026-06-23 21:35:48,1196,1197,18.1,13.8,32.8,38.3,1196,0,1.0
38,2026-06-23 21:36:48,1303,1303,18.7,14.4,33.9,39.1,1303,0,1.0
39,2026-06-23 21:37:48,1689,1689,18.5,14.6,33.0,38.4,1689,0,1.0
40,2026-06-23 21:38:48,1241,1242,17.3,13.6,32.8,37.6,1241,0,1.0
41,2026-06-23 21:39:48,1777,1777,16.0,12.4,30.3,37.5,1777,0,1.0
42,2026-06-23 21:40:48,1295,1296,16.7,13.0,31.7,36.7,1295,0,1.0
43,2026-06-23 21:41:48,385,386,16.1,12.4,31.1,36.5,385,0,1.0
44,2026-06-23 21:42:48,1965,1965,15.5,12.0,29.2,36.2,1965,0,1.0
45,2026-06-23 21:43:48,1366,1366,15.1,11.8,29.4,34.6,1366,0,1.0
46,2026-06-23 21:44:48,1985,1985,16.3,12.5,31.6,36.3,1985,0,1.0
47,2026-06-23 21:45:48,1515,1516,15.9,12.3,30.0,36.2,1515,0,1.0
48,2026-06-23 21:46:48,1086,1087,15.4,12.1,28.5,35.5,1086,0,1.0
49,2026-06-23 21:47:48,1639,1639,15.2,11.7,28.6,35.9,1639,0,1.0
50,2026-06-23 21:48:48,1792,1792,15.0,11.6,26.8,36.0,1792,0,1.0
51,2026-06-23 21:49:48,1878,1878,15.0,11.5,26.9,36.5,1878,0,1.0
52,2026-06-23 21:50:48,1455,1456,15.3,11.7,30.0,35.0,1455,0,1.0
53,2026-06-23 21:51:48,1697,1698,15.5,12.0,29.1,36.7,1697,0,1.0
54,2026-06-23 21:52:47,1859,1859,16.2,12.6,30.1,36.9,1859,0,1.0
