step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-22 16:14:04,1437,1438,15.2,11.7,29.6,35.4,1437,0,1.0
1,2026-06-22 16:15:04,1535,1536,15.5,11.7,31.1,35.9,1535,0,1.0
2,2026-06-22 16:16:04,1031,1032,15.6,11.9,31.0,36.2,1031,0,1.0
3,2026-06-22 16:17:04,1088,1089,15.6,12.1,31.0,36.0,1088,0,1.0
4,2026-06-22 16:18:04,1214,1215,15.4,11.7,30.6,35.7,1214,0,1.0
5,2026-06-22 16:19:04,295,296,22.0,19.9,29.0,42.7,295,0,1.0
6,2026-06-22 16:20:04,1494,1495,16.3,12.5,32.2,36.1,1494,0,1.0
7,2026-06-22 16:21:04,1194,1195,15.9,12.3,31.7,37.2,1194,0,1.0
8,2026-06-22 16:22:04,1552,1552,16.0,12.3,31.7,35.9,1552,0,1.0
9,2026-06-22 16:23:04,1818,1819,16.8,13.0,32.2,36.4,1818,0,1.0
10,2026-06-22 16:24:04,539,540,19.5,14.3,38.0,44.0,539,0,1.0
11,2026-06-22 16:25:04,1830,1829,17.8,13.6,33.3,36.4,1830,0,1.0
12,2026-06-22 16:26:04,2374,2373,17.6,13.7,32.6,36.4,2374,0,1.0
13,2026-06-22 16:27:04,1590,1590,19.0,14.4,34.4,36.5,1590,0,1.0
14,2026-06-22 16:28:04,1142,1142,34.0,35.0,36.0,38.7,1142,0,1.0
15,2026-06-22 16:29:04,1289,1289,33.2,34.0,35.8,37.8,1289,0,1.0
16,2026-06-22 16:30:04,1459,1459,26.4,32.1,35.2,36.6,1459,0,1.0
17,2026-06-22 16:31:04,1056,1057,24.3,25.8,35.5,37.1,1056,0,1.0
18,2026-06-22 16:32:04,1674,1674,26.1,31.7,34.5,37.8,1674,0,1.0
19,2026-06-22 16:33:04,1061,1061,27.1,32.4,35.8,38.4,1061,0,1.0
20,2026-06-22 16:34:04,1372,1372,26.2,31.8,35.4,36.7,1372,0,1.0
21,2026-06-22 16:35:04,1609,1609,23.9,25.8,35.0,36.8,1609,0,1.0
22,2026-06-22 16:36:04,1231,1231,19.6,15.0,34.9,36.5,1231,0,1.0
23,2026-06-22 16:37:04,1330,1331,17.3,13.1,33.1,36.2,1330,0,1.0
24,2026-06-22 16:38:04,1184,1185,15.8,12.3,31.3,36.1,1184,0,1.0
25,2026-06-22 16:39:04,1024,1025,15.9,12.7,30.8,36.6,1024,0,1.0
26,2026-06-22 16:40:04,1370,1371,16.4,13.0,31.9,36.3,1370,0,1.0
27,2026-06-22 16:41:04,1941,1941,16.7,13.0,32.8,36.2,1941,0,1.0
28,2026-06-22 16:42:04,917,918,17.3,13.6,33.2,37.0,917,0,1.0
29,2026-06-22 16:43:04,1510,1511,18.1,14.0,33.7,36.2,1510,0,1.0
30,2026-06-22 16:44:04,1563,1563,17.8,14.0,32.6,36.2,1563,0,1.0
31,2026-06-22 16:45:04,1667,1668,17.7,13.9,32.9,37.9,1667,0,1.0
32,2026-06-22 16:46:04,1307,1308,17.8,14.1,33.4,36.8,1307,0,1.0
33,2026-06-22 16:47:04,1473,1474,17.0,13.2,32.6,36.5,1473,0,1.0
34,2026-06-22 16:48:04,1803,1803,16.1,12.5,31.8,35.9,1803,0,1.0
35,2026-06-22 16:49:04,1822,1822,16.4,12.6,31.5,36.1,1822,0,1.0
36,2026-06-22 16:50:04,1951,1951,16.4,12.8,32.2,36.0,1951,0,1.0
37,2026-06-22 16:51:04,1196,1197,15.3,12.4,28.1,35.2,1196,0,1.0
38,2026-06-22 16:52:04,1303,1303,17.1,13.5,32.6,36.3,1303,0,1.0
39,2026-06-22 16:53:04,1689,1690,17.5,13.6,32.4,37.6,1689,0,1.0
40,2026-06-22 16:54:04,1241,1242,17.8,13.9,33.8,36.8,1241,0,1.0
41,2026-06-22 16:55:04,1777,1777,17.5,13.7,32.7,36.6,1777,0,1.0
42,2026-06-22 16:56:04,1295,1296,16.4,12.9,32.3,36.4,1295,0,1.0
43,2026-06-22 16:57:03,385,386,22.8,20.9,34.3,44.1,385,0,1.0
44,2026-06-22 16:58:03,1965,1965,17.8,13.7,32.9,36.6,1965,0,1.0
45,2026-06-22 16:59:03,1366,1367,18.1,14.0,33.9,36.5,1366,0,1.0
46,2026-06-22 17:00:03,1985,1984,17.7,13.9,32.7,36.4,1985,0,1.0
47,2026-06-22 17:01:03,1515,1516,17.5,13.9,32.9,36.1,1515,0,1.0
48,2026-06-22 17:02:03,1086,1087,18.8,14.5,34.8,36.7,1086,0,1.0
49,2026-06-22 17:03:03,1639,1639,18.7,14.4,34.3,36.3,1639,0,1.0
50,2026-06-22 17:04:03,1792,1792,19.3,15.3,35.5,36.3,1792,0,1.0
51,2026-06-22 17:05:03,1878,1878,20.1,16.2,34.8,37.3,1878,0,1.0
52,2026-06-22 17:06:03,1455,1456,21.7,18.9,35.1,37.3,1455,0,1.0
53,2026-06-22 17:07:03,1697,1697,21.3,18.2,34.6,37.6,1697,0,1.0
54,2026-06-22 17:08:03,1859,1858,20.6,17.2,34.4,36.3,1859,0,1.0
55,2026-06-22 17:09:03,954,955,20.9,16.6,35.0,36.8,954,0,1.0
56,2026-06-22 17:10:03,1475,1475,20.0,15.7,34.3,37.0,1475,0,1.0
57,2026-06-22 17:11:03,1475,1476,17.9,13.9,33.3,36.2,1475,0,1.0
58,2026-06-22 17:12:03,1784,1784,18.2,14.1,33.1,36.6,1784,0,1.0
59,2026-06-22 17:13:03,1563,1563,18.3,14.0,33.5,36.5,1563,0,1.0
60,2026-06-22 17:14:03,861,862,17.7,13.8,33.7,36.4,861,0,1.0
61,2026-06-22 17:15:03,1143,1144,19.0,14.5,34.8,36.7,1143,0,1.0
62,2026-06-22 17:16:03,1637,1637,18.8,14.5,34.5,36.5,1637,0,1.0
63,2026-06-22 17:17:03,985,985,18.4,14.3,34.6,36.7,985,0,1.0
64,2026-06-22 17:18:03,1945,1945,18.2,14.2,33.1,36.7,1945,0,1.0
65,2026-06-22 17:19:03,1218,1219,17.2,13.7,33.0,36.6,1218,0,1.0
66,2026-06-22 17:20:03,1406,1407,17.3,13.4,33.2,36.6,1406,0,1.0
67,2026-06-22 17:21:03,1589,1590,17.3,13.6,32.4,36.3,1589,0,1.0
68,2026-06-22 17:22:03,819,820,18.3,14.3,34.4,36.9,819,0,1.0
69,2026-06-22 17:23:03,531,532,21.4,18.7,39.5,43.9,531,0,1.0
70,2026-06-22 17:24:03,1462,1462,19.3,14.6,34.9,36.9,1462,0,1.0
71,2026-06-22 17:25:03,905,906,19.4,14.7,35.0,36.8,905,0,1.0
72,2026-06-22 17:26:03,1801,1801,19.9,15.9,35.4,36.7,1801,0,1.0
73,2026-06-22 17:27:03,318,319,24.8,22.7,37.8,44.0,318,0,1.0
74,2026-06-22 17:28:03,789,790,19.0,14.9,34.6,37.0,789,0,1.0
75,2026-06-22 17:29:03,754,755,19.4,15.2,34.9,37.0,754,0,1.0
76,2026-06-22 17:30:03,1191,1191,19.2,14.8,34.3,37.0,1191,0,1.0
77,2026-06-22 17:31:03,1024,1025,17.5,13.6,33.7,36.0,1024,0,1.0
78,2026-06-22 17:32:03,1507,1508,17.8,13.7,32.9,36.8,1507,0,1.0
79,2026-06-22 17:33:03,1657,1658,16.0,12.6,30.8,35.7,1657,0,1.0
80,2026-06-22 17:34:03,1752,1753,15.9,12.4,31.2,36.5,1752,0,1.0
81,2026-06-22 17:35:02,728,729,15.2,12.3,29.3,36.0,728,0,1.0
82,2026-06-22 17:36:02,874,875,15.7,12.7,29.4,36.8,874,0,1.0
83,2026-06-22 17:37:02,1160,1161,16.8,13.3,32.9,36.4,1160,0,1.0
84,2026-06-22 17:38:02,1259,1259,16.8,13.2,32.2,36.4,1259,0,1.0
85,2026-06-22 17:39:02,1349,1350,17.3,13.6,32.8,36.6,1349,0,1.0
86,2026-06-22 17:40:02,1398,1399,16.7,12.8,32.4,36.5,1398,0,1.0
87,2026-06-22 17:41:02,1378,1379,16.7,12.9,32.3,36.3,1378,0,1.0
88,2026-06-22 17:42:02,702,703,16.3,13.6,30.8,37.3,702,0,1.0
89,2026-06-22 17:43:02,1609,1609,17.6,13.6,32.6,36.3,1609,0,1.0
90,2026-06-22 17:44:02,1172,1172,17.7,13.9,34.3,37.1,1172,0,1.0
91,2026-06-22 17:45:02,1902,1902,17.3,13.3,33.6,36.3,1902,0,1.0
92,2026-06-22 17:46:02,2212,2212,16.0,12.2,30.6,35.5,2212,0,1.0
93,2026-06-22 17:47:02,1445,1446,15.0,11.3,28.5,35.6,1445,0,1.0
94,2026-06-22 17:48:02,1738,1739,13.3,10.9,20.2,33.7,1738,0,1.0
95,2026-06-22 17:49:02,1024,1025,14.0,11.1,22.6,35.0,1024,0,1.0
96,2026-06-22 17:50:02,1051,1052,13.7,10.9,21.8,34.8,1051,0,1.0
97,2026-06-22 17:51:02,1564,1565,13.6,10.9,22.4,34.2,1564,0,1.0
98,2026-06-22 17:52:02,1377,1377,14.4,11.0,26.1,33.4,1377,0,1.0
99,2026-06-22 17:53:02,1326,1326,14.6,11.0,27.1,33.8,1326,0,1.0
100,2026-06-22 17:54:02,1256,1257,14.7,11.1,27.1,34.1,1256,0,1.0
101,2026-06-22 17:55:02,1795,1796,13.6,10.8,23.1,34.3,1795,0,1.0
102,2026-06-22 17:56:02,2038,2038,13.9,10.9,22.5,35.0,2038,0,1.0
103,2026-06-22 17:57:02,1634,1635,14.2,11.1,25.4,35.1,1634,0,1.0
104,2026-06-22 17:58:02,1890,1890,14.0,10.9,23.8,34.0,1890,0,1.0
105,2026-06-22 17:59:02,1136,1137,13.6,11.0,21.2,34.5,1136,0,1.0
106,2026-06-22 18:00:02,1893,1894,13.6,10.9,22.6,34.3,1893,0,1.0
107,2026-06-22 18:01:02,1913,1913,13.6,10.9,22.0,33.9,1913,0,1.0
108,2026-06-22 18:02:02,1586,1586,13.5,10.9,21.7,33.5,1586,0,1.0
