step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-20 21:26:58,1437,1437,29.0,28.7,36.0,55.2,1437,0,1.0
1,2026-06-20 21:27:58,1535,1535,28.3,28.2,34.6,53.0,1535,0,1.0
2,2026-06-20 21:28:58,1031,1031,29.2,29.7,34.9,44.6,1031,0,1.0
3,2026-06-20 21:29:58,1088,1089,28.4,28.6,34.4,44.3,1088,0,1.0
4,2026-06-20 21:30:58,1214,1215,28.5,28.9,34.2,43.4,1214,0,1.0
5,2026-06-20 21:31:58,295,296,36.3,37.1,41.6,50.6,295,0,1.0
6,2026-06-20 21:32:58,1494,1495,28.2,28.2,35.2,52.5,1494,0,1.0
7,2026-06-20 21:33:58,1194,1195,28.3,28.4,35.5,50.6,1194,0,1.0
8,2026-06-20 21:34:58,1552,1552,28.1,27.6,38.5,56.4,1552,0,1.0
9,2026-06-20 21:35:58,1818,1818,25.3,24.7,40.8,52.7,1818,0,1.0
10,2026-06-20 21:36:58,539,540,28.5,28.4,43.0,56.0,539,0,1.0
11,2026-06-20 21:37:58,1830,1830,25.6,25.1,39.8,54.1,1830,0,1.0
12,2026-06-20 21:38:58,2374,2374,26.8,24.8,40.0,57.6,2374,0,1.0
13,2026-06-20 21:39:58,1590,1590,24.8,24.9,34.7,54.7,1590,0,1.0
14,2026-06-20 21:40:58,1142,1143,25.2,25.4,36.2,51.6,1142,0,1.0
15,2026-06-20 21:41:58,1289,1290,24.4,24.6,34.6,55.3,1289,0,1.0
16,2026-06-20 21:42:58,1459,1459,24.7,24.5,35.0,52.0,1459,0,1.0
17,2026-06-20 21:43:58,1056,1057,25.7,25.3,37.9,51.7,1056,0,1.0
18,2026-06-20 21:44:58,1674,1674,25.6,25.2,36.9,54.9,1674,0,1.0
19,2026-06-20 21:45:58,1061,1061,25.6,25.7,36.8,51.1,1061,0,1.0
20,2026-06-20 21:46:58,1372,1372,25.5,25.0,37.6,55.6,1372,0,1.0
21,2026-06-20 21:47:58,1609,1609,25.5,25.0,37.1,55.0,1609,0,1.0
22,2026-06-20 21:48:58,1231,1231,24.5,24.4,34.6,48.1,1231,0,1.0
23,2026-06-20 21:49:58,1330,1330,25.0,24.8,35.9,55.2,1330,0,1.0
24,2026-06-20 21:50:57,1184,1185,24.5,24.2,34.6,52.3,1184,0,1.0
