step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-20 23:28:25,1437,1437,31.9,33.1,35.9,39.7,1437,0,1.0
1,2026-06-20 23:29:25,1535,1535,29.2,32.8,35.6,37.7,1535,0,1.0
2,2026-06-20 23:30:25,1031,1031,23.0,20.3,35.9,37.8,1031,0,1.0
3,2026-06-20 23:31:25,1088,1089,24.6,26.0,36.0,37.7,1088,0,1.0
4,2026-06-20 23:32:25,1214,1214,26.2,32.4,36.1,37.8,1214,0,1.0
5,2026-06-20 23:33:25,295,296,31.5,29.9,43.8,47.2,295,0,1.0
6,2026-06-20 23:34:25,1494,1494,24.5,26.4,35.5,38.6,1494,0,1.0
7,2026-06-20 23:35:25,1194,1195,21.6,17.5,35.5,37.0,1194,0,1.0
8,2026-06-20 23:36:25,1552,1552,17.3,13.2,33.0,36.1,1552,0,1.0
9,2026-06-20 23:37:25,1818,1819,15.7,12.1,30.7,36.0,1818,0,1.0
10,2026-06-20 23:38:25,539,540,18.0,13.5,34.6,43.3,539,0,1.0
11,2026-06-20 23:39:25,1830,1831,16.9,13.0,32.4,37.3,1830,0,1.0
12,2026-06-20 23:40:25,2374,2374,16.1,12.2,32.0,36.1,2374,0,1.0
13,2026-06-20 23:41:25,1590,1590,16.8,12.9,32.7,36.5,1590,0,1.0
14,2026-06-20 23:42:25,1142,1142,17.9,13.8,34.3,37.4,1142,0,1.0
15,2026-06-20 23:43:25,1289,1289,17.2,13.5,33.0,36.9,1289,0,1.0
16,2026-06-20 23:44:25,1459,1459,17.7,13.7,34.0,37.0,1459,0,1.0
17,2026-06-20 23:45:25,1056,1057,17.6,13.7,33.6,36.9,1056,0,1.0
18,2026-06-20 23:46:25,1674,1674,17.4,13.3,32.9,37.9,1674,0,1.0
19,2026-06-20 23:47:25,1061,1062,16.0,12.4,32.0,36.3,1061,0,1.0
20,2026-06-20 23:48:25,1372,1372,15.7,12.2,31.4,36.1,1372,0,1.0
21,2026-06-20 23:49:25,1609,1609,16.1,12.2,31.6,36.4,1609,0,1.0
22,2026-06-20 23:50:25,1231,1232,16.0,12.4,32.1,36.5,1231,0,1.0
23,2026-06-20 23:51:25,1330,1331,16.1,12.4,31.9,36.4,1330,0,1.0
24,2026-06-20 23:52:25,1184,1185,17.1,13.3,33.1,36.4,1184,0,1.0
25,2026-06-20 23:53:25,1024,1025,17.8,13.6,34.2,36.5,1024,0,1.0
26,2026-06-20 23:54:25,1370,1370,17.7,13.7,33.4,36.9,1370,0,1.0
27,2026-06-20 23:55:25,1941,1940,17.1,13.3,33.0,36.5,1941,0,1.0
28,2026-06-20 23:56:25,917,917,16.2,12.7,31.8,36.5,917,0,1.0
29,2026-06-20 23:57:25,1510,1510,16.5,12.7,32.3,36.3,1510,0,1.0
30,2026-06-20 23:58:25,1563,1564,18.0,13.9,33.9,36.6,1563,0,1.0
31,2026-06-20 23:59:25,1667,1667,17.9,13.8,33.4,38.2,1667,0,1.0
32,2026-06-21 00:00:25,1307,1308,16.4,12.9,31.7,36.4,1307,0,1.0
33,2026-06-21 00:01:25,1473,1473,17.3,13.4,32.9,36.4,1473,0,1.0
34,2026-06-21 00:02:25,1803,1803,18.9,14.5,35.5,36.9,1803,0,1.0
35,2026-06-21 00:03:25,1822,1823,19.5,15.2,35.2,37.0,1822,0,1.0
36,2026-06-21 00:04:25,1951,1950,19.8,16.1,34.1,36.6,1951,0,1.0
37,2026-06-21 00:05:25,1196,1197,20.8,16.6,35.1,37.0,1196,0,1.0
38,2026-06-21 00:06:25,1303,1303,22.0,19.3,35.3,36.9,1303,0,1.0
39,2026-06-21 00:07:25,1689,1688,20.6,17.2,34.2,37.7,1689,0,1.0
40,2026-06-21 00:08:25,1241,1241,21.3,17.8,35.4,37.5,1241,0,1.0
