step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-22 04:37:43,1437,1437,32.0,33.3,35.5,37.3,1437,0,1.0
1,2026-06-22 04:38:43,1535,1535,32.5,33.4,35.4,37.7,1535,0,1.0
2,2026-06-22 04:39:43,1031,1032,34.1,35.4,36.2,38.4,1031,0,1.0
3,2026-06-22 04:40:43,1088,1088,34.4,35.2,36.1,37.9,1088,0,1.0
4,2026-06-22 04:41:43,1214,1214,34.2,35.2,36.1,38.1,1214,0,1.0
5,2026-06-22 04:42:43,295,296,36.3,42.0,44.0,45.9,295,0,1.0
6,2026-06-22 04:43:43,1494,1494,33.1,33.4,35.7,37.1,1494,0,1.0
7,2026-06-22 04:44:43,1194,1195,27.9,34.0,35.9,37.4,1194,0,1.0
8,2026-06-22 04:45:43,1552,1552,23.5,23.9,35.4,37.4,1552,0,1.0
9,2026-06-22 04:46:43,1818,1817,24.7,28.1,35.3,36.5,1818,0,1.0
10,2026-06-22 04:47:43,539,540,28.1,30.3,43.5,44.5,539,0,1.0
11,2026-06-22 04:48:43,1830,1831,25.4,30.1,35.1,36.7,1830,0,1.0
12,2026-06-22 04:49:43,2374,2373,23.7,26.0,34.7,36.4,2374,0,1.0
13,2026-06-22 04:50:43,1590,1590,20.1,15.8,34.5,35.7,1590,0,1.0
14,2026-06-22 04:51:43,1142,1143,16.5,12.7,32.0,35.8,1142,0,1.0
15,2026-06-22 04:52:43,1289,1289,16.2,12.3,32.1,36.6,1289,0,1.0
16,2026-06-22 04:53:43,1459,1460,16.7,13.0,32.3,36.5,1459,0,1.0
17,2026-06-22 04:54:43,1056,1057,16.0,12.4,32.1,35.6,1056,0,1.0
18,2026-06-22 04:55:43,1674,1674,16.6,12.7,31.8,35.5,1674,0,1.0
19,2026-06-22 04:56:43,1061,1062,16.4,12.9,31.8,35.5,1061,0,1.0
20,2026-06-22 04:57:43,1372,1372,17.5,13.7,32.9,36.4,1372,0,1.0
21,2026-06-22 04:58:43,1609,1609,17.6,13.6,32.9,35.6,1609,0,1.0
22,2026-06-22 04:59:43,1231,1232,16.9,13.1,32.8,36.0,1231,0,1.0
23,2026-06-22 05:00:43,1330,1330,17.3,13.4,32.9,36.1,1330,0,1.0
24,2026-06-22 05:01:43,1184,1185,16.7,13.0,32.3,36.2,1184,0,1.0
25,2026-06-22 05:02:43,1024,1025,15.0,12.1,27.1,36.0,1024,0,1.0
26,2026-06-22 05:03:43,1370,1371,16.1,12.4,32.1,36.3,1370,0,1.0
27,2026-06-22 05:04:43,1941,1941,16.6,12.8,32.9,36.2,1941,0,1.0
28,2026-06-22 05:05:43,917,918,15.6,12.3,30.8,36.1,917,0,1.0
29,2026-06-22 05:06:43,1510,1510,16.5,12.8,32.2,36.2,1510,0,1.0
30,2026-06-22 05:07:43,1563,1563,17.4,13.5,32.9,36.4,1563,0,1.0
31,2026-06-22 05:08:43,1667,1668,17.4,13.5,32.6,36.6,1667,0,1.0
32,2026-06-22 05:09:43,1307,1308,17.1,13.2,33.0,36.3,1307,0,1.0
33,2026-06-22 05:10:43,1473,1474,17.4,13.8,32.7,36.2,1473,0,1.0
34,2026-06-22 05:11:42,1803,1803,16.5,12.8,32.0,36.2,1803,0,1.0
35,2026-06-22 05:12:42,1822,1823,17.0,13.1,32.2,36.3,1822,0,1.0
36,2026-06-22 05:13:42,1951,1951,17.9,13.6,33.2,36.6,1951,0,1.0
