step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-21 21:06:09,1437,1437,25.8,31.9,35.5,37.4,1437,0,1.0
1,2026-06-21 21:07:09,1535,1535,25.8,31.2,35.5,36.7,1535,0,1.0
2,2026-06-21 21:08:09,1031,1031,24.3,25.1,35.8,37.7,1031,0,1.0
3,2026-06-21 21:09:09,1088,1088,20.1,15.6,35.4,37.3,1088,0,1.0
4,2026-06-21 21:10:09,1214,1215,16.3,12.8,31.3,36.3,1214,0,1.0
5,2026-06-21 21:11:09,295,296,22.1,19.7,32.6,44.9,295,0,1.0
6,2026-06-21 21:12:09,1494,1495,16.5,13.0,32.0,36.0,1494,0,1.0
7,2026-06-21 21:13:09,1194,1195,16.2,12.5,32.0,36.2,1194,0,1.0
8,2026-06-21 21:14:09,1552,1553,16.3,12.7,32.1,36.0,1552,0,1.0
9,2026-06-21 21:15:09,1818,1818,17.3,13.3,32.6,36.3,1818,0,1.0
10,2026-06-21 21:16:09,539,540,19.9,15.0,37.9,43.6,539,0,1.0
11,2026-06-21 21:17:09,1830,1831,17.8,13.7,33.1,36.8,1830,0,1.0
12,2026-06-21 21:18:09,2374,2374,17.9,13.9,32.8,36.6,2374,0,1.0
13,2026-06-21 21:19:09,1590,1590,17.5,13.5,33.2,36.0,1590,0,1.0
14,2026-06-21 21:20:09,1142,1143,17.2,13.2,33.6,36.3,1142,0,1.0
15,2026-06-21 21:21:09,1289,1290,16.2,12.3,32.2,35.2,1289,0,1.0
16,2026-06-21 21:22:09,1459,1459,16.5,12.6,32.0,36.5,1459,0,1.0
17,2026-06-21 21:23:09,1056,1057,16.5,12.6,32.5,36.1,1056,0,1.0
18,2026-06-21 21:24:09,1674,1674,16.5,12.7,32.2,36.5,1674,0,1.0
19,2026-06-21 21:25:09,1061,1062,17.2,13.0,33.0,36.6,1061,0,1.0
20,2026-06-21 21:26:09,1372,1372,17.9,13.4,33.5,36.2,1372,0,1.0
21,2026-06-21 21:27:09,1609,1609,18.6,14.2,33.9,36.5,1609,0,1.0
22,2026-06-21 21:28:09,1231,1231,17.6,13.6,33.7,36.4,1231,0,1.0
23,2026-06-21 21:29:09,1330,1331,17.7,13.5,33.5,36.3,1330,0,1.0
24,2026-06-21 21:30:09,1184,1184,17.2,13.2,32.9,36.5,1184,0,1.0
25,2026-06-21 21:31:09,1024,1025,18.3,13.8,34.4,36.4,1024,0,1.0
26,2026-06-21 21:32:09,1370,1370,19.2,14.4,34.6,36.3,1370,0,1.0
27,2026-06-21 21:33:09,1941,1941,18.1,13.8,33.1,36.6,1941,0,1.0
28,2026-06-21 21:34:09,917,918,18.6,14.1,34.8,36.6,917,0,1.0
29,2026-06-21 21:35:09,1510,1511,19.2,14.7,34.8,36.3,1510,0,1.0
30,2026-06-21 21:36:09,1563,1563,20.1,15.8,34.7,36.5,1563,0,1.0
31,2026-06-21 21:37:09,1667,1667,20.2,16.1,34.4,37.8,1667,0,1.0
32,2026-06-21 21:38:09,1307,1307,20.9,17.1,35.0,36.8,1307,0,1.0
33,2026-06-21 21:39:09,1473,1473,22.0,19.9,35.0,36.4,1473,0,1.0
34,2026-06-21 21:40:09,1803,1803,21.5,19.0,35.3,36.8,1803,0,1.0
35,2026-06-21 21:41:09,1822,1822,21.5,19.2,35.0,36.7,1822,0,1.0
36,2026-06-21 21:42:09,1951,1951,21.6,19.1,33.9,36.4,1951,0,1.0
37,2026-06-21 21:43:09,1196,1197,20.1,15.9,34.9,36.7,1196,0,1.0
38,2026-06-21 21:44:09,1303,1303,18.4,14.4,33.2,36.1,1303,0,1.0
39,2026-06-21 21:45:09,1689,1690,18.6,14.4,33.3,37.6,1689,0,1.0
40,2026-06-21 21:46:09,1241,1241,19.0,14.7,34.2,36.2,1241,0,1.0
41,2026-06-21 21:47:09,1777,1777,19.0,14.3,35.6,36.6,1777,0,1.0
42,2026-06-21 21:48:09,1295,1295,19.0,14.6,34.6,36.4,1295,0,1.0
43,2026-06-21 21:49:09,385,386,25.0,22.3,40.2,43.6,385,0,1.0
44,2026-06-21 21:50:08,1965,1965,18.8,14.5,33.1,36.2,1965,0,1.0
45,2026-06-21 21:51:08,1366,1366,18.2,13.9,34.3,36.0,1366,0,1.0
46,2026-06-21 21:52:08,1985,1985,17.8,13.7,32.9,36.6,1985,0,1.0
47,2026-06-21 21:53:08,1515,1515,17.8,14.0,33.5,36.5,1515,0,1.0
48,2026-06-21 21:54:08,1086,1087,17.2,13.6,33.2,37.0,1086,0,1.0
49,2026-06-21 21:55:08,1639,1639,18.5,14.4,34.5,36.5,1639,0,1.0
50,2026-06-21 21:56:08,1792,1793,19.4,14.8,35.6,37.5,1792,0,1.0
51,2026-06-21 21:57:08,1878,1878,19.7,15.3,34.8,37.2,1878,0,1.0
52,2026-06-21 21:58:08,1455,1455,19.3,14.8,34.2,36.2,1455,0,1.0
53,2026-06-21 21:59:08,1697,1697,19.8,16.0,34.1,37.4,1697,0,1.0
54,2026-06-21 22:00:08,1859,1860,19.0,14.7,34.2,36.1,1859,0,1.0
55,2026-06-21 22:01:08,954,955,19.2,14.9,34.8,36.6,954,0,1.0
56,2026-06-21 22:02:08,1475,1475,18.9,14.9,33.7,36.1,1475,0,1.0
57,2026-06-21 22:03:08,1475,1475,18.6,14.4,33.5,36.0,1475,0,1.0
58,2026-06-21 22:04:08,1784,1784,17.9,13.8,33.8,36.5,1784,0,1.0
59,2026-06-21 22:05:08,1563,1564,17.1,13.5,32.4,36.4,1563,0,1.0
60,2026-06-21 22:06:08,861,862,15.6,12.8,29.3,35.9,861,0,1.0
61,2026-06-21 22:07:08,1143,1144,16.1,12.7,32.0,36.0,1143,0,1.0
62,2026-06-21 22:08:08,1637,1638,15.2,12.2,29.6,35.6,1637,0,1.0
63,2026-06-21 22:09:08,985,986,16.4,13.1,32.2,36.0,985,0,1.0
64,2026-06-21 22:10:08,1945,1945,17.3,13.3,32.9,36.3,1945,0,1.0
65,2026-06-21 22:11:08,1218,1218,16.1,12.5,32.0,36.0,1218,0,1.0
66,2026-06-21 22:12:08,1406,1407,16.7,13.1,32.4,36.2,1406,0,1.0
67,2026-06-21 22:13:08,1589,1590,16.7,13.3,31.4,36.4,1589,0,1.0
68,2026-06-21 22:14:08,819,820,16.4,13.4,32.2,35.5,819,0,1.0
69,2026-06-21 22:15:08,531,532,19.8,16.2,36.6,43.3,531,0,1.0
70,2026-06-21 22:16:08,1462,1462,16.7,13.1,31.8,36.3,1462,0,1.0
71,2026-06-21 22:17:08,905,905,16.8,13.2,32.3,36.2,905,0,1.0
72,2026-06-21 22:18:08,1801,1802,16.8,12.8,32.2,35.8,1801,0,1.0
73,2026-06-21 22:19:08,318,319,20.9,19.1,26.7,40.8,318,0,1.0
74,2026-06-21 22:20:08,789,790,13.0,10.8,18.1,33.3,789,0,1.0
75,2026-06-21 22:21:08,754,754,12.6,10.7,18.3,32.0,754,0,1.0
