step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-21 14:48:42,1437,1438,22.5,20.7,35.1,36.5,1437,0,1.0
1,2026-06-21 14:49:42,1535,1535,24.0,25.3,35.6,36.9,1535,0,1.0
2,2026-06-21 14:50:42,1031,1032,25.9,31.7,35.8,37.8,1031,0,1.0
3,2026-06-21 14:51:42,1088,1088,26.0,32.1,36.0,37.3,1088,0,1.0
4,2026-06-21 14:52:42,1214,1215,25.3,30.4,35.8,37.0,1214,0,1.0
5,2026-06-21 14:53:42,295,296,28.6,24.0,42.9,44.1,295,0,1.0
6,2026-06-21 14:54:42,1494,1495,17.6,13.6,32.9,36.3,1494,0,1.0
7,2026-06-21 14:55:42,1194,1195,15.8,12.3,31.3,35.9,1194,0,1.0
8,2026-06-21 14:56:42,1552,1552,16.1,12.3,31.9,36.2,1552,0,1.0
9,2026-06-21 14:57:42,1818,1818,17.2,13.7,32.6,36.3,1818,0,1.0
10,2026-06-21 14:58:42,539,540,18.0,13.5,35.1,43.1,539,0,1.0
11,2026-06-21 14:59:42,1830,1830,16.4,12.9,31.7,36.4,1830,0,1.0
12,2026-06-21 15:00:42,2374,2374,18.3,14.3,32.6,36.3,2374,0,1.0
13,2026-06-21 15:01:42,1590,1591,17.7,13.6,33.0,36.3,1590,0,1.0
14,2026-06-21 15:02:42,1142,1142,17.2,13.4,32.9,36.2,1142,0,1.0
15,2026-06-21 15:03:42,1289,1290,17.0,13.2,32.5,36.4,1289,0,1.0
16,2026-06-21 15:04:42,1459,1460,16.6,13.0,31.8,35.9,1459,0,1.0
17,2026-06-21 15:05:42,1056,1057,15.0,12.2,27.6,35.7,1056,0,1.0
18,2026-06-21 15:06:42,1674,1675,15.2,11.8,30.3,35.4,1674,0,1.0
19,2026-06-21 15:07:42,1061,1062,14.9,11.8,28.9,34.9,1061,0,1.0
20,2026-06-21 15:08:42,1372,1372,15.6,12.2,31.3,35.9,1372,0,1.0
21,2026-06-21 15:09:42,1609,1610,15.7,12.3,31.2,36.0,1609,0,1.0
22,2026-06-21 15:10:42,1231,1231,17.3,13.5,33.5,36.5,1231,0,1.0
23,2026-06-21 15:11:42,1330,1330,18.1,14.1,33.7,36.6,1330,0,1.0
24,2026-06-21 15:12:42,1184,1185,17.8,13.8,33.5,36.4,1184,0,1.0
25,2026-06-21 15:13:42,1024,1024,16.7,13.1,32.8,36.6,1024,0,1.0
26,2026-06-21 15:14:42,1370,1371,17.2,13.5,33.3,36.5,1370,0,1.0
27,2026-06-21 15:15:42,1941,1941,16.1,12.5,31.3,35.9,1941,0,1.0
28,2026-06-21 15:16:42,917,918,17.6,13.5,33.8,36.6,917,0,1.0
29,2026-06-21 15:17:42,1510,1511,17.6,13.6,33.7,36.2,1510,0,1.0
30,2026-06-21 15:18:42,1563,1563,17.0,13.5,32.4,36.1,1563,0,1.0
31,2026-06-21 15:19:42,1667,1667,17.8,13.7,33.0,38.0,1667,0,1.0
32,2026-06-21 15:20:42,1307,1308,19.4,15.0,35.1,36.8,1307,0,1.0
33,2026-06-21 15:21:41,1473,1473,19.4,14.6,35.2,37.4,1473,0,1.0
34,2026-06-21 15:22:41,1803,1802,19.8,15.6,35.4,37.2,1803,0,1.0
35,2026-06-21 15:23:42,1822,1822,20.9,17.1,35.5,36.7,1822,0,1.0
36,2026-06-21 15:24:42,1951,1951,22.6,20.7,35.7,37.4,1951,0,1.0
37,2026-06-21 15:25:42,1196,1196,20.3,16.0,35.1,36.6,1196,0,1.0
38,2026-06-21 15:26:41,1303,1304,21.1,17.4,35.0,36.2,1303,0,1.0
39,2026-06-21 15:27:41,1689,1689,20.5,17.3,34.6,37.7,1689,0,1.0
40,2026-06-21 15:28:41,1241,1242,19.3,15.0,35.1,36.8,1241,0,1.0
41,2026-06-21 15:29:41,1777,1777,17.2,13.6,32.6,36.6,1777,0,1.0
42,2026-06-21 15:30:41,1295,1296,18.2,14.3,34.6,36.7,1295,0,1.0
43,2026-06-21 15:31:41,385,386,24.9,22.2,39.4,43.8,385,0,1.0
44,2026-06-21 15:32:41,1965,1965,18.9,14.4,34.7,37.5,1965,0,1.0
45,2026-06-21 15:33:41,1366,1367,18.5,14.1,34.5,36.8,1366,0,1.0
46,2026-06-21 15:34:41,1985,1985,19.1,14.7,34.7,36.9,1985,0,1.0
47,2026-06-21 15:35:41,1515,1516,18.2,14.0,34.3,36.3,1515,0,1.0
48,2026-06-21 15:36:41,1086,1086,16.7,12.9,32.6,36.0,1086,0,1.0
49,2026-06-21 15:37:41,1639,1640,17.1,13.6,32.4,36.4,1639,0,1.0
50,2026-06-21 15:38:41,1792,1792,16.6,12.8,32.1,36.2,1792,0,1.0
51,2026-06-21 15:39:41,1878,1879,16.6,12.8,32.3,36.4,1878,0,1.0
52,2026-06-21 15:40:41,1455,1455,18.8,14.4,34.8,36.8,1455,0,1.0
53,2026-06-21 15:41:41,1697,1698,19.3,14.6,34.7,37.7,1697,0,1.0
54,2026-06-21 15:42:41,1859,1860,19.2,14.8,34.5,36.6,1859,0,1.0
55,2026-06-21 15:43:41,954,954,19.2,15.0,35.2,36.5,954,0,1.0
56,2026-06-21 15:44:41,1475,1476,19.7,15.5,35.2,37.3,1475,0,1.0
57,2026-06-21 15:45:41,1475,1475,18.9,14.5,34.6,36.3,1475,0,1.0
58,2026-06-21 15:46:41,1784,1784,20.1,16.2,35.8,37.2,1784,0,1.0
59,2026-06-21 15:47:41,1563,1564,19.7,15.5,35.1,36.6,1563,0,1.0
60,2026-06-21 15:48:41,861,862,17.8,13.6,33.9,36.7,861,0,1.0
61,2026-06-21 15:49:41,1143,1144,17.2,13.5,33.5,36.5,1143,0,1.0
62,2026-06-21 15:50:41,1637,1637,16.9,13.2,32.0,36.2,1637,0,1.0
63,2026-06-21 15:51:41,985,986,15.2,12.2,27.8,36.0,985,0,1.0
64,2026-06-21 15:52:41,1945,1944,16.2,12.5,32.3,36.3,1945,0,1.0
65,2026-06-21 15:53:41,1218,1219,15.9,12.6,31.1,36.3,1218,0,1.0
66,2026-06-21 15:54:41,1406,1407,16.2,13.0,31.5,36.0,1406,0,1.0
67,2026-06-21 15:55:41,1589,1590,16.8,13.2,32.2,36.2,1589,0,1.0
68,2026-06-21 15:56:41,819,820,15.3,12.4,26.8,35.8,819,0,1.0
69,2026-06-21 15:57:41,531,532,19.1,16.5,33.7,42.9,531,0,1.0
70,2026-06-21 15:58:41,1462,1463,16.2,12.6,31.9,35.6,1462,0,1.0
71,2026-06-21 15:59:41,905,906,16.6,13.4,31.7,36.2,905,0,1.0
72,2026-06-21 16:00:41,1801,1801,17.5,13.6,32.5,36.2,1801,0,1.0
73,2026-06-21 16:01:41,318,319,23.4,21.0,37.6,44.0,318,0,1.0
74,2026-06-21 16:02:40,789,790,16.2,13.0,31.5,35.9,789,0,1.0
75,2026-06-21 16:03:40,754,755,15.5,12.3,30.3,36.6,754,0,1.0
76,2026-06-21 16:04:40,1191,1192,13.5,11.0,24.0,34.1,1191,0,1.0
77,2026-06-21 16:05:40,1024,1025,13.0,10.9,20.1,32.6,1024,0,1.0
78,2026-06-21 16:06:40,1507,1508,12.2,10.7,14.5,31.8,1507,0,1.0
79,2026-06-21 16:07:40,1657,1658,10.9,10.6,11.4,16.4,1657,0,1.0
80,2026-06-21 16:08:40,1752,1753,11.5,10.7,12.8,29.7,1752,0,1.0
81,2026-06-21 16:09:40,728,729,12.3,10.8,14.9,32.6,728,0,1.0
82,2026-06-21 16:10:40,874,875,13.1,10.9,19.9,32.6,874,0,1.0
83,2026-06-21 16:11:40,1160,1161,13.2,10.8,23.6,32.6,1160,0,1.0
84,2026-06-21 16:12:40,1259,1260,12.9,10.8,20.9,32.7,1259,0,1.0
85,2026-06-21 16:13:40,1349,1350,11.9,10.7,13.9,31.8,1349,0,1.0
86,2026-06-21 16:14:40,1398,1398,12.3,10.7,16.2,32.2,1398,0,1.0
87,2026-06-21 16:15:40,1378,1379,12.3,10.7,15.4,31.8,1378,0,1.0
88,2026-06-21 16:16:40,702,703,11.7,10.7,13.4,32.1,702,0,1.0
89,2026-06-21 16:17:40,1609,1610,12.2,10.7,15.0,31.8,1609,0,1.0
90,2026-06-21 16:18:40,1172,1173,11.8,10.7,13.9,31.7,1172,0,1.0
91,2026-06-21 16:19:40,1902,1903,12.1,10.7,14.6,33.0,1902,0,1.0
92,2026-06-21 16:20:40,2212,2212,12.1,10.7,14.4,32.2,2212,0,1.0
93,2026-06-21 16:21:40,1445,1446,11.2,10.7,12.1,25.7,1445,0,1.0
94,2026-06-21 16:22:40,1738,1739,12.6,10.7,17.9,32.4,1738,0,1.0
95,2026-06-21 16:23:40,1024,1025,13.0,10.8,20.7,32.8,1024,0,1.0
96,2026-06-21 16:24:40,1051,1051,13.4,10.8,24.5,32.6,1051,0,1.0
97,2026-06-21 16:25:40,1564,1564,14.3,10.9,26.6,33.0,1564,0,1.0
98,2026-06-21 16:26:40,1377,1378,13.6,10.9,25.0,32.9,1377,0,1.0
99,2026-06-21 16:27:40,1326,1327,14.1,10.9,26.6,33.2,1326,0,1.0
100,2026-06-21 16:28:40,1256,1257,15.2,11.3,29.7,34.1,1256,0,1.0
101,2026-06-21 16:29:40,1795,1796,15.6,11.4,30.9,35.4,1795,0,1.0
102,2026-06-21 16:30:40,2038,2038,15.8,11.9,30.7,34.9,2038,0,1.0
103,2026-06-21 16:31:40,1634,1635,16.1,12.0,31.5,35.3,1634,0,1.0
104,2026-06-21 16:32:40,1890,1890,14.7,10.9,28.8,33.9,1890,0,1.0
105,2026-06-21 16:33:40,1136,1137,15.1,11.3,29.4,34.7,1136,0,1.0
106,2026-06-21 16:34:40,1893,1893,16.0,12.0,31.3,35.8,1893,0,1.0
107,2026-06-21 16:35:40,1913,1913,15.8,11.9,31.5,35.8,1913,0,1.0
108,2026-06-21 16:36:40,1586,1587,15.6,11.8,31.3,35.7,1586,0,1.0
109,2026-06-21 16:37:40,1603,1603,16.2,12.3,31.9,36.1,1603,0,1.0
110,2026-06-21 16:38:40,1637,1638,15.8,11.8,31.5,36.0,1637,0,1.0
111,2026-06-21 16:39:40,1495,1496,15.5,11.7,31.3,35.8,1495,0,1.0
112,2026-06-21 16:40:40,1188,1189,15.8,12.3,31.5,36.1,1188,0,1.0
113,2026-06-21 16:41:39,1533,1534,16.6,12.6,32.4,36.2,1533,0,1.0
114,2026-06-21 16:42:39,2066,2066,17.2,13.1,32.5,36.3,2066,0,1.0
115,2026-06-21 16:43:39,1700,1701,16.8,13.2,32.3,37.5,1700,0,1.0
116,2026-06-21 16:44:39,1384,1385,16.9,13.3,32.2,36.3,1384,0,1.0
117,2026-06-21 16:45:39,2112,2112,17.5,13.7,32.6,36.4,2112,0,1.0
118,2026-06-21 16:46:39,1760,1761,17.3,13.5,32.6,36.4,1760,0,1.0
119,2026-06-21 16:47:39,1923,1922,18.6,14.1,34.0,37.1,1923,0,1.0
