step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-21 16:56:03,1437,1438,23.9,24.8,35.6,37.1,1437,0,1.0
1,2026-06-21 16:57:03,1535,1535,20.6,16.5,34.9,36.6,1535,0,1.0
2,2026-06-21 16:58:03,1031,1032,16.1,12.3,31.7,35.9,1031,0,1.0
3,2026-06-21 16:59:03,1088,1089,15.4,12.1,29.9,35.6,1088,0,1.0
4,2026-06-21 17:00:03,1214,1215,16.2,12.8,31.8,35.9,1214,0,1.0
5,2026-06-21 17:01:03,295,296,22.5,20.8,31.8,42.6,295,0,1.0
6,2026-06-21 17:02:02,1494,1495,16.4,12.9,32.3,36.7,1494,0,1.0
7,2026-06-21 17:03:02,1194,1194,17.2,13.1,33.5,36.3,1194,0,1.0
8,2026-06-21 17:04:02,1552,1552,17.7,13.4,33.2,36.3,1552,0,1.0
9,2026-06-21 17:05:02,1818,1818,17.1,13.3,32.2,36.2,1818,0,1.0
10,2026-06-21 17:06:02,539,540,20.2,14.9,39.4,44.7,539,0,1.0
11,2026-06-21 17:07:02,1830,1830,17.0,13.2,32.2,36.3,1830,0,1.0
12,2026-06-21 17:08:02,2374,2374,16.8,13.1,32.1,36.6,2374,0,1.0
13,2026-06-21 17:09:02,1590,1591,16.0,12.1,31.7,36.0,1590,0,1.0
14,2026-06-21 17:10:02,1142,1143,15.0,12.0,29.0,35.4,1142,0,1.0
15,2026-06-21 17:11:02,1289,1289,15.8,12.3,31.8,36.3,1289,0,1.0
16,2026-06-21 17:12:02,1459,1460,15.9,12.4,31.7,35.8,1459,0,1.0
17,2026-06-21 17:13:02,1056,1057,16.1,12.7,31.7,36.2,1056,0,1.0
18,2026-06-21 17:14:02,1674,1675,17.5,13.6,33.0,38.0,1674,0,1.0
19,2026-06-21 17:15:02,1061,1061,17.6,13.7,33.7,36.5,1061,0,1.0
20,2026-06-21 17:16:02,1372,1373,16.9,13.3,32.6,36.3,1372,0,1.0
21,2026-06-21 17:17:02,1609,1609,17.1,13.0,32.7,36.9,1609,0,1.0
22,2026-06-21 17:18:02,1231,1232,16.5,13.0,32.0,36.0,1231,0,1.0
23,2026-06-21 17:19:02,1330,1331,16.5,12.8,32.1,36.0,1330,0,1.0
24,2026-06-21 17:20:02,1184,1185,17.6,13.5,33.4,36.4,1184,0,1.0
25,2026-06-21 17:21:02,1024,1025,17.1,13.1,33.2,36.1,1024,0,1.0
26,2026-06-21 17:22:02,1370,1370,17.2,13.4,33.0,36.5,1370,0,1.0
27,2026-06-21 17:23:02,1941,1941,17.7,13.9,33.1,36.3,1941,0,1.0
28,2026-06-21 17:24:02,917,918,18.9,14.2,34.8,36.7,917,0,1.0
29,2026-06-21 17:25:02,1510,1511,19.4,15.0,34.9,36.4,1510,0,1.0
30,2026-06-21 17:26:02,1563,1563,19.7,15.6,35.1,36.5,1563,0,1.0
31,2026-06-21 17:27:02,1667,1668,21.2,17.5,35.3,38.1,1667,0,1.0
32,2026-06-21 17:28:02,1307,1307,21.4,17.8,35.3,37.1,1307,0,1.0
33,2026-06-21 17:29:02,1473,1473,20.6,16.9,34.9,36.5,1473,0,1.0
34,2026-06-21 17:30:02,1803,1802,20.6,17.4,35.3,36.2,1803,0,1.0
