step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-21 12:17:55,1437,1437,22.8,21.5,35.5,37.9,1437,0,1.0
1,2026-06-21 12:18:55,1535,1535,24.2,26.6,35.2,36.4,1535,0,1.0
2,2026-06-21 12:19:55,1031,1032,27.1,32.8,35.7,36.9,1031,0,1.0
3,2026-06-21 12:20:55,1088,1089,26.8,32.5,35.8,37.5,1088,0,1.0
4,2026-06-21 12:21:55,1214,1214,25.9,31.7,35.7,37.1,1214,0,1.0
5,2026-06-21 12:22:55,295,296,28.9,24.5,43.0,44.8,295,0,1.0
6,2026-06-21 12:23:55,1494,1495,17.8,14.0,32.5,36.0,1494,0,1.0
7,2026-06-21 12:24:55,1194,1195,15.7,12.0,31.3,35.7,1194,0,1.0
8,2026-06-21 12:25:55,1552,1553,16.4,12.5,32.0,36.1,1552,0,1.0
9,2026-06-21 12:26:55,1818,1818,17.5,13.5,32.8,36.5,1818,0,1.0
10,2026-06-21 12:27:55,539,540,17.2,12.9,32.2,43.3,539,0,1.0
11,2026-06-21 12:28:54,1830,1831,17.1,13.3,32.5,36.2,1830,0,1.0
12,2026-06-21 12:29:54,2374,2374,17.9,13.9,32.9,36.6,2374,0,1.0
13,2026-06-21 12:30:54,1590,1590,17.9,13.8,33.4,36.2,1590,0,1.0
14,2026-06-21 12:31:54,1142,1142,18.2,14.0,34.0,37.2,1142,0,1.0
15,2026-06-21 12:32:54,1289,1290,18.5,14.0,34.5,36.3,1289,0,1.0
