step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-22 14:12:17,1437,1437,15.5,11.9,30.6,35.7,1437,0,1.0
1,2026-06-22 14:13:17,1535,1536,15.4,11.8,30.5,35.7,1535,0,1.0
2,2026-06-22 14:14:17,1031,1032,14.6,11.8,26.1,36.0,1031,0,1.0
3,2026-06-22 14:15:17,1088,1089,15.1,11.6,30.0,35.6,1088,0,1.0
4,2026-06-22 14:16:17,1214,1215,14.7,11.4,28.2,35.3,1214,0,1.0
5,2026-06-22 14:17:17,295,296,21.9,20.2,30.6,42.6,295,0,1.0
6,2026-06-22 14:18:17,1494,1494,16.3,12.4,32.0,36.4,1494,0,1.0
7,2026-06-22 14:19:17,1194,1195,15.7,12.2,31.7,36.2,1194,0,1.0
8,2026-06-22 14:20:17,1552,1553,16.5,12.8,32.0,36.0,1552,0,1.0
9,2026-06-22 14:21:17,1818,1819,17.1,13.2,32.4,35.7,1818,0,1.0
10,2026-06-22 14:22:17,539,540,19.9,15.1,39.5,44.9,539,0,1.0
11,2026-06-22 14:23:17,1830,1831,17.2,13.3,32.1,36.0,1830,0,1.0
12,2026-06-22 14:24:17,2374,2374,17.6,13.5,32.3,36.0,2374,0,1.0
13,2026-06-22 14:25:17,1590,1590,29.4,32.4,35.1,36.8,1590,0,1.0
14,2026-06-22 14:26:17,1142,1142,33.6,34.9,35.9,37.6,1142,0,1.0
15,2026-06-22 14:27:17,1289,1290,30.9,33.8,35.7,37.2,1289,0,1.0
16,2026-06-22 14:28:17,1459,1459,22.9,22.2,35.1,36.6,1459,0,1.0
17,2026-06-22 14:29:17,1056,1056,24.4,26.3,35.6,37.1,1056,0,1.0
18,2026-06-22 14:30:17,1674,1674,25.3,30.7,34.9,37.9,1674,0,1.0
19,2026-06-22 14:31:17,1061,1061,26.2,32.2,35.6,37.5,1061,0,1.0
20,2026-06-22 14:32:17,1372,1373,25.0,29.9,35.5,37.1,1372,0,1.0
21,2026-06-22 14:33:17,1609,1609,22.0,20.1,35.0,36.4,1609,0,1.0
22,2026-06-22 14:34:17,1231,1232,17.4,13.3,33.1,36.2,1231,0,1.0
23,2026-06-22 14:35:17,1330,1331,16.1,12.4,32.1,36.2,1330,0,1.0
24,2026-06-22 14:36:16,1184,1185,15.8,12.2,31.6,35.7,1184,0,1.0
25,2026-06-22 14:37:16,1024,1024,16.8,13.1,33.0,36.6,1024,0,1.0
26,2026-06-22 14:38:16,1370,1370,16.0,12.5,31.7,36.2,1370,0,1.0
27,2026-06-22 14:39:16,1941,1941,16.8,13.1,32.8,35.8,1941,0,1.0
28,2026-06-22 14:40:16,917,918,17.9,13.4,33.9,36.5,917,0,1.0
29,2026-06-22 14:41:16,1510,1510,17.8,13.7,33.2,36.4,1510,0,1.0
30,2026-06-22 14:42:16,1563,1563,17.9,13.8,33.6,36.6,1563,0,1.0
31,2026-06-22 14:43:16,1667,1667,17.5,13.6,32.9,38.2,1667,0,1.0
32,2026-06-22 14:44:16,1307,1308,16.8,13.1,32.3,36.8,1307,0,1.0
33,2026-06-22 14:45:16,1473,1474,16.4,12.7,32.4,36.6,1473,0,1.0
34,2026-06-22 14:46:16,1803,1803,16.6,12.5,32.2,36.3,1803,0,1.0
35,2026-06-22 14:47:16,1822,1822,15.9,12.1,31.5,36.2,1822,0,1.0
36,2026-06-22 14:48:16,1951,1951,16.6,12.7,32.8,36.3,1951,0,1.0
37,2026-06-22 14:49:16,1196,1197,16.7,13.1,32.7,36.7,1196,0,1.0
38,2026-06-22 14:50:16,1303,1303,17.0,13.3,32.4,36.0,1303,0,1.0
39,2026-06-22 14:51:16,1689,1689,17.5,13.7,32.7,37.7,1689,0,1.0
40,2026-06-22 14:52:16,1241,1242,17.5,13.5,33.1,36.5,1241,0,1.0
41,2026-06-22 14:53:16,1777,1778,16.9,13.2,32.4,36.5,1777,0,1.0
42,2026-06-22 14:54:16,1295,1296,16.4,12.7,32.3,36.1,1295,0,1.0
43,2026-06-22 14:55:16,385,386,23.1,21.4,35.2,43.8,385,0,1.0
44,2026-06-22 14:56:16,1965,1965,17.6,13.5,32.7,36.4,1965,0,1.0
45,2026-06-22 14:57:16,1366,1366,18.2,13.8,33.6,36.1,1366,0,1.0
46,2026-06-22 14:58:16,1985,1985,16.9,13.1,32.4,36.1,1985,0,1.0
47,2026-06-22 14:59:16,1515,1516,17.5,13.6,32.7,36.4,1515,0,1.0
48,2026-06-22 15:00:16,1086,1087,19.3,14.7,35.0,37.0,1086,0,1.0
49,2026-06-22 15:01:16,1639,1639,19.2,14.7,35.0,37.2,1639,0,1.0
50,2026-06-22 15:02:16,1792,1792,19.8,15.7,35.5,37.8,1792,0,1.0
51,2026-06-22 15:03:16,1878,1878,20.9,17.3,35.0,36.7,1878,0,1.0
52,2026-06-22 15:04:16,1455,1455,22.0,19.6,35.4,37.3,1455,0,1.0
53,2026-06-22 15:05:16,1697,1698,20.2,16.0,35.0,37.7,1697,0,1.0
54,2026-06-22 15:06:16,1859,1858,21.1,17.6,35.3,37.1,1859,0,1.0
55,2026-06-22 15:07:16,954,954,20.3,15.6,35.2,37.0,954,0,1.0
56,2026-06-22 15:08:16,1475,1476,18.4,14.2,34.5,37.2,1475,0,1.0
57,2026-06-22 15:09:16,1475,1476,17.5,13.7,33.0,36.4,1475,0,1.0
58,2026-06-22 15:10:16,1784,1784,18.1,13.8,33.0,36.9,1784,0,1.0
59,2026-06-22 15:11:16,1563,1564,18.1,14.1,33.1,36.3,1563,0,1.0
60,2026-06-22 15:12:16,861,861,18.8,14.5,34.6,37.3,861,0,1.0
61,2026-06-22 15:13:16,1143,1143,18.7,14.3,34.9,37.3,1143,0,1.0
62,2026-06-22 15:14:16,1637,1638,19.1,14.5,34.9,37.7,1637,0,1.0
63,2026-06-22 15:15:16,985,986,18.4,14.1,34.1,36.3,985,0,1.0
64,2026-06-22 15:16:16,1945,1945,17.2,13.4,32.9,36.0,1945,0,1.0
65,2026-06-22 15:17:16,1218,1219,17.2,13.1,34.0,35.9,1218,0,1.0
66,2026-06-22 15:18:16,1406,1406,17.1,13.4,33.2,36.6,1406,0,1.0
67,2026-06-22 15:19:16,1589,1589,17.2,13.4,32.6,35.9,1589,0,1.0
68,2026-06-22 15:20:16,819,820,18.5,14.0,34.2,36.1,819,0,1.0
69,2026-06-22 15:21:16,531,532,22.1,18.8,41.1,43.7,531,0,1.0
70,2026-06-22 15:22:16,1462,1462,19.6,14.9,34.8,36.6,1462,0,1.0
71,2026-06-22 15:23:16,905,906,19.7,14.8,35.4,37.0,905,0,1.0
72,2026-06-22 15:24:16,1801,1801,20.1,15.9,35.5,36.9,1801,0,1.0
73,2026-06-22 15:25:16,318,319,25.7,22.4,42.6,44.4,318,0,1.0
