step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-22 10:08:41,1437,1438,15.4,11.7,30.9,35.4,1437,0,1.0
1,2026-06-22 10:09:41,1535,1536,15.5,12.0,30.6,35.3,1535,0,1.0
2,2026-06-22 10:10:41,1031,1032,14.7,11.4,28.9,35.4,1031,0,1.0
3,2026-06-22 10:11:41,1088,1089,14.9,11.4,29.1,35.0,1088,0,1.0
4,2026-06-22 10:12:41,1214,1215,15.2,11.9,29.8,35.6,1214,0,1.0
5,2026-06-22 10:13:41,295,296,22.7,20.5,34.1,43.5,295,0,1.0
6,2026-06-22 10:14:41,1494,1495,15.4,11.9,30.8,35.9,1494,0,1.0
7,2026-06-22 10:15:41,1194,1195,16.3,12.8,31.8,36.3,1194,0,1.0
8,2026-06-22 10:16:41,1552,1552,16.3,12.7,31.9,36.1,1552,0,1.0
9,2026-06-22 10:17:41,1818,1819,16.8,12.9,32.4,36.5,1818,0,1.0
10,2026-06-22 10:18:41,539,540,19.0,14.5,35.7,43.8,539,0,1.0
11,2026-06-22 10:19:41,1830,1830,18.1,13.9,34.2,36.5,1830,0,1.0
12,2026-06-22 10:20:40,2374,2373,29.7,32.3,33.2,36.1,2374,0,1.0
13,2026-06-22 10:21:41,1590,1590,31.8,32.3,34.9,36.9,1590,0,1.0
14,2026-06-22 10:22:41,1142,1142,27.1,32.8,35.6,37.5,1142,0,1.0
15,2026-06-22 10:23:41,1289,1289,22.8,21.1,35.4,37.5,1289,0,1.0
16,2026-06-22 10:24:41,1459,1460,24.9,30.1,35.3,36.4,1459,0,1.0
17,2026-06-22 10:25:40,1056,1056,26.3,32.5,36.1,38.7,1056,0,1.0
18,2026-06-22 10:26:40,1674,1674,25.0,29.3,35.2,38.0,1674,0,1.0
19,2026-06-22 10:27:41,1061,1062,24.4,26.3,35.7,37.4,1061,0,1.0
20,2026-06-22 10:28:40,1372,1372,20.1,15.5,34.7,36.7,1372,0,1.0
21,2026-06-22 10:29:40,1609,1609,16.7,12.6,32.4,36.6,1609,0,1.0
22,2026-06-22 10:30:40,1231,1232,15.3,12.0,30.6,35.9,1231,0,1.0
23,2026-06-22 10:31:40,1330,1331,16.4,12.7,32.2,36.0,1330,0,1.0
24,2026-06-22 10:32:40,1184,1185,16.0,12.4,32.2,36.0,1184,0,1.0
25,2026-06-22 10:33:40,1024,1025,15.8,12.2,31.4,35.7,1024,0,1.0
26,2026-06-22 10:34:40,1370,1370,17.0,13.4,32.2,36.0,1370,0,1.0
27,2026-06-22 10:35:40,1941,1941,17.9,13.9,33.0,36.3,1941,0,1.0
28,2026-06-22 10:36:40,917,918,17.5,13.6,33.5,37.1,917,0,1.0
29,2026-06-22 10:37:40,1510,1510,17.7,13.9,33.0,36.2,1510,0,1.0
30,2026-06-22 10:38:40,1563,1563,17.5,13.6,32.8,36.3,1563,0,1.0
31,2026-06-22 10:39:40,1667,1668,16.6,12.7,31.8,36.3,1667,0,1.0
32,2026-06-22 10:40:40,1307,1308,15.2,11.9,29.6,35.8,1307,0,1.0
33,2026-06-22 10:41:40,1473,1474,16.1,12.4,31.9,35.6,1473,0,1.0
34,2026-06-22 10:42:40,1803,1803,15.8,12.2,31.0,35.8,1803,0,1.0
35,2026-06-22 10:43:40,1822,1823,16.0,12.3,31.6,35.9,1822,0,1.0
36,2026-06-22 10:44:40,1951,1951,17.0,13.2,32.8,36.6,1951,0,1.0
37,2026-06-22 10:45:40,1196,1196,17.8,13.8,34.2,36.9,1196,0,1.0
38,2026-06-22 10:46:40,1303,1303,18.0,13.9,34.3,36.7,1303,0,1.0
39,2026-06-22 10:47:40,1689,1690,17.7,13.8,32.7,37.7,1689,0,1.0
40,2026-06-22 10:48:40,1241,1242,16.9,13.2,32.2,37.2,1241,0,1.0
41,2026-06-22 10:49:40,1777,1778,17.2,13.2,32.4,36.4,1777,0,1.0
42,2026-06-22 10:50:40,1295,1296,17.2,13.4,33.0,36.3,1295,0,1.0
43,2026-06-22 10:51:40,385,386,24.5,21.6,38.8,43.9,385,0,1.0
44,2026-06-22 10:52:40,1965,1965,17.1,13.3,32.6,36.8,1965,0,1.0
45,2026-06-22 10:53:40,1366,1367,16.8,13.1,32.3,37.1,1366,0,1.0
46,2026-06-22 10:54:40,1985,1985,18.4,14.2,33.4,37.3,1985,0,1.0
47,2026-06-22 10:55:40,1515,1516,19.6,15.1,35.1,36.6,1515,0,1.0
48,2026-06-22 10:56:40,1086,1087,19.6,15.2,35.3,37.0,1086,0,1.0
49,2026-06-22 10:57:40,1639,1639,19.7,15.6,35.1,37.2,1639,0,1.0
50,2026-06-22 10:58:40,1792,1792,21.3,17.9,35.6,37.1,1792,0,1.0
51,2026-06-22 10:59:40,1878,1879,20.7,17.2,34.4,36.6,1878,0,1.0
52,2026-06-22 11:00:40,1455,1455,20.7,17.1,34.9,36.7,1455,0,1.0
53,2026-06-22 11:01:40,1697,1697,20.5,16.7,34.3,37.6,1697,0,1.0
54,2026-06-22 11:02:40,1859,1860,19.4,15.0,34.3,36.6,1859,0,1.0
55,2026-06-22 11:03:40,954,954,17.7,13.6,33.4,36.4,954,0,1.0
56,2026-06-22 11:04:40,1475,1475,17.5,13.7,33.5,36.7,1475,0,1.0
57,2026-06-22 11:05:40,1475,1476,18.0,13.8,34.3,36.8,1475,0,1.0
58,2026-06-22 11:06:40,1784,1784,18.7,14.3,35.2,37.0,1784,0,1.0
59,2026-06-22 11:07:40,1563,1563,18.5,14.3,34.3,36.6,1563,0,1.0
60,2026-06-22 11:08:40,861,862,19.0,14.4,35.1,37.3,861,0,1.0
61,2026-06-22 11:09:40,1143,1143,19.0,14.6,34.6,36.5,1143,0,1.0
62,2026-06-22 11:10:40,1637,1638,17.8,13.6,33.7,36.4,1637,0,1.0
63,2026-06-22 11:11:40,985,986,17.5,13.5,33.2,37.1,985,0,1.0
64,2026-06-22 11:12:40,1945,1945,17.2,13.4,32.9,36.6,1945,0,1.0
65,2026-06-22 11:13:40,1218,1219,16.5,13.1,32.1,36.2,1218,0,1.0
66,2026-06-22 11:14:40,1406,1407,17.7,13.8,34.1,36.3,1406,0,1.0
67,2026-06-22 11:15:40,1589,1590,18.7,14.2,34.4,36.6,1589,0,1.0
68,2026-06-22 11:16:40,819,820,19.0,14.6,34.6,36.2,819,0,1.0
69,2026-06-22 11:17:40,531,532,22.1,18.4,40.7,43.7,531,0,1.0
70,2026-06-22 11:18:39,1462,1463,19.3,15.0,34.4,36.3,1462,0,1.0
71,2026-06-22 11:19:39,905,905,18.9,14.6,34.5,36.6,905,0,1.0
72,2026-06-22 11:20:39,1801,1802,19.5,15.0,35.4,36.4,1801,0,1.0
73,2026-06-22 11:21:39,318,319,24.9,22.5,40.1,43.6,318,0,1.0
74,2026-06-22 11:22:39,789,790,18.2,14.2,33.8,35.9,789,0,1.0
75,2026-06-22 11:23:39,754,755,17.4,13.6,33.7,35.6,754,0,1.0
76,2026-06-22 11:24:39,1191,1191,17.9,13.9,33.8,36.7,1191,0,1.0
77,2026-06-22 11:25:39,1024,1025,16.2,12.4,32.4,36.2,1024,0,1.0
78,2026-06-22 11:26:39,1507,1508,16.1,12.4,32.0,35.9,1507,0,1.0
79,2026-06-22 11:27:39,1657,1657,16.5,12.8,32.0,35.6,1657,0,1.0
80,2026-06-22 11:28:39,1752,1753,16.7,12.9,32.0,36.7,1752,0,1.0
81,2026-06-22 11:29:39,728,729,16.5,13.1,31.0,36.5,728,0,1.0
82,2026-06-22 11:30:39,874,875,15.4,12.3,29.4,35.7,874,0,1.0
83,2026-06-22 11:31:39,1160,1161,16.4,13.0,32.0,36.2,1160,0,1.0
84,2026-06-22 11:32:39,1259,1260,16.8,13.1,32.6,36.4,1259,0,1.0
85,2026-06-22 11:33:39,1349,1349,16.8,13.2,32.5,36.1,1349,0,1.0
86,2026-06-22 11:34:39,1398,1399,17.6,13.7,32.9,36.4,1398,0,1.0
87,2026-06-22 11:35:39,1378,1379,17.2,13.4,33.4,36.6,1378,0,1.0
88,2026-06-22 11:36:39,702,703,16.2,12.9,32.1,36.8,702,0,1.0
89,2026-06-22 11:37:39,1609,1610,16.7,12.8,31.7,36.3,1609,0,1.0
90,2026-06-22 11:38:39,1172,1173,15.1,11.2,30.8,35.6,1172,0,1.0
91,2026-06-22 11:39:39,1902,1903,13.9,10.8,25.5,33.6,1902,0,1.0
92,2026-06-22 11:40:39,2212,2212,13.2,10.7,23.5,32.8,2212,0,1.0
93,2026-06-22 11:41:39,1445,1446,11.7,10.6,13.4,31.5,1445,0,1.0
94,2026-06-22 11:42:39,1738,1739,11.3,10.6,12.7,26.7,1738,0,1.0
95,2026-06-22 11:43:39,1024,1025,11.6,10.7,13.6,28.9,1024,0,1.0
96,2026-06-22 11:44:39,1051,1051,12.6,10.7,18.9,32.3,1051,0,1.0
97,2026-06-22 11:45:39,1564,1565,13.4,10.7,24.3,32.3,1564,0,1.0
98,2026-06-22 11:46:39,1377,1378,12.6,10.6,18.2,31.8,1377,0,1.0
