step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-22 12:10:27,1437,1438,15.0,11.6,29.4,35.7,1437,0,1.0
1,2026-06-22 12:11:27,1535,1536,15.4,11.9,30.5,35.7,1535,0,1.0
2,2026-06-22 12:12:27,1031,1032,15.0,11.9,27.6,35.5,1031,0,1.0
3,2026-06-22 12:13:27,1088,1089,15.2,11.6,29.5,35.6,1088,0,1.0
4,2026-06-22 12:14:27,1214,1215,14.9,11.6,28.8,35.4,1214,0,1.0
5,2026-06-22 12:15:27,295,296,22.1,20.5,30.7,42.4,295,0,1.0
6,2026-06-22 12:16:27,1494,1495,15.4,11.9,30.5,36.0,1494,0,1.0
7,2026-06-22 12:17:27,1194,1195,16.0,12.3,31.9,36.2,1194,0,1.0
8,2026-06-22 12:18:27,1552,1552,16.8,12.9,32.3,36.1,1552,0,1.0
9,2026-06-22 12:19:27,1818,1818,17.2,13.3,32.6,36.7,1818,0,1.0
10,2026-06-22 12:20:27,539,540,20.3,15.4,39.4,43.9,539,0,1.0
11,2026-06-22 12:21:27,1830,1830,17.6,13.5,34.3,36.4,1830,0,1.0
12,2026-06-22 12:22:27,2374,2373,22.3,23.4,33.1,36.6,2374,0,1.0
13,2026-06-22 12:23:27,1590,1590,31.9,32.6,35.0,36.5,1590,0,1.0
14,2026-06-22 12:24:27,1142,1142,33.9,35.4,36.2,38.3,1142,0,1.0
15,2026-06-22 12:25:27,1289,1290,23.1,22.2,35.4,37.5,1289,0,1.0
16,2026-06-22 12:26:27,1459,1459,23.9,25.7,35.3,37.2,1459,0,1.0
17,2026-06-22 12:27:27,1056,1057,26.3,32.6,35.9,37.1,1056,0,1.0
18,2026-06-22 12:28:27,1674,1674,25.5,31.0,35.1,37.9,1674,0,1.0
19,2026-06-22 12:29:27,1061,1061,25.8,31.8,35.9,37.3,1061,0,1.0
20,2026-06-22 12:30:27,1372,1372,22.8,21.0,35.4,36.6,1372,0,1.0
21,2026-06-22 12:31:27,1609,1609,17.4,13.4,32.7,36.0,1609,0,1.0
22,2026-06-22 12:32:27,1231,1232,15.6,12.1,29.9,35.8,1231,0,1.0
23,2026-06-22 12:33:27,1330,1331,15.7,12.3,31.1,36.1,1330,0,1.0
24,2026-06-22 12:34:27,1184,1185,16.8,13.4,32.3,35.8,1184,0,1.0
