step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-22 08:06:56,1437,1437,32.6,33.6,35.8,37.3,1437,0,1.0
1,2026-06-22 08:07:56,1535,1535,32.8,33.0,35.6,36.8,1535,0,1.0
2,2026-06-22 08:08:56,1031,1031,34.5,35.2,36.1,38.2,1031,0,1.0
3,2026-06-22 08:09:56,1088,1088,34.5,35.2,36.1,39.2,1088,0,1.0
4,2026-06-22 08:10:56,1214,1214,34.2,35.0,36.1,38.5,1214,0,1.0
5,2026-06-22 08:11:56,295,296,35.4,41.8,43.9,45.6,295,0,1.0
6,2026-06-22 08:12:56,1494,1494,33.4,33.7,35.8,38.0,1494,0,1.0
7,2026-06-22 08:13:56,1194,1194,34.1,35.1,36.1,38.4,1194,0,1.0
8,2026-06-22 08:14:56,1552,1552,32.3,32.7,35.1,36.5,1552,0,1.0
9,2026-06-22 08:15:56,1818,1818,31.5,32.1,35.3,36.5,1818,0,1.0
10,2026-06-22 08:16:56,539,540,34.2,35.3,37.7,43.7,539,0,1.0
11,2026-06-22 08:17:56,1830,1830,31.7,32.2,35.0,36.6,1830,0,1.0
12,2026-06-22 08:18:56,2374,2374,30.5,31.9,33.0,35.5,2374,0,1.0
13,2026-06-22 08:19:56,1590,1590,30.4,32.6,35.2,36.9,1590,0,1.0
14,2026-06-22 08:20:56,1142,1143,22.3,19.2,35.3,37.6,1142,0,1.0
15,2026-06-22 08:21:56,1289,1289,24.3,26.5,35.4,36.9,1289,0,1.0
16,2026-06-22 08:22:56,1459,1459,24.8,28.8,35.2,36.3,1459,0,1.0
17,2026-06-22 08:23:56,1056,1056,25.9,31.6,35.4,37.5,1056,0,1.0
18,2026-06-22 08:24:56,1674,1674,24.1,27.3,34.8,38.0,1674,0,1.0
19,2026-06-22 08:25:56,1061,1061,22.3,19.6,35.2,36.9,1061,0,1.0
20,2026-06-22 08:26:56,1372,1373,17.6,13.6,32.9,35.8,1372,0,1.0
21,2026-06-22 08:27:56,1609,1609,16.5,12.4,31.9,35.9,1609,0,1.0
22,2026-06-22 08:28:56,1231,1232,16.3,12.8,31.9,36.0,1231,0,1.0
23,2026-06-22 08:29:56,1330,1331,16.8,13.0,33.1,36.5,1330,0,1.0
24,2026-06-22 08:30:56,1184,1185,16.7,13.1,32.9,36.4,1184,0,1.0
25,2026-06-22 08:31:56,1024,1025,16.4,12.9,32.0,36.1,1024,0,1.0
26,2026-06-22 08:32:56,1370,1370,18.0,13.7,33.4,36.4,1370,0,1.0
27,2026-06-22 08:33:56,1941,1940,18.2,14.0,33.1,36.3,1941,0,1.0
28,2026-06-22 08:34:56,917,918,17.8,13.7,33.4,35.9,917,0,1.0
29,2026-06-22 08:35:56,1510,1510,17.4,13.4,33.0,36.1,1510,0,1.0
30,2026-06-22 08:36:56,1563,1563,16.9,13.2,32.7,36.1,1563,0,1.0
31,2026-06-22 08:37:56,1667,1667,16.6,12.7,32.1,36.6,1667,0,1.0
32,2026-06-22 08:38:56,1307,1308,16.3,12.7,31.9,36.2,1307,0,1.0
33,2026-06-22 08:39:56,1473,1474,16.2,12.6,31.8,35.9,1473,0,1.0
34,2026-06-22 08:40:56,1803,1804,16.5,12.4,32.4,36.3,1803,0,1.0
35,2026-06-22 08:41:56,1822,1823,16.8,13.1,32.4,36.5,1822,0,1.0
36,2026-06-22 08:42:56,1951,1951,17.4,13.4,32.9,36.5,1951,0,1.0
37,2026-06-22 08:43:56,1196,1197,18.1,14.1,34.1,36.6,1196,0,1.0
38,2026-06-22 08:44:56,1303,1304,18.0,14.0,33.7,36.7,1303,0,1.0
39,2026-06-22 08:45:56,1689,1690,17.2,13.6,32.4,37.7,1689,0,1.0
40,2026-06-22 08:46:56,1241,1242,17.4,13.3,34.0,36.4,1241,0,1.0
41,2026-06-22 08:47:56,1777,1778,17.1,13.2,32.6,36.4,1777,0,1.0
42,2026-06-22 08:48:56,1295,1295,18.6,14.3,34.5,36.3,1295,0,1.0
43,2026-06-22 08:49:56,385,386,23.5,21.6,36.1,44.5,385,0,1.0
44,2026-06-22 08:50:55,1965,1965,17.7,13.7,32.8,36.2,1965,0,1.0
45,2026-06-22 08:51:55,1366,1367,17.8,13.8,33.6,36.4,1366,0,1.0
46,2026-06-22 08:52:55,1985,1985,19.0,14.7,34.5,36.5,1985,0,1.0
47,2026-06-22 08:53:55,1515,1515,19.8,15.2,34.8,36.0,1515,0,1.0
48,2026-06-22 08:54:55,1086,1087,19.6,15.5,34.8,36.2,1086,0,1.0
