step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-24 03:47:06,1437,1437,32.5,34.4,35.8,37.5,1437,0,1.0
1,2026-06-24 03:48:06,1535,1535,32.3,32.9,35.5,37.0,1535,0,1.0
2,2026-06-24 03:49:06,1031,1031,34.0,35.3,36.2,37.9,1031,0,1.0
3,2026-06-24 03:50:06,1088,1088,34.9,35.5,36.2,39.5,1088,0,1.0
4,2026-06-24 03:51:06,1214,1215,34.5,35.3,36.1,38.2,1214,0,1.0
5,2026-06-24 03:52:06,295,296,37.3,42.7,44.0,44.6,295,0,1.0
6,2026-06-24 03:53:06,1494,1494,33.3,34.1,35.9,37.6,1494,0,1.0
7,2026-06-24 03:54:06,1194,1194,29.2,34.9,36.1,37.7,1194,0,1.0
8,2026-06-24 03:55:06,1552,1552,23.7,24.4,35.5,37.2,1552,0,1.0
9,2026-06-24 03:56:06,1818,1817,24.9,28.8,35.4,36.9,1818,0,1.0
10,2026-06-24 03:57:06,539,540,29.2,33.4,43.6,44.6,539,0,1.0
11,2026-06-24 03:58:06,1830,1830,25.5,30.5,35.1,36.8,1830,0,1.0
12,2026-06-24 03:59:06,2374,2373,24.1,26.8,35.0,37.2,2374,0,1.0
13,2026-06-24 04:00:06,1590,1590,21.0,17.3,34.9,36.6,1590,0,1.0
14,2026-06-24 04:01:06,1142,1143,17.9,13.8,33.0,36.4,1142,0,1.0
15,2026-06-24 04:02:06,1289,1290,16.6,12.5,32.8,36.4,1289,0,1.0
16,2026-06-24 04:03:06,1459,1460,17.0,12.9,32.6,36.6,1459,0,1.0
17,2026-06-24 04:04:06,1056,1057,17.3,13.4,33.3,37.1,1056,0,1.0
18,2026-06-24 04:05:06,1674,1674,16.6,12.9,32.3,36.5,1674,0,1.0
19,2026-06-24 04:06:06,1061,1062,17.2,13.3,33.7,36.5,1061,0,1.0
20,2026-06-24 04:07:06,1372,1373,17.9,13.6,34.1,36.5,1372,0,1.0
21,2026-06-24 04:08:06,1609,1610,17.7,13.8,33.3,36.6,1609,0,1.0
22,2026-06-24 04:09:06,1231,1232,17.8,13.8,34.2,36.8,1231,0,1.0
23,2026-06-24 04:10:06,1330,1330,17.6,13.7,32.9,37.0,1330,0,1.0
24,2026-06-24 04:11:06,1184,1185,16.8,12.9,32.9,36.4,1184,0,1.0
25,2026-06-24 04:12:06,1024,1025,16.0,12.5,31.3,36.5,1024,0,1.0
26,2026-06-24 04:13:06,1370,1371,16.2,12.4,32.3,36.4,1370,0,1.0
27,2026-06-24 04:14:05,1941,1941,16.7,12.8,32.9,36.5,1941,0,1.0
28,2026-06-24 04:15:05,917,918,16.0,12.5,32.5,36.1,917,0,1.0
29,2026-06-24 04:16:05,1510,1511,16.8,13.0,32.5,36.0,1510,0,1.0
30,2026-06-24 04:17:05,1563,1564,18.1,13.9,33.0,35.9,1563,0,1.0
31,2026-06-24 04:18:05,1667,1667,17.9,13.8,32.7,36.4,1667,0,1.0
32,2026-06-24 04:19:05,1307,1307,17.6,13.7,33.7,36.4,1307,0,1.0
33,2026-06-24 04:20:05,1473,1474,17.1,13.4,32.5,36.4,1473,0,1.0
34,2026-06-24 04:21:05,1803,1804,16.9,13.0,31.9,36.0,1803,0,1.0
35,2026-06-24 04:22:05,1822,1822,17.8,13.6,33.6,36.3,1822,0,1.0
36,2026-06-24 04:23:05,1951,1951,18.1,13.9,33.5,37.3,1951,0,1.0
37,2026-06-24 04:24:05,1196,1197,17.7,13.6,33.9,36.5,1196,0,1.0
38,2026-06-24 04:25:05,1303,1304,17.4,13.5,33.5,36.4,1303,0,1.0
39,2026-06-24 04:26:05,1689,1690,18.3,13.9,34.4,37.5,1689,0,1.0
40,2026-06-24 04:27:05,1241,1242,19.5,14.9,35.0,36.7,1241,0,1.0
41,2026-06-24 04:28:05,1777,1777,19.6,15.6,34.0,36.4,1777,0,1.0
42,2026-06-24 04:29:05,1295,1296,20.7,17.1,34.9,36.6,1295,0,1.0
43,2026-06-24 04:30:05,385,386,27.7,23.5,43.2,44.3,385,0,1.0
44,2026-06-24 04:31:05,1965,1965,21.8,20.0,33.7,36.3,1965,0,1.0
45,2026-06-24 04:32:05,1366,1366,20.7,16.6,34.6,36.3,1366,0,1.0
46,2026-06-24 04:33:05,1985,1985,20.6,17.8,32.9,36.1,1985,0,1.0
47,2026-06-24 04:34:05,1515,1516,20.2,16.2,33.4,35.6,1515,0,1.0
48,2026-06-24 04:35:05,1086,1087,18.8,14.4,33.2,35.7,1086,0,1.0
49,2026-06-24 04:36:05,1639,1640,17.9,13.9,32.2,35.3,1639,0,1.0
50,2026-06-24 04:37:05,1792,1792,18.3,14.1,32.8,36.0,1792,0,1.0
51,2026-06-24 04:38:05,1878,1878,18.6,14.3,34.1,36.5,1878,0,1.0
52,2026-06-24 04:39:05,1455,1455,19.0,14.5,34.5,36.4,1455,0,1.0
53,2026-06-24 04:40:05,1697,1697,18.8,14.3,33.9,37.6,1697,0,1.0
54,2026-06-24 04:41:05,1859,1859,18.8,14.4,34.3,35.8,1859,0,1.0
55,2026-06-24 04:42:05,954,955,17.8,13.6,33.4,35.5,954,0,1.0
56,2026-06-24 04:43:05,1475,1476,17.6,13.6,32.4,35.7,1475,0,1.0
57,2026-06-24 04:44:05,1475,1475,16.9,13.0,32.7,36.0,1475,0,1.0
58,2026-06-24 04:45:05,1784,1784,17.4,13.6,32.7,36.6,1784,0,1.0
59,2026-06-24 04:46:05,1563,1564,18.3,14.0,34.4,36.5,1563,0,1.0
60,2026-06-24 04:47:05,861,862,18.9,14.6,35.1,37.4,861,0,1.0
61,2026-06-24 04:48:05,1143,1144,19.1,15.0,34.6,36.5,1143,0,1.0
62,2026-06-24 04:49:05,1637,1637,19.2,15.0,33.7,36.0,1637,0,1.0
63,2026-06-24 04:50:05,985,985,19.3,14.9,34.3,36.6,985,0,1.0
64,2026-06-24 04:51:05,1945,1945,19.4,15.0,33.1,36.4,1945,0,1.0
65,2026-06-24 04:52:05,1218,1219,19.4,15.3,34.7,37.1,1218,0,1.0
66,2026-06-24 04:53:05,1406,1406,19.9,15.5,34.6,36.6,1406,0,1.0
67,2026-06-24 04:54:05,1589,1590,19.2,15.0,33.5,36.2,1589,0,1.0
68,2026-06-24 04:55:05,819,820,18.4,14.3,34.3,36.7,819,0,1.0
69,2026-06-24 04:56:05,531,532,20.1,17.8,36.2,43.4,531,0,1.0
70,2026-06-24 04:57:05,1462,1462,17.3,13.3,33.0,36.2,1462,0,1.0
71,2026-06-24 04:58:05,905,906,15.7,12.3,31.8,36.3,905,0,1.0
72,2026-06-24 04:59:04,1801,1801,17.0,13.4,32.4,36.1,1801,0,1.0
73,2026-06-24 05:00:04,318,319,23.0,20.8,35.4,43.5,318,0,1.0
74,2026-06-24 05:01:04,789,790,16.4,12.8,32.0,36.4,789,0,1.0
75,2026-06-24 05:02:04,754,755,15.6,12.6,30.5,36.0,754,0,1.0
76,2026-06-24 05:03:04,1191,1192,16.3,12.9,31.8,35.4,1191,0,1.0
77,2026-06-24 05:04:04,1024,1025,15.9,12.7,30.7,35.4,1024,0,1.0
78,2026-06-24 05:05:04,1507,1507,16.9,13.1,32.5,36.1,1507,0,1.0
79,2026-06-24 05:06:04,1657,1658,16.8,12.9,32.0,35.4,1657,0,1.0
80,2026-06-24 05:07:04,1752,1752,16.9,13.1,32.1,36.6,1752,0,1.0
81,2026-06-24 05:08:04,728,729,16.5,13.0,31.8,36.2,728,0,1.0
82,2026-06-24 05:09:04,874,875,15.5,12.1,30.4,35.6,874,0,1.0
83,2026-06-24 05:10:04,1160,1160,15.4,11.7,30.3,35.2,1160,0,1.0
84,2026-06-24 05:11:04,1259,1260,13.6,10.8,24.4,33.3,1259,0,1.0
85,2026-06-24 05:12:04,1349,1350,13.0,10.6,22.0,32.8,1349,0,1.0
86,2026-06-24 05:13:04,1398,1399,11.7,10.5,13.7,32.0,1398,0,1.0
87,2026-06-24 05:14:04,1378,1379,10.9,10.4,11.3,25.5,1378,0,1.0
88,2026-06-24 05:15:04,702,703,11.7,10.7,13.9,32.0,702,0,1.0
89,2026-06-24 05:16:04,1609,1610,12.9,10.7,20.1,32.4,1609,0,1.0
90,2026-06-24 05:17:04,1172,1173,12.7,10.5,21.1,32.0,1172,0,1.0
91,2026-06-24 05:18:04,1902,1902,12.9,10.5,21.9,33.1,1902,0,1.0
92,2026-06-24 05:19:04,2212,2212,12.7,10.7,19.5,32.5,2212,0,1.0
93,2026-06-24 05:20:04,1445,1446,11.8,10.4,14.4,31.8,1445,0,1.0
94,2026-06-24 05:21:04,1738,1739,12.0,10.5,14.4,31.3,1738,0,1.0
95,2026-06-24 05:22:04,1024,1025,12.0,10.5,14.6,31.5,1024,0,1.0
96,2026-06-24 05:23:04,1051,1052,11.8,10.5,14.0,31.6,1051,0,1.0
97,2026-06-24 05:24:04,1564,1565,11.9,10.5,14.4,31.4,1564,0,1.0
98,2026-06-24 05:25:04,1377,1378,12.0,10.6,14.3,32.2,1377,0,1.0
99,2026-06-24 05:26:04,1326,1327,12.1,10.5,16.0,31.9,1326,0,1.0
100,2026-06-24 05:27:04,1256,1257,11.4,10.6,12.5,29.1,1256,0,1.0
