step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-23 23:03:58,1437,1437,27.0,32.1,35.1,36.8,1437,0,1.0
1,2026-06-23 23:04:58,1535,1535,23.0,23.1,34.7,35.9,1535,0,1.0
2,2026-06-23 23:05:58,1031,1031,25.1,28.2,35.8,37.5,1031,0,1.0
3,2026-06-23 23:06:58,1088,1088,26.2,32.3,35.6,37.3,1088,0,1.0
4,2026-06-23 23:07:58,1214,1214,26.5,31.8,35.0,36.8,1214,0,1.0
5,2026-06-23 23:08:58,295,296,30.8,28.3,43.4,46.5,295,0,1.0
6,2026-06-23 23:09:57,1494,1494,20.3,16.1,34.7,36.4,1494,0,1.0
7,2026-06-23 23:10:57,1194,1195,16.9,12.9,33.1,36.2,1194,0,1.0
8,2026-06-23 23:11:57,1552,1552,15.9,12.2,31.0,35.4,1552,0,1.0
9,2026-06-23 23:12:57,1818,1818,16.2,12.5,31.6,35.7,1818,0,1.0
10,2026-06-23 23:13:57,539,540,17.8,13.4,32.4,43.7,539,0,1.0
11,2026-06-23 23:14:57,1830,1830,22.4,23.8,32.3,36.0,1830,0,1.0
12,2026-06-23 23:15:57,2374,2374,19.5,18.4,32.2,37.9,2374,0,1.0
13,2026-06-23 23:16:57,1590,1591,17.6,13.5,33.2,36.2,1590,0,1.0
14,2026-06-23 23:17:57,1142,1143,17.0,13.4,32.6,35.9,1142,0,1.0
15,2026-06-23 23:18:57,1289,1290,16.9,13.1,32.0,36.1,1289,0,1.0
16,2026-06-23 23:19:57,1459,1460,17.1,13.3,32.9,36.8,1459,0,1.0
17,2026-06-23 23:20:57,1056,1057,16.6,12.8,32.8,36.4,1056,0,1.0
18,2026-06-23 23:21:57,1674,1675,15.7,12.1,31.4,36.0,1674,0,1.0
19,2026-06-23 23:22:57,1061,1062,15.3,12.1,29.3,36.0,1061,0,1.0
20,2026-06-23 23:23:57,1372,1373,15.3,12.1,29.6,35.8,1372,0,1.0
21,2026-06-23 23:24:57,1609,1609,16.0,12.2,31.7,35.7,1609,0,1.0
22,2026-06-23 23:25:57,1231,1232,16.1,12.6,31.9,35.6,1231,0,1.0
23,2026-06-23 23:26:57,1330,1331,17.1,13.2,32.5,35.5,1330,0,1.0
24,2026-06-23 23:27:57,1184,1185,17.6,13.6,33.7,35.9,1184,0,1.0
25,2026-06-23 23:28:57,1024,1024,17.6,13.6,33.7,36.9,1024,0,1.0
26,2026-06-23 23:29:57,1370,1371,16.7,13.1,32.0,36.0,1370,0,1.0
27,2026-06-23 23:30:57,1941,1941,16.5,12.9,32.3,35.6,1941,0,1.0
28,2026-06-23 23:31:57,917,918,16.5,12.9,31.9,36.1,917,0,1.0
29,2026-06-23 23:32:57,1510,1511,17.8,13.6,33.3,36.2,1510,0,1.0
30,2026-06-23 23:33:57,1563,1564,17.4,13.3,32.1,35.6,1563,0,1.0
31,2026-06-23 23:34:57,1667,1668,17.2,13.5,32.0,35.5,1667,0,1.0
32,2026-06-23 23:35:57,1307,1308,17.8,13.8,33.7,35.6,1307,0,1.0
33,2026-06-23 23:36:57,1473,1473,19.4,14.9,34.8,36.6,1473,0,1.0
34,2026-06-23 23:37:57,1803,1803,19.0,14.9,34.3,35.7,1803,0,1.0
35,2026-06-23 23:38:57,1822,1822,19.5,15.3,34.9,35.9,1822,0,1.0
36,2026-06-23 23:39:57,1951,1950,20.7,17.2,34.1,36.3,1951,0,1.0
37,2026-06-23 23:40:57,1196,1197,21.0,17.1,34.8,36.9,1196,0,1.0
38,2026-06-23 23:41:57,1303,1304,20.6,17.2,34.5,35.9,1303,0,1.0
39,2026-06-23 23:42:57,1689,1690,20.4,17.2,33.9,37.5,1689,0,1.0
40,2026-06-23 23:43:57,1241,1242,19.9,15.7,34.4,36.2,1241,0,1.0
41,2026-06-23 23:44:57,1777,1778,18.1,14.1,32.6,36.2,1777,0,1.0
42,2026-06-23 23:45:57,1295,1296,17.6,13.5,33.3,36.3,1295,0,1.0
43,2026-06-23 23:46:57,385,386,23.7,21.6,38.2,44.4,385,0,1.0
44,2026-06-23 23:47:57,1965,1965,17.9,13.9,32.7,35.6,1965,0,1.0
45,2026-06-23 23:48:57,1366,1367,18.6,14.3,34.0,36.4,1366,0,1.0
46,2026-06-23 23:49:57,1985,1985,18.1,14.1,32.5,35.7,1985,0,1.0
47,2026-06-23 23:50:56,1515,1516,18.8,14.5,33.6,35.4,1515,0,1.0
48,2026-06-23 23:51:56,1086,1087,18.2,14.0,33.7,35.6,1086,0,1.0
49,2026-06-23 23:52:56,1639,1640,16.6,13.1,31.6,36.1,1639,0,1.0
50,2026-06-23 23:53:56,1792,1793,17.3,13.4,32.4,36.2,1792,0,1.0
51,2026-06-23 23:54:56,1878,1878,17.0,13.2,31.8,35.5,1878,0,1.0
52,2026-06-23 23:55:56,1455,1456,17.5,13.6,32.4,35.9,1455,0,1.0
53,2026-06-23 23:56:56,1697,1697,18.6,14.1,33.9,37.4,1697,0,1.0
54,2026-06-23 23:57:56,1859,1859,18.9,14.3,34.4,35.9,1859,0,1.0
55,2026-06-23 23:58:56,954,954,19.4,14.8,34.3,36.8,954,0,1.0
56,2026-06-23 23:59:56,1475,1476,19.1,14.7,34.0,35.8,1475,0,1.0
57,2026-06-24 00:00:56,1475,1476,19.3,15.0,34.3,36.1,1475,0,1.0
58,2026-06-24 00:01:56,1784,1784,19.2,15.3,33.8,36.4,1784,0,1.0
59,2026-06-24 00:02:56,1563,1564,20.0,16.1,34.4,36.7,1563,0,1.0
60,2026-06-24 00:03:56,861,862,19.8,15.0,34.8,37.2,861,0,1.0
61,2026-06-24 00:04:56,1143,1143,18.0,13.6,33.5,36.4,1143,0,1.0
62,2026-06-24 00:05:56,1637,1638,17.5,13.5,33.2,36.3,1637,0,1.0
63,2026-06-24 00:06:56,985,986,16.7,13.1,31.7,36.3,985,0,1.0
64,2026-06-24 00:07:56,1945,1944,16.6,12.7,32.7,36.4,1945,0,1.0
65,2026-06-24 00:08:56,1218,1219,16.5,12.9,32.0,35.8,1218,0,1.0
66,2026-06-24 00:09:56,1406,1407,16.6,12.8,32.1,35.9,1406,0,1.0
67,2026-06-24 00:10:56,1589,1590,17.2,13.3,32.6,36.4,1589,0,1.0
68,2026-06-24 00:11:56,819,820,16.8,13.2,32.7,36.3,819,0,1.0
69,2026-06-24 00:12:56,531,532,18.9,15.6,33.3,43.8,531,0,1.0
70,2026-06-24 00:13:56,1462,1462,17.0,13.2,32.5,36.2,1462,0,1.0
71,2026-06-24 00:14:56,905,906,16.5,12.8,32.6,36.4,905,0,1.0
72,2026-06-24 00:15:56,1801,1802,17.6,13.5,33.0,36.4,1801,0,1.0
73,2026-06-24 00:16:56,318,319,23.1,20.9,37.1,43.1,318,0,1.0
74,2026-06-24 00:17:56,789,790,16.9,13.4,33.0,36.2,789,0,1.0
75,2026-06-24 00:18:56,754,755,16.1,12.7,32.1,35.7,754,0,1.0
76,2026-06-24 00:19:56,1191,1192,15.6,11.8,30.4,36.2,1191,0,1.0
77,2026-06-24 00:20:56,1024,1025,13.7,10.9,23.5,34.0,1024,0,1.0
78,2026-06-24 00:21:56,1507,1508,13.4,10.8,23.0,33.0,1507,0,1.0
79,2026-06-24 00:22:55,1657,1658,12.0,10.6,14.3,31.6,1657,0,1.0
80,2026-06-24 00:23:55,1752,1753,11.4,10.6,12.9,29.0,1752,0,1.0
81,2026-06-24 00:24:55,728,729,12.1,10.6,14.7,31.8,728,0,1.0
82,2026-06-24 00:25:55,874,875,12.8,10.8,19.0,32.5,874,0,1.0
83,2026-06-24 00:26:55,1160,1161,13.3,10.8,22.1,32.8,1160,0,1.0
84,2026-06-24 00:27:55,1259,1260,13.0,10.7,22.1,32.7,1259,0,1.0
85,2026-06-24 00:28:55,1349,1350,12.8,10.5,19.4,31.9,1349,0,1.0
86,2026-06-24 00:29:55,1398,1399,12.2,10.7,14.9,32.1,1398,0,1.0
87,2026-06-24 00:30:55,1378,1379,12.4,10.7,16.6,32.6,1378,0,1.0
88,2026-06-24 00:31:55,702,703,11.8,10.7,13.8,30.2,702,0,1.0
89,2026-06-24 00:32:55,1609,1609,12.1,10.7,15.4,32.0,1609,0,1.0
90,2026-06-24 00:33:55,1172,1172,12.1,10.5,15.7,31.6,1172,0,1.0
91,2026-06-24 00:34:55,1902,1903,12.3,10.7,16.2,33.4,1902,0,1.0
92,2026-06-24 00:35:55,2212,2212,11.7,10.7,13.9,30.2,2212,0,1.0
93,2026-06-24 00:36:55,1445,1446,11.9,10.6,14.4,31.9,1445,0,1.0
94,2026-06-24 00:37:55,1738,1739,11.7,10.5,13.9,31.6,1738,0,1.0
95,2026-06-24 00:38:55,1024,1025,12.2,10.5,15.3,31.5,1024,0,1.0
96,2026-06-24 00:39:55,1051,1052,12.4,10.5,17.5,32.0,1051,0,1.0
97,2026-06-24 00:40:55,1564,1565,13.5,10.7,24.4,32.2,1564,0,1.0
98,2026-06-24 00:41:55,1377,1378,13.8,10.9,25.6,33.4,1377,0,1.0
99,2026-06-24 00:42:55,1326,1327,14.0,10.9,25.7,32.9,1326,0,1.0
100,2026-06-24 00:43:55,1256,1257,14.3,10.9,26.8,32.9,1256,0,1.0
101,2026-06-24 00:44:55,1795,1796,14.8,11.2,27.3,33.3,1795,0,1.0
102,2026-06-24 00:45:55,2038,2038,15.2,11.5,28.6,34.4,2038,0,1.0
103,2026-06-24 00:46:55,1634,1635,15.4,11.8,30.6,35.3,1634,0,1.0
104,2026-06-24 00:47:55,1890,1890,15.2,11.3,30.1,35.4,1890,0,1.0
105,2026-06-24 00:48:55,1136,1137,15.5,11.5,30.5,34.1,1136,0,1.0
106,2026-06-24 00:49:55,1893,1894,15.6,11.7,30.0,34.7,1893,0,1.0
107,2026-06-24 00:50:55,1913,1914,15.8,12.0,30.5,35.7,1913,0,1.0
108,2026-06-24 00:51:55,1586,1587,15.6,11.9,30.6,35.3,1586,0,1.0
109,2026-06-24 00:52:55,1603,1604,15.6,12.0,31.2,35.0,1603,0,1.0
110,2026-06-24 00:53:55,1637,1638,15.6,12.0,30.8,35.7,1637,0,1.0
111,2026-06-24 00:54:55,1495,1495,16.2,12.0,32.0,36.0,1495,0,1.0
112,2026-06-24 00:55:55,1188,1189,15.6,11.8,30.7,35.8,1188,0,1.0
113,2026-06-24 00:56:55,1533,1533,15.7,12.3,30.8,36.1,1533,0,1.0
114,2026-06-24 00:57:55,2066,2066,16.2,12.6,31.8,36.0,2066,0,1.0
115,2026-06-24 00:58:55,1700,1700,15.7,12.1,31.1,37.2,1700,0,1.0
116,2026-06-24 00:59:55,1384,1385,16.6,12.8,32.6,35.8,1384,0,1.0
117,2026-06-24 01:00:55,2112,2112,17.3,13.5,32.4,36.5,2112,0,1.0
118,2026-06-24 01:01:55,1760,1760,17.6,13.8,32.4,36.5,1760,0,1.0
119,2026-06-24 01:02:55,1923,1923,18.3,14.0,33.4,36.9,1923,0,1.0
