step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-24 01:06:44,1437,1437,31.9,33.0,35.6,38.1,1437,0,1.0
1,2026-06-24 01:07:44,1535,1536,27.9,32.2,34.9,36.5,1535,0,1.0
2,2026-06-24 01:08:44,1031,1031,23.4,22.3,35.5,38.1,1031,0,1.0
3,2026-06-24 01:09:44,1088,1089,25.1,28.4,35.9,37.9,1088,0,1.0
4,2026-06-24 01:10:44,1214,1214,26.6,32.7,35.9,37.6,1214,0,1.0
5,2026-06-24 01:11:44,295,296,29.4,25.3,43.0,44.3,295,0,1.0
6,2026-06-24 01:12:43,1494,1495,24.2,26.1,35.3,37.1,1494,0,1.0
7,2026-06-24 01:13:43,1194,1195,20.5,16.0,35.1,36.6,1194,0,1.0
8,2026-06-24 01:14:43,1552,1553,17.1,13.2,32.4,36.3,1552,0,1.0
9,2026-06-24 01:15:43,1818,1818,15.7,12.0,31.1,35.8,1818,0,1.0
10,2026-06-24 01:16:43,539,540,17.7,13.6,33.2,42.9,539,0,1.0
11,2026-06-24 01:17:43,1830,1831,16.3,12.4,31.8,36.1,1830,0,1.0
12,2026-06-24 01:18:43,2374,2374,16.4,12.7,31.7,36.1,2374,0,1.0
13,2026-06-24 01:19:43,1590,1591,16.8,12.9,32.6,36.4,1590,0,1.0
14,2026-06-24 01:20:43,1142,1142,17.5,13.4,33.2,36.2,1142,0,1.0
15,2026-06-24 01:21:43,1289,1289,17.6,13.7,34.0,36.3,1289,0,1.0
16,2026-06-24 01:22:43,1459,1460,17.0,13.3,32.7,36.2,1459,0,1.0
17,2026-06-24 01:23:43,1056,1057,16.9,13.3,32.5,36.6,1056,0,1.0
18,2026-06-24 01:24:43,1674,1675,16.6,12.8,32.1,38.0,1674,0,1.0
19,2026-06-24 01:25:43,1061,1062,15.3,12.1,29.7,35.5,1061,0,1.0
20,2026-06-24 01:26:43,1372,1373,15.9,12.2,32.0,35.8,1372,0,1.0
21,2026-06-24 01:27:43,1609,1610,15.8,12.2,31.5,36.2,1609,0,1.0
22,2026-06-24 01:28:43,1231,1232,16.3,12.6,32.2,36.2,1231,0,1.0
23,2026-06-24 01:29:43,1330,1331,16.9,13.0,32.9,36.2,1330,0,1.0
24,2026-06-24 01:30:43,1184,1185,17.4,13.6,33.4,36.2,1184,0,1.0
25,2026-06-24 01:31:43,1024,1024,18.1,14.0,34.7,36.6,1024,0,1.0
26,2026-06-24 01:32:43,1370,1371,17.5,13.5,33.3,36.3,1370,0,1.0
27,2026-06-24 01:33:43,1941,1940,17.2,13.3,33.0,35.7,1941,0,1.0
28,2026-06-24 01:34:43,917,918,16.0,12.8,31.6,36.1,917,0,1.0
29,2026-06-24 01:35:43,1510,1510,17.0,13.3,32.7,36.5,1510,0,1.0
30,2026-06-24 01:36:43,1563,1564,18.1,13.9,33.2,36.9,1563,0,1.0
31,2026-06-24 01:37:43,1667,1668,17.1,13.2,32.3,36.3,1667,0,1.0
32,2026-06-24 01:38:43,1307,1308,17.0,13.2,32.7,36.4,1307,0,1.0
33,2026-06-24 01:39:43,1473,1473,18.0,13.8,33.9,35.9,1473,0,1.0
34,2026-06-24 01:40:43,1803,1804,19.1,14.4,35.3,36.0,1803,0,1.0
35,2026-06-24 01:41:43,1822,1822,19.5,15.5,34.8,35.7,1822,0,1.0
36,2026-06-24 01:42:43,1951,1950,19.8,16.0,33.7,36.3,1951,0,1.0
37,2026-06-24 01:43:43,1196,1196,21.2,17.4,35.2,36.9,1196,0,1.0
38,2026-06-24 01:44:43,1303,1303,21.5,17.9,34.9,35.9,1303,0,1.0
39,2026-06-24 01:45:43,1689,1689,20.1,16.3,33.7,37.5,1689,0,1.0
40,2026-06-24 01:46:43,1241,1242,21.3,17.6,35.1,37.4,1241,0,1.0
41,2026-06-24 01:47:43,1777,1777,19.8,15.8,33.3,36.2,1777,0,1.0
42,2026-06-24 01:48:43,1295,1296,18.3,14.0,33.9,36.3,1295,0,1.0
43,2026-06-24 01:49:43,385,386,23.5,21.8,35.3,44.0,385,0,1.0
44,2026-06-24 01:50:42,1965,1965,17.8,13.6,33.1,36.3,1965,0,1.0
45,2026-06-24 01:51:42,1366,1367,18.5,14.2,34.8,36.4,1366,0,1.0
46,2026-06-24 01:52:42,1985,1985,18.5,14.2,33.9,36.8,1985,0,1.0
47,2026-06-24 01:53:42,1515,1515,18.5,14.0,34.6,36.5,1515,0,1.0
48,2026-06-24 01:54:42,1086,1087,18.3,14.0,34.4,36.1,1086,0,1.0
49,2026-06-24 01:55:42,1639,1640,17.7,13.5,33.0,35.8,1639,0,1.0
50,2026-06-24 01:56:42,1792,1793,17.2,13.2,32.6,36.3,1792,0,1.0
51,2026-06-24 01:57:42,1878,1878,17.3,13.4,33.8,36.7,1878,0,1.0
52,2026-06-24 01:58:42,1455,1455,16.7,12.9,32.3,36.3,1455,0,1.0
53,2026-06-24 01:59:42,1697,1697,17.6,13.7,32.8,37.4,1697,0,1.0
54,2026-06-24 02:00:42,1859,1859,18.5,14.0,34.2,35.8,1859,0,1.0
55,2026-06-24 02:01:42,954,955,18.8,14.3,34.6,36.2,954,0,1.0
56,2026-06-24 02:02:42,1475,1475,19.2,14.8,34.0,35.9,1475,0,1.0
57,2026-06-24 02:03:42,1475,1475,19.5,15.4,34.0,36.3,1475,0,1.0
