step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-23 21:01:15,1437,1437,20.9,17.5,34.4,37.4,1437,0,1.0
1,2026-06-23 21:02:15,1535,1535,21.3,18.4,35.4,38.6,1535,0,1.0
2,2026-06-23 21:03:15,1031,1031,21.9,19.0,35.9,39.8,1031,0,1.0
3,2026-06-23 21:04:15,1088,1089,19.6,14.5,35.5,37.7,1088,0,1.0
4,2026-06-23 21:05:15,1214,1215,16.7,12.4,32.6,37.9,1214,0,1.0
5,2026-06-23 21:06:15,295,296,15.4,12.0,29.6,38.6,295,0,1.0
6,2026-06-23 21:07:15,1494,1495,14.9,11.3,28.0,35.4,1494,0,1.0
7,2026-06-23 21:08:15,1194,1195,14.1,11.0,25.3,36.1,1194,0,1.0
8,2026-06-23 21:09:15,1552,1553,13.9,11.0,25.4,35.0,1552,0,1.0
9,2026-06-23 21:10:15,1818,1818,14.2,11.2,25.0,36.2,1818,0,1.0
10,2026-06-23 21:11:15,539,540,15.2,11.5,27.4,35.2,539,0,1.0
11,2026-06-23 21:12:15,1830,1831,14.6,11.3,26.4,35.6,1830,0,1.0
12,2026-06-23 21:13:15,2374,2374,15.4,11.6,28.8,35.9,2374,0,1.0
13,2026-06-23 21:14:15,1590,1591,15.1,11.6,29.2,34.6,1590,0,1.0
14,2026-06-23 21:15:15,1142,1143,14.7,11.4,26.7,35.5,1142,0,1.0
15,2026-06-23 21:16:15,1289,1290,14.5,11.2,27.2,34.9,1289,0,1.0
16,2026-06-23 21:17:15,1459,1460,14.4,11.2,26.4,34.6,1459,0,1.0
17,2026-06-23 21:18:15,1056,1057,14.3,11.1,26.0,33.7,1056,0,1.0
18,2026-06-23 21:19:15,1674,1675,14.0,11.1,25.0,34.3,1674,0,1.0
19,2026-06-23 21:20:15,1061,1061,14.0,11.0,24.7,35.7,1061,0,1.0
20,2026-06-23 21:21:15,1372,1373,14.6,11.3,26.4,35.5,1372,0,1.0
21,2026-06-23 21:22:15,1609,1610,14.6,11.3,26.4,34.4,1609,0,1.0
22,2026-06-23 21:23:15,1231,1232,15.2,11.6,29.0,35.0,1231,0,1.0
23,2026-06-23 21:24:15,1330,1331,15.3,11.7,29.9,35.4,1330,0,1.0
24,2026-06-23 21:25:15,1184,1185,15.1,11.6,27.9,34.3,1184,0,1.0
25,2026-06-23 21:26:15,1024,1024,14.8,11.3,27.4,35.4,1024,0,1.0
26,2026-06-23 21:27:15,1370,1371,15.1,11.6,28.2,35.5,1370,0,1.0
27,2026-06-23 21:28:15,1941,1941,14.5,11.3,25.7,35.8,1941,0,1.0
28,2026-06-23 21:29:15,917,918,15.0,11.6,27.2,35.6,917,0,1.0
29,2026-06-23 21:30:15,1510,1511,15.6,12.1,29.6,36.0,1510,0,1.0
30,2026-06-23 21:31:15,1563,1564,15.5,12.0,29.3,35.4,1563,0,1.0
31,2026-06-23 21:32:14,1667,1667,15.5,12.0,28.5,35.8,1667,0,1.0
32,2026-06-23 21:33:14,1307,1307,17.4,13.6,32.3,36.9,1307,0,1.0
33,2026-06-23 21:34:14,1473,1473,17.2,13.4,32.2,38.2,1473,0,1.0
34,2026-06-23 21:35:14,1803,1804,17.7,13.9,32.5,37.9,1803,0,1.0
35,2026-06-23 21:36:14,1822,1822,18.0,14.0,32.7,37.6,1822,0,1.0
36,2026-06-23 21:37:14,1951,1951,19.0,15.0,33.7,39.0,1951,0,1.0
37,2026-06-23 21:38:14,1196,1196,17.8,14.0,33.0,37.3,1196,0,1.0
38,2026-06-23 21:39:14,1303,1304,17.2,13.4,32.6,37.9,1303,0,1.0
39,2026-06-23 21:40:14,1689,1690,16.3,12.8,31.5,37.6,1689,0,1.0
40,2026-06-23 21:41:14,1241,1242,16.5,12.8,31.8,36.4,1241,0,1.0
41,2026-06-23 21:42:14,1777,1778,15.1,11.7,27.8,36.2,1777,0,1.0
42,2026-06-23 21:43:14,1295,1296,15.4,11.7,29.9,35.7,1295,0,1.0
43,2026-06-23 21:44:14,385,386,16.0,12.3,31.2,36.5,385,0,1.0
44,2026-06-23 21:45:14,1965,1965,16.0,12.3,30.0,36.1,1965,0,1.0
45,2026-06-23 21:46:14,1366,1367,15.9,12.2,30.2,35.9,1366,0,1.0
46,2026-06-23 21:47:14,1985,1985,15.6,12.0,29.5,35.8,1985,0,1.0
